fighter_a,fighter_b,a_odds,b_odds,a_expected_value,b_expected_value,event_date,location,country,winner,title_bout,weight_class,gender,num_rounds,b_lose_streak,b_win_streak,b_draws,b_slpm,b_str_acc,b_sub_avg,b_td_avg,b_td_acc,b_longest_win_streak,b_losses,b_total_rounds,b_title_bouts,b_wins_dec_maj,b_wins_dec_split,b_wins_dec,b_wins_ko,b_wins_sub,b_wins_tko_doc,b_wins,b_stance,b_height,b_reach,b_weight,a_lose_streak,a_win_streak,a_draws,a_slpm_x,a_str_acc_x,a_sub_avg_x,a_td_avg_x,a_td_acc_x,a_longest_win_streak,a_losses,a_total_rounds,a_title_bouts,a_wins_dec_maj,a_wins_dec_split,a_wins_dec,a_wins_ko,a_wins_sub,a_wins_tko_doc,a_wins,a_stance,a_height,a_reach,a_weight,a_age,b_age,empty_arena,b_wc_rank,a_wc_rank,a_pfp_rank,b_pfp_rank,better_rank,method,finish_round,finish_time,total_fight_time_secs,a_dec_odds,b_dec_odds,a_sub_odds,b_sub_odds,a_ko_odds,b_ko_odds,target,a_elo,b_elo,a_slpm_y,a_opp_slpm,a_sapm,a_opp_sapm,a_str_acc_y,a_opp_str_acc,a_str_def,a_opp_str_def,a_td_avg_y,a_opp_td_avg,a_td_acc_y,a_opp_td_acc,a_td_def,a_opp_td_def,a_sub_avg_y,a_opp_sub_avg,a_sig_str_landed,a_opp_sig_str_landed,a_sig_str_attempted,a_opp_sig_str_attempted,a_td_landed,a_opp_td_landed,a_td_attempted,a_opp_td_attempted,a_kd,a_opp_kd,a_sub_att,a_opp_sub_att,a_rev,a_opp_rev,a_ctrl_seconds,a_opp_ctrl_seconds,a_roll_slpm,a_roll_sapm,a_roll_str_acc,a_roll_str_def,a_roll_td_avg,a_roll_td_acc,a_roll_td_def,a_roll_sub_avg,a_roll_sig_str_landed,a_roll_sig_str_attempted,a_roll_td_landed,a_roll_td_attempted,a_roll_kd,a_roll_sub_att,a_roll_rev,a_roll_ctrl_seconds,a_roll_opp_slpm,a_roll_opp_sapm,a_roll_opp_str_acc,a_roll_opp_str_def,a_roll_opp_td_avg,a_roll_opp_td_acc,a_roll_opp_td_def,a_roll_opp_sub_avg,a_roll_opp_sig_str_landed,a_roll_opp_sig_str_attempted,a_roll_opp_td_landed,a_roll_opp_td_attempted,a_roll_opp_kd,a_roll_opp_sub_att,a_roll_opp_rev,a_roll_opp_ctrl_seconds,a_roll_won,a_current_win_streak,a_num_fights,a_days_since_last_fight,b_roll_slpm,b_roll_sapm,b_roll_str_acc,b_roll_str_def,b_roll_td_avg,b_roll_td_acc,b_roll_td_def,b_roll_sub_avg,b_roll_sig_str_landed,b_roll_sig_str_attempted,b_roll_td_landed,b_roll_td_attempted,b_roll_kd,b_roll_sub_att,b_roll_rev,b_roll_ctrl_seconds,b_roll_opp_slpm,b_roll_opp_sapm,b_roll_opp_str_acc,b_roll_opp_str_def,b_roll_opp_td_avg,b_roll_opp_td_acc,b_roll_opp_td_def,b_roll_opp_sub_avg,b_roll_opp_sig_str_landed,b_roll_opp_sig_str_attempted,b_roll_opp_td_landed,b_roll_opp_td_attempted,b_roll_opp_kd,b_roll_opp_sub_att,b_roll_opp_rev,b_roll_opp_ctrl_seconds,b_roll_won,b_current_win_streak,b_num_fights,b_days_since_last_fight,diff_roll_slpm,diff_roll_sapm,diff_roll_str_acc,diff_roll_str_def,diff_roll_td_avg,diff_roll_td_acc,diff_roll_td_def,diff_roll_sub_avg,diff_roll_sig_str_landed,diff_roll_td_landed,diff_roll_kd,diff_roll_won,diff_elo,diff_current_win_streak,diff_num_fights,diff_days_since_last_fight,diff_height,diff_reach,diff_weight,diff_age,a_strike_diff,b_strike_diff,diff_strike_diff,a_stance_enc,b_stance_enc,same_stance,a_ko_rate,a_sub_rate,a_dec_rate,b_ko_rate,b_sub_rate,b_dec_rate,diff_ko_rate,diff_sub_rate,diff_dec_rate,a_implied_prob,b_implied_prob,diff_implied_prob,is_title_bout,num_rounds_feat,is_empty_arena,a_wc_rank_feat,a_pfp_rank_feat,b_wc_rank_feat,b_pfp_rank_feat,diff_wc_rank,diff_pfp_rank,diff_lose_streak,diff_longest_win_streak,diff_total_rounds,diff_title_bouts,diff_draws,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob,a_win_pct,b_win_pct,diff_win_pct,weight_class_enc,a_cage_rust,a_layoff_log,b_cage_rust,b_layoff_log,diff_cage_rust,diff_layoff_log,a_wc_move,b_wc_move,diff_wc_move,a_striker_edge,a_grappler_edge,b_striker_edge,b_grappler_edge,diff_striker_edge,diff_grappler_edge,a_fight_pace,b_fight_pace,diff_fight_pace,a_ctrl_efficiency,b_ctrl_efficiency,diff_ctrl_efficiency,a_adj_win_pct,b_adj_win_pct,diff_adj_win_pct,has_data
Eric Schafer,Jason Brilz,140.0,-160.0,140.0,62.5,2010-03-21,"Broomfield, Colorado, USA", USA,Jason Brilz,,Light Heavyweight,MALE,3.0,1.0,0.0,0.0,31.6667,46.0,0.6667,1.6667,50.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Orthodox,180.34,180.34,205.0,1.0,0.0,0.0,15.6667,58.8,1.3333,0.8333,14.499999999999998,2.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,Orthodox,190.5,190.5,185.0,32.0,34.0,0.0,,,,,neither,U-DEC,3.0,5:00,900.0,,,,,,,0,1500.0,1500.0,15.6667,31.6667,,,58.8,46.0,,,0.8333,1.6667,14.499999999999998,50.0,,,1.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,10.159999999999997,10.159999999999997,-20.0,-2.0,,,,0.0,0.0,1,0.3333333333333333,0.6666666666666666,0.0,0.5,0.0,0.5,-0.16666666666666669,0.6666666666666666,-0.5,0.4166666666666667,0.6153846153846154,-0.19871794871794873,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.5,0.6666666666666666,-0.16666666666666663,7,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.33166666666666667,0.6633333333333333,0.4975,0.0,-0.16583333333333333,0.6633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,-0.16666666666666663,0
Brandon Vera,Jon Jones,215.0,-235.0,215.0,42.5532,2010-03-21,"Broomfield, Colorado, USA", USA,Jon Jones,,Light Heavyweight,MALE,3.0,1.0,0.0,0.0,39.0,47.8,0.25,2.5,52.5,3.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,Orthodox,193.04,213.36,205.0,1.0,0.0,0.0,30.7273,57.3,0.0909,0.5455,36.4,4.0,4.0,23.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,7.0,Orthodox,190.5,193.04,230.0,32.0,22.0,0.0,,,,,neither,KO/TKO,1.0,3:19,199.0,,,,,,,0,1500.0,1500.0,30.7273,39.0,,,57.3,47.8,,,0.5455,2.5,36.4,52.5,,,0.0909,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,-2.539999999999992,-20.32000000000002,25.0,10.0,,,,0.0,0.0,1,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,-0.19047619047619047,-0.38095238095238093,0.31746031746031744,0.7014925373134329,-0.3840322198531154,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,,,,,,,0.6363636363636364,0.75,-0.11363636363636365,7,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.5685714285714285,0.14214285714285713,0.0,0.33166666666666667,0.5685714285714285,-0.18952380952380954,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.75,-0.11363636363636365,0
Junior Dos Santos,Gabriel Gonzaga,-250.0,230.0,40.0,230.0,2010-03-21,"Broomfield, Colorado, USA", USA,Junior Dos Santos,,Heavyweight,MALE,3.0,0.0,1.0,0.0,13.7,54.800000000000004,0.7,1.2,57.199999999999996,4.0,3.0,16.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,Orthodox,187.96,193.04,242.0,0.0,4.0,0.0,25.75,53.800000000000004,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,Orthodox,193.04,195.58,238.0,26.0,30.0,0.0,,,,,neither,KO/TKO,1.0,3:53,233.0,,,,,,,1,1500.0,1500.0,25.75,13.7,,,53.800000000000004,54.800000000000004,,,0.0,1.2,0.0,57.199999999999996,,,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,5.079999999999984,2.5400000000000205,-4.0,-4.0,,,,0.0,0.0,1,1.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,-0.2857142857142857,0.0,0.7142857142857143,0.30303030303030304,0.41125541125541126,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,-10.0,-1.0,0.0,,,,,,,1.0,0.7,0.30000000000000004,8,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.995,0.0,0.7107142857142857,0.28428571428571425,0.28428571428571425,-0.28428571428571425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.30000000000000004,0
Cheick Kongo,Paul Buentello,-345.0,315.0,28.9855,315.0,2010-03-21,"Broomfield, Colorado, USA", USA,Cheick Kongo,,Heavyweight,MALE,3.0,1.0,0.0,0.0,25.8,46.6,0.4,0.2,10.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,Orthodox,187.96,195.58,245.0,2.0,0.0,0.0,32.9091,60.4,0.2727,1.1818,47.599999999999994,3.0,4.0,22.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,Orthodox,193.04,208.28,240.0,34.0,36.0,0.0,,,,,neither,KO/TKO,3.0,1:16,676.0,,,,,,,1,1500.0,1500.0,32.9091,25.8,,,60.4,46.6,,,1.1818,0.2,47.599999999999994,10.0,,,0.2727,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,5.079999999999984,12.699999999999989,-5.0,-2.0,,,,0.0,0.0,1,0.5714285714285714,0.0,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.0,-0.09523809523809523,-0.3333333333333333,0.14285714285714285,0.7752808988764045,0.24096385542168675,0.5343170434547178,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,1.0,14.0,-1.0,0.0,,,,,,,0.6363636363636364,0.6,0.036363636363636376,8,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.5685714285714285,0.0,0.6633333333333333,0.33166666666666667,-0.09476190476190482,-0.33166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.6,0.036363636363636376,0
Alessio Sakara,James Irvin,-120.0,100.0,83.3333,100.0,2010-03-21,"Broomfield, Colorado, USA", USA,Alessio Sakara,,Middleweight,MALE,3.0,1.0,0.0,0.0,5.25,55.50000000000001,0.125,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,Orthodox,187.96,190.5,205.0,0.0,2.0,0.0,20.8,45.5,0.0,1.0,15.0,2.0,5.0,15.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,Orthodox,182.88,182.88,185.0,28.0,31.0,0.0,,,,,neither,KO/TKO,1.0,3:01,181.0,,,,,,,1,1500.0,1500.0,20.8,5.25,,,45.5,55.50000000000001,,,1.0,0.0,15.0,0.0,,,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,-5.0800000000000125,-7.6200000000000045,-20.0,-3.0,,,,0.0,0.0,1,0.6,0.0,0.2,0.75,0.0,0.0,-0.15000000000000002,0.0,0.2,0.5454545454545454,0.5,0.045454545454545414,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,,,,,,,0.5,0.5,0.0,6,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.597,0.0,0.74625,0.0,-0.14925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0
Mike Pierce,Julio Paulino,-420.0,335.0,23.8095,335.0,2010-03-21,"Broomfield, Colorado, USA", USA,Mike Pierce,,Welterweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,185.42,170.0,1.0,0.0,0.0,40.5,40.5,0.0,3.5,52.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,172.72,177.8,170.0,29.0,34.0,0.0,,,,,neither,U-DEC,3.0,5:00,900.0,,,,,,,1,1500.0,1500.0,40.5,,,,40.5,,,,3.5,,52.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,-10.159999999999997,-7.619999999999976,0.0,-5.0,,,,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8076923076923077,0.22988505747126436,0.5778072502210434,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,,,,,,,0.5,0.5,0.0,5,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0
Eliot Marshall,Vladimir Matyushenko,145.0,-165.0,145.0,60.6061,2010-03-21,"Broomfield, Colorado, USA", USA,Vladimir Matyushenko,,Light Heavyweight,MALE,3.0,0.0,1.0,0.0,22.1667,51.0,0.1667,2.5,48.0,2.0,2.0,16.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,Orthodox,182.88,187.96,205.0,0.0,3.0,0.0,27.0,34.300000000000004,0.6667,0.3333,33.300000000000004,3.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,Orthodox,187.96,195.58,205.0,29.0,39.0,0.0,,,,,neither,S-DEC,3.0,5:00,900.0,,,,,,,0,1500.0,1500.0,27.0,22.1667,,,34.300000000000004,51.0,,,0.3333,2.5,33.300000000000004,48.0,,,0.6667,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,5.0800000000000125,7.6200000000000045,0.0,-10.0,,,,0.0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.25,0.0,0.75,-0.25,0.3333333333333333,-0.4166666666666667,0.40816326530612246,0.6226415094339622,-0.21447824412783978,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,-9.0,-1.0,0.0,,,,,,,1.0,0.6666666666666666,0.33333333333333337,7,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.0,0.33166666666666667,0.24875,0.0,-0.24875,0.33166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0
Duane Ludwig,Darren Elkins,-155.0,135.0,64.5161,135.0,2010-03-21,"Broomfield, Colorado, USA", USA,Darren Elkins,,Lightweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,180.34,145.0,1.0,0.0,0.0,13.6667,57.699999999999996,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Orthodox,177.8,177.8,170.0,31.0,25.0,0.0,,,,,neither,KO/TKO,1.0,0:44,44.0,,,,,,,0,1500.0,1500.0,13.6667,,,,57.699999999999996,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,0.0,-2.539999999999992,25.0,6.0,,,,0.0,0.0,1,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.6078431372549019,0.425531914893617,0.18231122236128489,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,,,,,,,0.6666666666666666,0.5,0.16666666666666663,4,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.4975,0.0,0.0,0.0,0.4975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.16666666666666663,0
John Howard,Daniel Roberts,-210.0,175.0,47.619,175.0,2010-03-21,"Broomfield, Colorado, USA", USA,John Howard,,Welterweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,177.8,187.96,170.0,0.0,3.0,0.0,18.0,55.00000000000001,1.0,4.6667,79.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,Orthodox,170.18,180.34,170.0,27.0,29.0,0.0,,,,,neither,KO/TKO,1.0,2:01,121.0,,,,,,,1,1500.0,1500.0,18.0,,,,55.00000000000001,,,,4.6667,,79.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,-7.6200000000000045,-7.6200000000000045,0.0,-2.0,,,,0.0,1.0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6774193548387096,0.36363636363636365,0.313782991202346,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,,,,,,,1.0,0.5,0.5,5,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.33166666666666667,0.0,0.0,0.0,0.33166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0
Brendan Schaub,Chase Gormley,-260.0,220.0,38.4615,220.0,2010-03-21,"Broomfield, Colorado, USA", USA,Brendan Schaub,,Heavyweight,MALE,3.0,1.0,0.0,0.0,8.0,34.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,196.0,265.0,1.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,193.04,198.12,245.0,27.0,27.0,0.0,,,,,neither,KO/TKO,1.0,0:47,47.0,,,,,,,1,1500.0,1500.0,12.0,8.0,,,25.0,34.0,,,0.0,1.0,0.0,100.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,365.0,,,,,,,,,,,,,0.0,0,0,0.0,2.539999999999992,2.1200000000000045,-20.0,0.0,,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.3125,0.4097222222222222,0,3.0,0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.0,0.0,0.0,8,0,5.902633333401366,0,5.902633333401366,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
