tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,b365_a,b365_b,ps_a,ps_b,max_a,max_b,avg_a,avg_b,odds_date_diff,year,fighter_a,fighter_b,best_of_5,surface_is_hard,surface_is_clay,surface_is_grass,surface_is_carpet,a_h2h_wins,b_h2h_wins,diff_h2h_wins,same_hand,a_elo,a_surface_elo,a_recent_form,a_surface_win_rate,a_num_matches,a_days_since_last_match,a_matches_last_7d,a_matches_last_30d,a_rank,a_rank_trend,a_age,a_is_left_handed,b_elo,b_surface_elo,b_recent_form,b_surface_win_rate,b_num_matches,b_days_since_last_match,b_matches_last_7d,b_matches_last_30d,b_rank,b_rank_trend,b_age,b_is_left_handed,diff_elo,diff_surface_elo,diff_recent_form,diff_surface_win_rate,diff_num_matches,diff_days_since_last_match,diff_matches_last_7d,diff_matches_last_30d,diff_rank,diff_rank_trend,diff_age,diff_is_left_handed,prob_a,prob_b,predicted_winner,confidence,fold,fold_start_date,fold_end_date,b365_a_odds,b365_b_odds,ps_a_odds,ps_b_odds,max_a_odds,max_b_odds,avg_a_odds,avg_b_odds,b365_imp_a,b365_imp_b,b365_fair_a,b365_fair_b,ps_imp_a,ps_imp_b,ps_fair_a,ps_fair_b,avg_imp_a,avg_imp_b,avg_fair_a,avg_fair_b,max_imp_a,max_imp_b,max_fair_a,max_fair_b
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,294,QF,3,166.0,7-6(4) 6-7(8) 6-2,Yoshihito Nishioka,Alexei Popyrin,36.0,120.0,1134.0,469.0,Alexei Popyrin,Yoshihito Nishioka,0,200615,106415,120.0,36.0,469.0,1134.0,23.4,27.2,R,L,196.0,170.0,,,Q,,2.1,1.73,2.18,1.76,2.35,1.77,2.16,1.68,4.0,2023,Alexei Popyrin,Yoshihito Nishioka,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.410642477447,1443.4976650772385,0.4,0.3,23,0.0,2.0,2.0,120.0,-9.0,23.4,0.0,1622.042470179524,1598.1487772153384,0.6,0.6,38,0.0,2.0,2.0,36.0,0.6666666666666643,27.2,1.0,-213.6318277020771,-154.65111213809996,-0.1999999999999999,-0.3,-15,0.0,0.0,0.0,84.0,-9.666666666666664,-3.8000000000000007,-1.0,0.22777801082818572,0.7722219891718143,b,0.7722219891718143,0,2023-01-01,2023-07-01,2.1,1.73,2.18,1.76,2.35,1.77,2.16,1.68,0.47619047619047616,0.5780346820809249,0.4516971279373368,0.5483028720626633,0.4587155963302752,0.5681818181818182,0.44670050761421315,0.5532994923857868,0.4629629629629629,0.5952380952380952,0.4375,0.5625,0.425531914893617,0.5649717514124294,0.42961165048543687,0.5703883495145631
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,284,R32,3,76.0,6-3 6-4,Quentin Halys,Jordan Thompson,64.0,84.0,767.0,626.0,Jordan Thompson,Quentin Halys,0,111442,111460,84.0,64.0,626.0,767.0,28.7,26.1,R,R,183.0,191.0,,,WC,,1.73,2.1,1.78,2.14,1.83,2.15,1.74,2.08,0.0,2023,Jordan Thompson,Quentin Halys,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1455.5104589504356,1492.5016914063533,0.6,0.4736842105263157,28,41.0,0.0,0.0,84.0,12.0,28.7,0.0,1387.1955966059777,1435.9935751973967,0.0,0.125,14,63.0,0.0,0.0,64.0,4.0,26.1,0.0,68.31486234445788,56.50811620895661,0.6,0.3486842105263157,14,-22.0,0.0,0.0,20.0,8.0,2.599999999999998,0.0,0.6134047161531164,0.3865952838468836,a,0.6134047161531164,0,2023-01-01,2023-07-01,1.73,2.1,1.78,2.14,1.83,2.15,1.74,2.08,0.5780346820809249,0.47619047619047616,0.5483028720626633,0.4516971279373368,0.5617977528089888,0.4672897196261682,0.5459183673469388,0.4540816326530612,0.5747126436781609,0.4807692307692307,0.544502617801047,0.4554973821989528,0.5464480874316939,0.46511627906976744,0.5402010050251256,0.4597989949748744
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,293,R16,3,115.0,7-6(3) 7-6(5),Novak Djokovic,Quentin Halys,5.0,64.0,4820.0,767.0,Novak Djokovic,Quentin Halys,1,104925,111460,5.0,64.0,4820.0,767.0,35.6,26.1,R,R,188.0,191.0,1.0,,,,1.03,15.0,1.04,19.16,1.03,20.42,1.02,14.1,3.0,2023,Novak Djokovic,Quentin Halys,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1893.8051576739244,1708.188558691251,1.0,0.875,49,0.0,1.0,1.0,5.0,2.0,35.6,0.0,1406.301686095068,1449.9282670027078,0.2,0.2222222222222222,15,0.0,1.0,1.0,64.0,3.3333333333333286,26.1,0.0,487.5034715788563,258.26029168854325,0.8,0.6527777777777778,34,0.0,0.0,0.0,-59.0,-1.3333333333333286,9.5,0.0,0.94992089782351,0.05007910217648996,a,0.94992089782351,0,2023-01-01,2023-07-01,1.03,15.0,1.04,19.16,1.03,20.42,1.02,14.1,0.970873786407767,0.06666666666666667,0.9357454772301934,0.06425452276980662,0.9615384615384615,0.05219206680584551,0.9485148514851485,0.05148514851485149,0.9803921568627451,0.07092198581560284,0.9325396825396826,0.06746031746031747,0.970873786407767,0.04897159647404505,0.9519813519813519,0.04801864801864801
wta,2023-01-02,2023-800,Adelaide 1,adelaide 1,P,Hard,32.0,272,R32,3,123.0,4-6 6-1 6-4,Kaia Kanepi,Aliaksandra Sasnovich,32.0,30.0,1380.0,1428.0,Aliaksandra Sasnovich,Kaia Kanepi,0,205925,201466,30.0,32.0,1428.0,1380.0,28.7,37.5,R,R,174.0,181.0,,,,,1.91,1.91,1.93,1.96,1.95,2.0,1.89,1.9,1.0,2023,Aliaksandra Sasnovich,Kaia Kanepi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1562.6624462792802,1535.934990085232,0.4,0.5769230769230769,44,77.0,0.0,0.0,30.0,1.333333333333332,28.7,0.0,1552.9116058880422,1555.0452266106688,0.6,0.6153846153846154,38,77.0,0.0,0.0,32.0,-1.0,37.5,0.0,9.750840391237944,-19.11023652543668,-0.1999999999999999,-0.0384615384615385,6,0.0,0.0,0.0,-2.0,2.333333333333332,-8.8,0.0,0.5303702490989737,0.4696297509010262,a,0.5303702490989737,0,2023-01-01,2023-07-01,1.91,1.91,1.93,1.96,1.95,2.0,1.89,1.9,0.5235602094240838,0.5235602094240838,0.5,0.5,0.5181347150259068,0.5102040816326531,0.5038560411311055,0.4961439588688946,0.5291005291005292,0.5263157894736842,0.5013192612137204,0.4986807387862796,0.5128205128205129,0.5,0.5063291139240507,0.4936708860759494
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,270,R32,3,114.0,6-4 7-6(5),Alexei Popyrin,Felix Auger Aliassime,120.0,6.0,469.0,4195.0,Alexei Popyrin,Felix Auger Aliassime,1,200615,200000,120.0,6.0,469.0,4195.0,23.4,22.4,R,R,196.0,193.0,,2.0,Q,,6.5,1.11,6.2,1.15,6.75,1.18,6.04,1.13,0.0,2023,Alexei Popyrin,Felix Auger Aliassime,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1357.4000910390912,1408.551413881918,0.2,0.2222222222222222,21,91.0,0.0,0.0,120.0,-31.0,23.4,0.0,1792.8421679702467,1722.7963270829107,0.8,0.7377049180327869,87,36.0,0.0,0.0,6.0,0.0,22.4,0.0,-435.4420769311555,-314.24491320099264,-0.6000000000000001,-0.5154826958105647,-66,55.0,0.0,0.0,114.0,-31.0,1.0,0.0,0.07783732738476834,0.9221626726152318,b,0.9221626726152318,0,2023-01-01,2023-07-01,6.5,1.11,6.2,1.15,6.75,1.18,6.04,1.13,0.15384615384615385,0.9009009009009008,0.14586070959264127,0.8541392904073586,0.16129032258064516,0.8695652173913044,0.15646258503401358,0.8435374149659863,0.16556291390728478,0.8849557522123894,0.1576011157601116,0.8423988842398885,0.14814814814814814,0.8474576271186441,0.14880201765447665,0.8511979823455234
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,271,R32,3,177.0,7-6(5) 6-7(6) 7-5,Marcos Giron,Richard Gasquet,61.0,68.0,776.0,740.0,Marcos Giron,Richard Gasquet,1,106218,104755,61.0,68.0,776.0,740.0,29.4,36.5,R,R,180.0,183.0,,,,,1.91,1.91,1.93,1.95,1.99,1.95,1.89,1.89,1.0,2023,Marcos Giron,Richard Gasquet,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1488.7932013079487,1483.1858128397423,0.4,0.4137931034482758,45,70.0,0.0,0.0,61.0,-3.0,29.4,0.0,1596.5004666297234,1546.2329004432995,0.6,0.5833333333333334,43,63.0,0.0,0.0,68.0,10.0,36.5,0.0,-107.70726532177468,-63.04708760355743,-0.1999999999999999,-0.1695402298850575,2,7.0,0.0,0.0,-7.0,-13.0,-7.100000000000001,0.0,0.3532322990462096,0.6467677009537904,b,0.6467677009537904,0,2023-01-01,2023-07-01,1.91,1.91,1.93,1.95,1.99,1.95,1.89,1.89,0.5235602094240838,0.5235602094240838,0.5,0.5,0.5181347150259068,0.5128205128205129,0.502577319587629,0.4974226804123712,0.5291005291005292,0.5291005291005292,0.5,0.5,0.5025125628140703,0.5128205128205129,0.4949238578680203,0.5050761421319798
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,273,R32,3,125.0,2-6 6-4 6-4,Yoshihito Nishioka,Holger Rune,36.0,11.0,1134.0,2888.0,Holger Rune,Yoshihito Nishioka,0,208029,106415,11.0,36.0,2888.0,1134.0,19.6,27.2,R,L,188.0,170.0,5.0,,,,1.29,3.75,1.28,4.0,1.31,4.0,1.29,3.56,0.0,2023,Holger Rune,Yoshihito Nishioka,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744.982718875178,1666.6064385583772,1.0,0.6666666666666666,59,63.0,0.0,0.0,11.0,7.0,19.6,0.0,1586.854150559762,1573.371139611585,0.4,0.5757575757575758,36,63.0,0.0,0.0,36.0,1.6666666666666643,27.2,1.0,158.1285683154158,93.23529894679224,0.6,0.0909090909090908,23,0.0,0.0,0.0,-25.0,5.333333333333336,-7.599999999999998,-1.0,0.7335893131141685,0.26641068688583136,a,0.7335893131141685,0,2023-01-01,2023-07-01,1.29,3.75,1.28,4.0,1.31,4.0,1.29,3.56,0.7751937984496123,0.26666666666666666,0.744047619047619,0.25595238095238093,0.78125,0.25,0.7575757575757576,0.24242424242424243,0.7751937984496123,0.2808988764044944,0.734020618556701,0.26597938144329897,0.7633587786259541,0.25,0.7532956685499058,0.24670433145009418
atp,2023-01-02,2023-9900,United Cup,united cup,A,Hard,18.0,236,RR,3,164.0,3-6 6-3 6-4,Cameron Norrie,Rafael Nadal,14.0,2.0,2445.0,6020.0,Cameron Norrie,Rafael Nadal,1,111815,104745,14.0,2.0,2445.0,6020.0,27.3,36.5,L,L,188.0,185.0,15.0,4.0,,,,,,,,,,,,2023,Cameron Norrie,Rafael Nadal,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1649.4641396698112,1607.6667953945198,0.6,0.6470588235294118,76,0.0,1.0,1.0,14.0,-0.6666666666666661,27.3,1.0,1741.2806849504468,1644.1205752049718,0.2,0.8,46,49.0,0.0,0.0,2.0,0.0,36.5,1.0,-91.81654528063564,-36.45377981045203,0.3999999999999999,-0.1529411764705882,30,-49.0,1.0,1.0,12.0,-0.6666666666666661,-9.2,0.0,0.3736995958207155,0.6263004041792846,b,0.6263004041792846,0,2023-01-01,2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,
wta,2023-01-02,2023-9900,United Cup,united cup,I,Hard,18.0,245,RR,3,80.0,6-4 6-3,Madison Keys,Marie Bouzkova,11.0,24.0,2417.0,1607.0,Madison Keys,Marie Bouzkova,1,201619,213631,11.0,24.0,2417.0,1607.0,27.8,24.4,R,R,178.0,180.0,,,,,,,,,,,,,,2023,Madison Keys,Marie Bouzkova,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1606.8013793092884,1569.8441098688768,0.4,0.625,49,54.0,0.0,0.0,11.0,2.666666666666666,27.8,0.0,1670.4680468080169,1617.744500462656,0.8,0.7241379310344828,40,0.0,1.0,1.0,24.0,9.333333333333336,24.4,0.0,-63.66666749872843,-47.90039059377932,-0.4,-0.0991379310344827,9,54.0,-1.0,-1.0,-13.0,-6.66666666666667,3.400000000000002,0.0,0.41751893459610834,0.5824810654038917,b,0.5824810654038917,0,2023-01-01,2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,
atp,2023-01-02,2023-2843,Adelaide 1,adelaide 1,A,Hard,32.0,274,R32,3,109.0,4-6 6-3 6-4,Roberto Bautista Agut,Andrey Rublev,21.0,8.0,1940.0,3930.0,Andrey Rublev,Roberto Bautista Agut,0,126094,105138,8.0,21.0,3930.0,1940.0,25.2,34.7,R,R,188.0,183.0,4.0,,,,1.4,3.0,1.5,2.72,1.5,3.0,1.46,2.71,1.0,2023,Andrey Rublev,Roberto Bautista Agut,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1710.892147921899,1666.3433441106054,0.4,0.74,70,49.0,0.0,0.0,8.0,-1.0,25.2,0.0,1608.8808268713346,1567.7032475926142,0.4,0.625,57,40.0,0.0,0.0,21.0,0.0,34.7,0.0,102.01132105056467,98.6400965179912,0.0,0.1149999999999999,13,9.0,0.0,0.0,-13.0,-1.0,-9.500000000000004,0.0,0.6582109186317611,0.341789081368239,a,0.6582109186317611,0,2023-01-01,2023-07-01,1.4,3.0,1.5,2.72,1.5,3.0,1.46,2.71,0.7142857142857143,0.3333333333333333,0.6818181818181818,0.3181818181818181,0.6666666666666666,0.3676470588235294,0.6445497630331753,0.35545023696682465,0.684931506849315,0.36900369003690037,0.6498800959232613,0.3501199040767386,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
