event_year,tour,event_date,tourney_name,tournament_seed,player_a,player_b
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Aleksandar Vukic,Steve Johnson
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Alex Bolt,Juan Manuel Cerundolo
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Benjamin Bonzi,Mikael Ymer
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Corentin Moutet,Holger Rune
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Daniel Altmaier,Thiago Monteiro
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Egor Gerasimov,Gianluca Mager
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Egor Gerasimov,Karen Khachanov
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Egor Gerasimov,Marton Fucsovics
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Frances Tiafoe,Thanasi Kokkinakis
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Francisco Cerundolo,Gianluca Mager
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Gael Monfils,Juan Manuel Cerundolo
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Gael Monfils,Karen Khachanov
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Gael Monfils,Thanasi Kokkinakis
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Gael Monfils,Tommy Paul
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Jiri Vesely,Tommy Paul
2022,atp,2022-01-03,Adelaide 1,adelaide 1,John Millman,Thanasi Kokkinakis
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Karen Khachanov,Marin Cilic
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Karen Khachanov,Steve Johnson
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Laslo Djere,Marin Cilic
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Laslo Djere,Roberto Carballes Baena
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Lorenzo Musetti,Taro Daniel
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Marin Cilic,Thiago Monteiro
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Mikael Ymer,Soon Woo Kwon
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Mikael Ymer,Thanasi Kokkinakis
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Soon Woo Kwon,Yoshihito Nishioka
2022,atp,2022-01-03,Adelaide 1,adelaide 1,Taro Daniel,Tommy Paul
2022,atp,2022-01-03,Atp Cup,cup,Alejandro Tabilo,Filip Krajinovic
2022,atp,2022-01-03,Atp Cup,cup,Alejandro Tabilo,Pablo Carreno Busta
2022,atp,2022-01-03,Atp Cup,cup,Alejandro Tabilo,Viktor Durasovic
2022,atp,2022-01-03,Atp Cup,cup,Aleksandre Bakshi,Kamil Majchrzak
2022,atp,2022-01-03,Atp Cup,cup,Aleksandre Metreveli,Federico Delbonis
2022,atp,2022-01-03,Atp Cup,cup,Aleksandre Metreveli,Hubert Hurkacz
2022,atp,2022-01-03,Atp Cup,cup,Aleksandre Metreveli,Michail Pervolarakis
2022,atp,2022-01-03,Atp Cup,cup,Alex De Minaur,Daniil Medvedev
2022,atp,2022-01-03,Atp Cup,cup,Alex De Minaur,Matteo Berrettini
2022,atp,2022-01-03,Atp Cup,cup,Alex De Minaur,Ugo Humbert
2022,atp,2022-01-03,Atp Cup,cup,Alexander Zverev,Cameron Norrie
2022,atp,2022-01-03,Atp Cup,cup,Alexander Zverev,Felix Auger Aliassime
2022,atp,2022-01-03,Atp Cup,cup,Alexander Zverev,Taylor Fritz
2022,atp,2022-01-03,Atp Cup,cup,Aristotelis Thanos,Hubert Hurkacz
2022,atp,2022-01-03,Atp Cup,cup,Arthur Rinderknech,James Duckworth
2022,atp,2022-01-03,Atp Cup,cup,Arthur Rinderknech,Jannik Sinner
2022,atp,2022-01-03,Atp Cup,cup,Arthur Rinderknech,Roman Safiullin
2022,atp,2022-01-03,Atp Cup,cup,Brayden Schnur,John Isner
2022,atp,2022-01-03,Atp Cup,cup,Cameron Norrie,Felix Auger Aliassime
2022,atp,2022-01-03,Atp Cup,cup,Cameron Norrie,Taylor Fritz
2022,atp,2022-01-03,Atp Cup,cup,Casper Ruud,Cristian Garin
2022,atp,2022-01-03,Atp Cup,cup,Casper Ruud,Dusan Lajovic
2022,atp,2022-01-03,Atp Cup,cup,Casper Ruud,Roberto Bautista Agut
2022,atp,2022-01-03,Atp Cup,cup,Cristian Garin,Roberto Bautista Agut
