tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,fighter_a,fighter_b,best_of_5,surface_is_hard,surface_is_clay,surface_is_grass,surface_is_carpet,a_h2h_wins,b_h2h_wins,diff_h2h_wins,same_hand,a_elo,a_surface_elo,a_recent_form,a_surface_win_rate,a_num_matches,a_days_since_last_match,a_matches_last_7d,a_matches_last_30d,a_rank,a_rank_trend,a_age,a_is_left_handed,b_elo,b_surface_elo,b_recent_form,b_surface_win_rate,b_num_matches,b_days_since_last_match,b_matches_last_7d,b_matches_last_30d,b_rank,b_rank_trend,b_age,b_is_left_handed,diff_elo,diff_surface_elo,diff_recent_form,diff_surface_win_rate,diff_num_matches,diff_days_since_last_match,diff_matches_last_7d,diff_matches_last_30d,diff_rank,diff_rank_trend,diff_age,diff_is_left_handed
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,271,R32,3,105.0,6-4 2-6 6-4,Steve Johnson,Aleksandar Vukic,85.0,156.0,812.0,440.0,Aleksandar Vukic,Steve Johnson,0,126846,105449,156.0,85.0,440.0,812.0,25.7,32.0,R,R,188.0,188.0,,,WC,,Aleksandar Vukic,Steve Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,156.0,,25.7,0.0,1500.0,1500.0,,,0,,0.0,0.0,85.0,,32.0,0.0,0.0,0.0,,,0,,0.0,0.0,71.0,,-6.300000000000001,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,272,R32,3,122.0,6-4 3-6 6-4,Gianluca Mager,Francisco Cerundolo,62.0,127.0,978.0,582.0,Francisco Cerundolo,Gianluca Mager,0,202103,126149,127.0,62.0,582.0,978.0,23.3,27.0,R,R,185.0,188.0,,,Q,,Francisco Cerundolo,Gianluca Mager,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,127.0,,23.3,0.0,1500.0,1500.0,,,0,,0.0,0.0,62.0,,27.0,0.0,0.0,0.0,,,0,,0.0,0.0,65.0,,-3.6999999999999993,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,273,R32,3,77.0,6-3 6-4,Egor Gerasimov,Marton Fucsovics,113.0,40.0,665.0,1459.0,Egor Gerasimov,Marton Fucsovics,1,106078,105916,113.0,40.0,665.0,1459.0,29.1,29.9,R,R,196.0,188.0,,5.0,Q,,Egor Gerasimov,Marton Fucsovics,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,113.0,,29.1,0.0,1500.0,1500.0,,,0,,0.0,0.0,40.0,,29.9,0.0,0.0,0.0,,,0,,0.0,0.0,73.0,,-0.7999999999999972,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,275,R32,3,144.0,6-2 3-6 7-6(2),Thiago Monteiro,Daniel Altmaier,89.0,84.0,805.0,813.0,Daniel Altmaier,Thiago Monteiro,0,127157,106329,84.0,89.0,813.0,805.0,23.3,27.5,R,L,188.0,183.0,,,,,Daniel Altmaier,Thiago Monteiro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,84.0,,23.3,0.0,1500.0,1500.0,,,0,,0.0,0.0,89.0,,27.5,1.0,0.0,0.0,,,0,,0.0,0.0,-5.0,,-4.199999999999999,-1.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,276,R32,3,108.0,7-6(6) 6-4,Corentin Moutet,Holger Rune,92.0,103.0,797.0,740.0,Corentin Moutet,Holger Rune,1,144895,208029,92.0,103.0,797.0,740.0,22.7,18.6,L,R,180.0,188.0,,,,Q,Corentin Moutet,Holger Rune,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,92.0,,22.7,1.0,1500.0,1500.0,,,0,,0.0,0.0,103.0,,18.6,0.0,0.0,0.0,,,0,,0.0,0.0,-11.0,,4.099999999999998,1.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,277,R32,3,124.0,7-5 7-6(1),Laslo Djere,Roberto Carballes Baena,52.0,79.0,1131.0,837.0,Laslo Djere,Roberto Carballes Baena,1,111513,106148,52.0,79.0,1131.0,837.0,26.5,28.7,R,R,188.0,183.0,7.0,,,,Laslo Djere,Roberto Carballes Baena,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,52.0,,26.5,0.0,1500.0,1500.0,,,0,,0.0,0.0,79.0,,28.7,0.0,0.0,0.0,,,0,,0.0,0.0,-27.0,,-2.1999999999999993,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,278,R32,3,67.0,6-1 6-2,Soon Woo Kwon,Yoshihito Nishioka,53.0,81.0,1115.0,823.0,Soon Woo Kwon,Yoshihito Nishioka,1,126952,106415,53.0,81.0,1115.0,823.0,24.0,26.2,R,L,180.0,170.0,8.0,,,,Soon Woo Kwon,Yoshihito Nishioka,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,53.0,,24.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,81.0,,26.2,1.0,0.0,0.0,,,0,,0.0,0.0,-28.0,,-2.1999999999999993,-1.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,279,R32,3,102.0,7-5 7-5,Mikael Ymer,Benjamin Bonzi,94.0,64.0,782.0,969.0,Benjamin Bonzi,Mikael Ymer,0,126127,144707,64.0,94.0,969.0,782.0,25.5,23.3,R,R,183.0,183.0,,,,,Benjamin Bonzi,Mikael Ymer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,64.0,,25.5,0.0,1500.0,1500.0,,,0,,0.0,0.0,94.0,,23.3,0.0,0.0,0.0,,,0,,0.0,0.0,-30.0,,2.1999999999999993,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,280,R32,3,82.0,6-4 6-3,Thanasi Kokkinakis,John Millman,171.0,72.0,394.0,875.0,John Millman,Thanasi Kokkinakis,0,105357,106423,72.0,171.0,875.0,394.0,32.5,25.7,R,R,183.0,193.0,,,,WC,John Millman,Thanasi Kokkinakis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,72.0,,32.5,0.0,1500.0,1500.0,,,0,,0.0,0.0,171.0,,25.7,0.0,0.0,0.0,,,0,,0.0,0.0,-99.0,,6.800000000000001,0.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,282,R32,3,136.0,6-4 4-6 6-4,Tommy Paul,Jiri Vesely,43.0,83.0,1349.0,822.0,Jiri Vesely,Tommy Paul,0,106210,126205,83.0,43.0,822.0,1349.0,28.4,24.6,L,R,198.0,185.0,,6.0,,,Jiri Vesely,Tommy Paul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,,,0,,0.0,0.0,83.0,,28.4,1.0,1500.0,1500.0,,,0,,0.0,0.0,43.0,,24.6,0.0,0.0,0.0,,,0,,0.0,0.0,40.0,,3.799999999999997,1.0
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,283,R32,3,153.0,6-4 6-7(5) 6-3,Taro Daniel,Lorenzo Musetti,125.0,59.0,584.0,1004.0,Lorenzo Musetti,Taro Daniel,0,207518,106121,59.0,125.0,1004.0,584.0,19.8,28.9,R,R,185.0,191.0,,,,Q,Lorenzo Musetti,Taro Daniel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,,,0,,0.0,0.0,59.0,,19.8,0.0,1500.0,1500.0,,,0,,0.0,0.0,125.0,,28.9,0.0,0.0,0.0,,,0,,0.0,0.0,-66.0,,-9.099999999999998,0.0
