bin,count,avg_pred,actual_win_rate,abs_gap
"(-0.001, 0.1]",11,0.07478662002457052,0.0,0.07478662002457052
"(0.1, 0.2]",37,0.15600363388389282,0.02702702702702703,0.1289766068568658
"(0.2, 0.3]",90,0.25826774993014256,0.2,0.058267749930142554
"(0.3, 0.4]",210,0.355146257610456,0.3619047619047619,0.0067585042943059115
"(0.4, 0.5]",379,0.453313912246304,0.43799472295514513,0.015319189291158886
"(0.5, 0.6]",326,0.5473474517679414,0.5460122699386503,0.0013351818292911544
"(0.6, 0.7]",246,0.6463565232469558,0.6382113821138211,0.008145141133134692
"(0.7, 0.8]",164,0.7460867058077809,0.7378048780487805,0.008281827759000437
"(0.8, 0.9]",95,0.8456934719248367,0.8736842105263158,0.02799073860147916
"(0.9, 1.0]",19,0.9291946269989749,1.0,0.07080537300102507
