tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,player_a_birth_date,player_a_birth_place,player_a_country_code,player_a_country_name,player_a_backhand,player_a_weight_kg,player_b_birth_date,player_b_birth_place,player_b_country_code,player_b_country_name,player_b_backhand,player_b_weight_kg,b365_a,b365_b,ps_a,ps_b,max_a,max_b,avg_a,avg_b,odds_date_diff,year
atp,2022-01-03,2022-8998,Adelaide 1,adelaide 1,A,Hard,32,271,R32,3,105.0,6-4 2-6 6-4,Steve Johnson,Aleksandar Vukic,85.0,156.0,812.0,440.0,Aleksandar Vukic,Steve Johnson,0,126846,105449,156.0,85.0,440.0,812.0,25.7,32.0,R,R,188.0,188.0,,,WC,,1996-04-06,"Sydney, Australia",AUS,Australia,Two-Handed,85.0,,,,,,,1.8,2.0,1.74,2.21,1.8,2.3,1.72,2.1,0.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,292,R16,3,150.0,3-6 7-6(5) 6-3,Sofia Kenin,Ajla Tomljanovic,12.0,45.0,2971.0,1395.0,Ajla Tomljanovic,Sofia Kenin,0,201548,213550,45.0,12.0,1395.0,2971.0,28.6,23.1,R,R,180.0,170.0,,6,,,1993-05-07,"Zagreb, Croatia",AUS,Australia,,,1998-11-14,"Moscow, Russia",USA,United States,,,1.9,1.9,1.83,2.1,1.95,2.1,1.85,1.95,3.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,293,R16,3,132.0,4-6 7-5 6-1,Ashleigh Barty,Coco Gauff,1.0,22.0,7582.0,2550.0,Ashleigh Barty,Coco Gauff,1,202458,221103,1.0,22.0,7582.0,2550.0,25.6,17.8,R,R,166.0,175.0,1,,,,,,,,,,2004-03-13,"Delray Beach, Fl. USA",USA,United States,,,1.4,3.0,1.41,3.19,1.45,3.25,1.38,3.0,2.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,294,QF,3,168.0,6-3 4-6 7-6(5),Misaki Doi,Kaja Juvan,105.0,100.0,771.0,788.0,Kaja Juvan,Misaki Doi,0,215219,201595,100.0,105.0,788.0,771.0,21.1,30.6,R,L,170.0,159.0,,,,,2000-11-25,"Ljubljana, Slovenia",SLO,Slovenia,,,,,,,,,1.5,2.62,1.53,2.71,1.55,2.9,1.49,2.6,4.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,295,QF,3,120.0,3-6 6-3 6-2,Elena Rybakina,Shelby Rogers,14.0,40.0,2855.0,1583.0,Elena Rybakina,Shelby Rogers,1,214981,201603,14.0,40.0,2855.0,1583.0,22.5,29.2,R,R,184.0,175.0,7,,,,1999-06-17,"Moscow, Russia",KAZ,Kazakhstan,,,,,,,,,1.57,2.37,1.54,2.67,1.62,2.81,1.53,2.47,4.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,296,QF,3,117.0,6-3 2-6 6-1,Iga Swiatek,Victoria Azarenka,9.0,27.0,3786.0,2166.0,Iga Swiatek,Victoria Azarenka,1,216347,201458,9.0,27.0,3786.0,2166.0,20.5,32.4,R,R,176.0,180.0,5,,,,2001-05-31,"Warsaw, Poland",POL,Poland,,,1989-07-31,"Minsk, Belarus",BLR,Belarus,,,1.8,2.0,1.79,2.14,1.83,2.2,1.77,2.05,4.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,297,QF,3,68.0,6-3 6-4,Ashleigh Barty,Sofia Kenin,1.0,12.0,7582.0,2971.0,Ashleigh Barty,Sofia Kenin,1,202458,213550,1.0,12.0,7582.0,2971.0,25.6,23.1,R,R,166.0,170.0,1,6,,,,,,,,,1998-11-14,"Moscow, Russia",USA,United States,,,1.25,4.0,1.26,4.36,1.31,4.36,1.25,3.9,4.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,298,SF,3,83.0,6-4 6-3,Elena Rybakina,Misaki Doi,14.0,105.0,2855.0,771.0,Elena Rybakina,Misaki Doi,1,214981,201595,14.0,105.0,2855.0,771.0,22.5,30.6,R,L,184.0,159.0,7,,,,1999-06-17,"Moscow, Russia",KAZ,Kazakhstan,,,,,,,,,1.14,5.5,1.17,5.92,1.19,6.0,1.15,5.31,5.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,299,SF,3,87.0,6-2 6-4,Ashleigh Barty,Iga Swiatek,1.0,9.0,7582.0,3786.0,Ashleigh Barty,Iga Swiatek,1,202458,216347,1.0,9.0,7582.0,3786.0,25.6,20.5,R,R,166.0,176.0,1,5,,,,,,,,,2001-05-31,"Warsaw, Poland",POL,Poland,,,1.57,2.37,1.58,2.54,1.62,2.61,1.55,2.44,5.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,300,F,3,64.0,6-3 6-2,Ashleigh Barty,Elena Rybakina,1.0,14.0,7582.0,2855.0,Ashleigh Barty,Elena Rybakina,1,202458,214981,1.0,14.0,7582.0,2855.0,25.6,22.5,R,R,166.0,184.0,1,7,,,,,,,,,1999-06-17,"Moscow, Russia",KAZ,Kazakhstan,,,1.25,4.0,1.33,3.69,1.33,4.03,1.27,3.72,6.0,2022
