bin,count,avg_pred,actual_win_rate
"(-0.001, 0.1]",122,0.07099584154520162,0.09836065573770492
"(0.1, 0.2]",537,0.15800776304177275,0.16387337057728119
"(0.2, 0.3]",1258,0.25529819214749144,0.287758346581876
"(0.3, 0.4]",2326,0.3548649617321711,0.36758383490971624
"(0.4, 0.5]",3594,0.451925893028973,0.44824707846410683
"(0.5, 0.6]",3825,0.5485648757524134,0.5372549019607843
"(0.6, 0.7]",2747,0.646277708428933,0.628685839097197
"(0.7, 0.8]",1642,0.7462347811717461,0.7320341047503045
"(0.8, 0.9]",912,0.8448657379870144,0.8508771929824561
"(0.9, 1.0]",253,0.9269011104080863,0.9525691699604744
