bin,count,avg_pred,actual_win_rate,abs_gap
"(-0.001, 0.1]",103,0.07583041348600468,0.13592233009708737,0.060091916611082694
"(0.1, 0.2]",560,0.16027315296357883,0.15892857142857142,0.0013445815350074108
"(0.2, 0.3]",1257,0.25670496605351995,0.26730310262529833,0.010598136571778383
"(0.3, 0.4]",2439,0.35448481091223283,0.3628536285362854,0.00836881762405256
"(0.4, 0.5]",3549,0.4526862249539404,0.44125105663567205,0.011435168318268352
"(0.5, 0.6]",3691,0.5482238433494152,0.5405039284746681,0.0077199148747471025
"(0.6, 0.7]",2748,0.64649108037824,0.6408296943231441,0.005661386055095918
"(0.7, 0.8]",1650,0.7454621147529372,0.7503030303030302,0.004840915550093028
"(0.8, 0.9]",1002,0.8431626190399782,0.8333333333333334,0.009829285706644875
"(0.9, 1.0]",217,0.9248875818961936,0.967741935483871,0.04285435358767742
