tour,player_id,player_name,needs_age,needs_hand,needs_height,affected_rows,latest_event_date,missing_fields
atp,B0GY,A. Barrena,True,True,True,2,2026-02-23,"age,hand,height_cm"
atp,B0PG,A. Blockx,True,True,True,10,2026-01-18,"age,hand,height_cm"
atp,BI81,A. Bolt,True,True,True,2,2025-06-30,"age,hand,height_cm"
atp,BK92,A. Bublik,True,True,True,74,2026-03-18,"age,hand,height_cm"
atp,C0H0,A. Cazaux,True,True,True,34,2026-03-18,"age,hand,height_cm"
atp,DH50,A. Davidovich Fokina,True,True,True,85,2026-03-18,"age,hand,height_cm"
atp,DF88,A. Dougaz,True,True,True,3,2025-02-24,"age,hand,height_cm"
atp,F0DM,A. Fery,True,True,True,6,2026-03-18,"age,hand,height_cm"
atp,F0F1,A. Fils,True,True,True,44,2026-03-18,"age,hand,height_cm"
atp,GK06,A. Galarneau,True,True,True,3,2026-03-04,"age,hand,height_cm"
atp,G0IX,A. Gea,True,True,True,6,2026-02-02,"age,hand,height_cm"
atp,G0DH,A. Guillen Meza,True,True,True,1,2025-07-20,"age,hand,height_cm"
atp,H0CD,A. Hernandez,True,True,True,2,2025-07-14,"age,hand,height_cm"
atp,H09N,A. Holmgren,True,True,True,4,2025-10-01,"age,hand,height_cm"
atp,K0E6,A. Kachmazov,True,True,True,2,2025-07-14,"age,hand,height_cm"
atp,K0AZ,A. Kovacevic,True,True,True,50,2026-03-18,"age,hand,height_cm"
atp,M0HD,A. Magadan,True,True,True,1,2025-07-14,"age,hand,height_cm"
atp,ME82,A. Mannarino,True,True,True,40,2026-03-18,"age,hand,height_cm"
atp,M0QI,A. Michelsen,True,True,True,62,2026-03-18,"age,hand,height_cm"
atp,MP20,A. Muller,True,True,True,50,2026-03-18,"age,hand,height_cm"
atp,O0E7,A. Omarkhanov,True,True,True,1,2025-10-13,"age,hand,height_cm"
atp,PH64,A. Pellegrino,True,True,True,6,2026-02-23,"age,hand,height_cm"
atp,P09Z,A. Popyrin,True,True,True,49,2026-03-18,"age,hand,height_cm"
atp,R772,A. Ramos-Vinolas,True,True,True,2,2025-05-25,"age,hand,height_cm"
atp,RC91,A. Rinderknech,True,True,True,61,2026-03-18,"age,hand,height_cm"
atp,RE44,A. Rublev,True,True,True,74,2026-03-18,"age,hand,height_cm"
