event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2022-01-03,atp,Atp Cup,Atp Cup 2022,RR,Hubert Hurkacz,Aristotelis Thanos,Aristotelis Thanos,Hubert Hurkacz,,,,,False,source_absent
2022-01-03,atp,Atp Cup,Atp Cup 2022,RR,Jannik Sinner,Max Purcell,Jannik Sinner,Max Purcell,,,,,False,source_absent
2022-01-03,atp,Atp Cup,Atp Cup 2022,SF,Pablo Carreno Busta,Jan Zielinski,Jan Zielinski,Pablo Carreno Busta,betexplorer_team_events,2022-01-07,Carreno-Busta P. vs Zielinski J.,atp-cup-2022,False,source_has_no_numeric_odds
2022-01-03,wta,Melbourne 1,Melbourne 1 2022,R32,Qinwen Zheng,Mai Hontama,Mai Hontama,Qinwen Zheng,tennis_data,2022-01-05,Zheng Q. vs Hontama M.,Melbourne Summer Set 1,False,source_has_no_numeric_odds
2022-02-14,atp,Rio de Janeiro,Rio de Janeiro 2022,R16,Francisco Cerundolo,Roberto Carballes Baena,Francisco Cerundolo,Roberto Carballes Baena,tennis_data,2022-02-17,Cerundolo F. vs Carballes Baena R.,Rio Open,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: ARG vs CZE,Davis Cup QLS R1: ARG vs CZE 2022,RR,Diego Schwartzman,Tomas Machac,Diego Schwartzman,Tomas Machac,betexplorer_team_events,2022-03-04,Schwartzman D. vs Machac T.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: ARG vs CZE,Davis Cup QLS R1: ARG vs CZE 2022,RR,Federico Coria,Vit Kopriva,Federico Coria,Vit Kopriva,betexplorer_team_events,2022-03-05,Coria F. vs Kopriva V.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: ARG vs CZE,Davis Cup QLS R1: ARG vs CZE 2022,RR,Sebastian Baez,Jiri Lehecka,Jiri Lehecka,Sebastian Baez,betexplorer_team_events,2022-03-04,Baez S. vs Lehecka J.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUS vs HUN,Davis Cup QLS R1: AUS vs HUN 2022,RR,Alex De Minaur,Marton Fucsovics,Alex De Minaur,Marton Fucsovics,betexplorer_team_events,2022-03-05,De Minaur A. vs Fucsovics M.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUS vs HUN,Davis Cup QLS R1: AUS vs HUN 2022,RR,Alex De Minaur,Zsombor Piros,Alex De Minaur,Zsombor Piros,betexplorer_team_events,2022-03-04,De Minaur A. vs Piros Z.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUS vs HUN,Davis Cup QLS R1: AUS vs HUN 2022,RR,Marton Fucsovics,Thanasi Kokkinakis,Marton Fucsovics,Thanasi Kokkinakis,betexplorer_team_events,2022-03-04,Fucsovics M. vs Kokkinakis T.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUS vs HUN,Davis Cup QLS R1: AUS vs HUN 2022,RR,Thanasi Kokkinakis,Zsombor Piros,Thanasi Kokkinakis,Zsombor Piros,betexplorer_team_events,2022-03-05,Kokkinakis T. vs Piros Z.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUT vs KOR,Davis Cup QLS R1: AUT vs KOR 2022,RR,Dennis Novak,Ji Sung Nam,Dennis Novak,Ji Sung Nam,betexplorer_team_events,2022-03-03,Novak D. vs Nam Ji S.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUT vs KOR,Davis Cup QLS R1: AUT vs KOR 2022,RR,Soon Woo Kwon,Dennis Novak,Dennis Novak,Soon Woo Kwon,betexplorer_team_events,2022-03-05,Kwon S. vs Novak D.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: AUT vs KOR,Davis Cup QLS R1: AUT vs KOR 2022,RR,Soon Woo Kwon,Jurij Rodionov,Jurij Rodionov,Soon Woo Kwon,betexplorer_team_events,2022-03-03,Kwon S. vs Rodionov J.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: BEL vs FIN,Davis Cup QLS R1: BEL vs FIN 2022,RR,David Goffin,Emil Ruusuvuori,David Goffin,Emil Ruusuvuori,betexplorer_team_events,2022-03-05,Goffin D. vs Ruusuvuori E.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: BEL vs FIN,Davis Cup QLS R1: BEL vs FIN 2022,RR,David Goffin,Otto Virtanen,David Goffin,Otto Virtanen,betexplorer_team_events,2022-03-04,Goffin D. vs Virtanen O.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: BEL vs FIN,Davis Cup QLS R1: BEL vs FIN 2022,RR,Emil Ruusuvuori,Zizou Bergs,Emil Ruusuvuori,Zizou Bergs,betexplorer_team_events,2022-03-04,Ruusuvuori E. vs Bergs Z.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: BEL vs FIN,Davis Cup QLS R1: BEL vs FIN 2022,RR,Zizou Bergs,Otto Virtanen,Otto Virtanen,Zizou Bergs,betexplorer_team_events,2022-03-05,Bergs Z. vs Virtanen O.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: CAN vs NED,Davis Cup QLS R1: CAN vs NED 2022,RR,Botic Van De Zandschulp,Alexis Galarneau,Alexis Galarneau,Botic Van De Zandschulp,betexplorer_team_events,2022-03-04,Van De Zandschulp B. vs Galarneau A.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: CAN vs NED,Davis Cup QLS R1: CAN vs NED 2022,RR,Robin Haase,Steven Diez,Robin Haase,Steven Diez,betexplorer_team_events,2022-03-05,Haase R. vs Diez S.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: CAN vs NED,Davis Cup QLS R1: CAN vs NED 2022,RR,Tallon Griekspoor,Steven Diez,Steven Diez,Tallon Griekspoor,betexplorer_team_events,2022-03-04,Griekspoor T. vs Diez S.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: ESP vs ROU,Davis Cup QLS R1: ESP vs ROU 2022,RR,Carlos Alcaraz,Marius Copil,Carlos Alcaraz,Marius Copil,betexplorer_team_events,2022-03-04,Alcaraz C. vs Copil M.,dc-wg-2022,False,source_has_no_numeric_odds
2022-03-04,atp,Davis Cup QLS R1: ESP vs ROU,Davis Cup QLS R1: ESP vs ROU 2022,RR,Roberto Bautista Agut,Gabi Adrian Boitan,Gabi Adrian Boitan,Roberto Bautista Agut,betexplorer_team_events,2022-03-04,Bautista-Agut R. vs Boitan G. A.,dc-wg-2022,False,source_has_no_numeric_odds
