event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2016-04-09,Alex Pereira,Andres Vernaza,Alex Pereira,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2017-02-20,Alex Pereira,Juan David Hoyos,Alex Pereira,SUB,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2017-02-20,Alex Pereira,Brainer Sneider Uribe,Brainer Sneider Uribe,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2015-05-29,Brandon Moreno,Andres Felipe Molano,Andres Felipe Molano,KO/TKO,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-09-11,Alex Pereira,Andres Aguirre,Alex Pereira,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2017-02-20,Alex Pereira,Gibson Lopez,Alex Pereira,KO/TKO,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-04-09,Alex Pereira,German Cordoba,Alex Pereira,U-DEC,,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-05-08,Alex Pereira,Carlos Garcia,Carlos Garcia,SUB,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-09-11,Alex Pereira,Luis Merchan,Alex Pereira,KO/TKO,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2016-05-08,Alex Pereira,Jhon Alexander Ruiz,Alex Pereira,SUB,1.0,,,0,tapology,La Asociacion Colombiana De Artes Marciales Mixtas Ocamm,,,,,,,,,,,,,,,,
2009-10-09,Aaron Phillips,Cody Kidder,Aaron Phillips,SUB,1.0,,,0,tapology,United States Association Of Mixed Martial Arts Usamma,,,,,,,,,,,,,,,,
2008-10-10,Aaron Phillips,Keith Faul,Keith Faul,U-DEC,,,,0,tapology,United States Association Of Mixed Martial Arts Usamma,,,,,,,,,,,,,,,,
2012-06-08,Albert Tumenov,Islam Dadilov,Albert Tumenov,KO/TKO,1.0,,,0,tapology,International Federation Of Full Contact Fighting Mma,,,,,,,,,,,,,,,,
2015-07-11,Brendan Allen,James Duckett,Brendan Allen,SUB,1.0,,,1,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-11-13,Darian Weeks,Murad Guseinov,Murad Guseinov,U-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2015-07-09,Brendan Allen,Imad Hoayek,Brendan Allen,SUB,2.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2015-07-06,Brendan Allen,Colton Boxell,Brendan Allen,SUB,2.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-11-12,Darian Weeks,Shadi Morjan,Darian Weeks,KO/TKO,1.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2017-11-15,Darian Weeks,Joseph Luciano,Joseph Luciano,U-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2017-11-13,Darian Weeks,Meirambek Demeubayev,Darian Weeks,KO/TKO,3.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2016-07-06,Alex Pereira,Abdul Hussein,Abdul Hussein,SUB,1.0,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2017-11-14,Darian Weeks,Jussi Pirttikangas,Darian Weeks,U-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-03-18,Darian Weeks,Corey Reeves,Darian Weeks,KO/TKO,3.0,,,1,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2018-03-16,Darian Weeks,Cody Barnwell,Darian Weeks,S-DEC,,,,0,tapology,International Mixed Martial Arts Federation Immaf,,,,,,,,,,,,,,,,
2010-10-16,Bill Algeo,Adam Renn,Bill Algeo,U-DEC,,,,0,tapology,American Mixed Martial Arts Fight League Ammafl,,,,,,,,,,,,,,,,
2017-12-02,Cameron Saaiman,Righard Burger,Cameron Saaiman,Win,,,,1,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2018-05-12,Cameron Saaiman,Dylan Swanepoel,Cameron Saaiman,SUB,,,,0,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2017-08-05,Cameron Saaiman,Gift Walker,Cameron Saaiman,U-DEC,,,,0,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2019-03-02,Cameron Saaiman,Gift Walker,Cameron Saaiman,SUB,3.0,,,1,tapology,Fightstar Fighting Championship South Africa,,,,,,,,,,,,,,,,
2011-12-09,Amanda Cooper,Al-Lanna Jones,Al-Lanna Jones,U-DEC,,,,0,tapology,Capital City Cage Fight Championships Cccfc,,,,,,,,,,,,,,,,
2013-02-07,Amanda Cooper,Lauren Foley,Amanda Cooper,KO/TKO,,,,0,tapology,Capital City Cage Fight Championships Cccfc,,,,,,,,,,,,,,,,
2018-10-12,Gadzhi Omargadzhiev,Denis Maher,Denis Maher,KO/TKO,1.0,,,0,tapology,World Mixed Martial Arts Association Wmmaa,,,,,,,,,,,,,,,,
2018-10-12,Gadzhi Omargadzhiev,Axel Sola,Gadzhi Omargadzhiev,U-DEC,,,,0,tapology,World Mixed Martial Arts Association Wmmaa,,,,,,,,,,,,,,,,
2004-08-21,Bryan Caraway,Pete Iverson,Bryan Caraway,KO/TKO,2.0,,,0,tapology,Pacific Pankration Kickboxing Association,,,,,,,,,,,,,,,,
2001-08-15,Benji Radach,Eric Perez,Benji Radach,KO/TKO,1.0,,,0,tapology,Pacific Pankration Kickboxing Association,,,,,,,,,,,,,,,,
