fighter1,fighter2,fight_odds_url,Bet,5Dimes_win,Bet365_win,BetDSI_win,BetOnline_win,BookMaker_win,Bovada_win,Intertops_win,Pinnacle_win,SportBet_win,SportsInt_win,Sportsbook_win,William_H_win,meanodds_win,5Dimes_vig,BetDSI_vig,BookMaker_vig,SportBet_vig,Bet365_vig,Bovada_vig,Sportsbook_vig,William_H_vig,Pinnacle_vig,SportsInt_vig,BetOnline_vig,Intertops_vig,Winner_Cleaned,Loser_Cleaned,wiki_url,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,Card_Date,#,Event,5Dimes_lose,BetDSI_lose,BookMaker_lose,SportBet_lose,Bet365_lose,Bovada_lose,Sportsbook_lose,William_H_lose,Pinnacle_lose,SportsInt_lose,BetOnline_lose,Intertops_lose,meanodds_lose
Aalon Cruz,Spike Carlyle,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,Spike Carlyle,2.7,2.5,2.63,2.6,2.58,2.6,2.5,2.65,2.69,2.45,2.5,2.6,2.5833333333333335,0.01949317738791434,0.04239029904429148,0.05426356589147274,0.022096862245561066,0.036363636363636376,0.0512820512820511,0.04912280701754401,0.0512820512820511,0.03722243614426901,0.05102040816326525,0.03373819163292846,0.05517241379310356,Spike Carlyle,Aalon Cruz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Spike Carlyle,Aalon Cruz,Featherweight,Spike Carlyle,def,Aalon Cruz,TKO (punches),1.0,1:25,,Preliminary card (ESPN+),,,11,KO,Prelim,,,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo,1.5405405405405406,1.510204081632653,1.5,1.5376344086021505,1.5714285714285714,1.5,1.5405405405405406,1.5,1.5154639175257731,1.5555555555555556,1.5405405405405406,1.526315789473684,1.528185328820001
Aaron Phillips,Matt Hobar,https://www.bestfightodds.com/events/ufc-fight-night-49-henderson-vs-dos-anjos-846,Matt Hobar,1.4878048780487805,,1.4761904761904763,1.4761904761904763,1.4761904761904763,1.4444444444444444,,1.4878048780487805,1.4761904761904763,1.4504504504504505,1.4444444444444444,,1.4688567777998673,0.019353369763205786,0.034562211981566726,0.034562211981566726,0.030776245298073546,,0.055944055944055826,0.0494505494505495,,0.02424382359732169,0.059811364159190195,0.034562211981566726,,Matt Hobar,Aaron Phillips,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._dos_Anjos,Matt Hobar,Aaron Phillips,Bantamweight,Matt Hobar,def,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 2),https://en.wikipedia.org/wiki/Matt_Hobar,,9,Unanimous Decision,Prelim,,,2014-08-23,287,UFC Fight Night: Henderson vs. dos Anjos,2.88,2.8,2.8,2.83,,2.75,2.8,,2.84,2.7,2.8,,2.8
Aaron Phillips,Sam Sicilia,https://www.bestfightodds.com/events/ufc-173-barao-vs-dillashaw-786,Sam Sicilia,1.7142857142857144,,1.6896551724137931,1.6666666666666665,1.6896551724137931,1.6451612903225805,,1.6849315068493151,1.704225352112676,1.6097560975609757,1.625,,1.6699263302917238,0.018115942028985366,0.03628117913832196,0.03628117913832196,0.025373350732202482,,0.05228758169934644,0.05016722408026775,,0.024530417717970376,0.05599472990777343,0.03478260869565242,,Sam Sicilia,Aaron Phillips,https://en.wikipedia.org/wiki/UFC_173,Sam Sicilia,Aaron Phillips,Featherweight,Sam Sicilia,def,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Sam_Sicilia,,11,Unanimous Decision,Prelim,,,2014-05-24,273,UFC 173: Barão vs. Dillashaw,2.3,2.25,2.25,2.2800000000000002,,2.25,2.3,,2.3200000000000003,2.3,2.3,,2.283333333333333
Aaron Riley,Joe Brammer,https://www.bestfightodds.com/events/ufc-114-jackson-vs-evans-256,Aaron Riley,1.526315789473684,,,,1.5128205128205128,1.5405405405405406,,1.5076142131979695,1.526315789473684,,1.5405405405405406,,1.525691231007822,0.0325309043591413,,0.053173811897640366,0.0325309043591413,,0.04127966976264208,0.04127966976264208,,0.02431049362457305,,,,Aaron Riley,Joe Brammer,https://en.wikipedia.org/wiki/UFC_114,Aaron Riley,Joe Brammer,Lightweight,Aaron Riley,def,Joe Brammer,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Riley,,10,Unanimous Decision,Prelim,,,2010-05-29,152,UFC 114: Rampage vs. Evans,2.65,,2.55,2.65,,2.55,2.55,,2.77,,,,2.6199999999999997
Aaron Riley,Jorge Gurgel,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98,Aaron Riley,1.9523809523809523,,,,1.9090909090909092,1.8695652173913042,,2.1,1.9523809523809523,2.0,1.9523809523809523,,1.9622569976607243,0.04707884288145214,,0.06926406926406914,0.0677506775067751,,0.06976744186046524,0.0677506775067751,,0.02164502164502169,0.08158995815899583,,,Aaron Riley,Jorge Gurgel,https://en.wikipedia.org/wiki/UFC_91,Aaron Riley,Jorge Gurgel,Lightweight,Aaron Riley,def,Jorge Gurgel,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Riley,https://en.wikipedia.org/wiki/Jorge_Gurgel,6,Unanimous Decision,Prelim,,,2008-11-15,119,UFC 91: Couture vs. Lesnar,1.8695652173913042,,1.8333333333333335,1.8,,1.8695652173913042,1.8,,1.8333333333333335,1.7194244604316546,,,1.8178887945544189
Aaron Riley,Justin Salas,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674,Justin Salas,1.4545454545454546,,1.4166666666666667,1.4081632653061225,1.4081632653061225,1.4166666666666667,,1.434782608695652,1.4464285714285714,1.3401360544217686,1.5,,1.4250613947818915,0.02083333333333326,0.05070993914807298,0.04912797838368954,0.029195862529195704,,0.05070993914807298,0.0512820512820511,,0.024838549428713552,0.07952622673434862,0.04912797838368954,,Justin Salas,Aaron Riley,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Moraga,Justin Salas,Aaron Riley,Lightweight,Justin Salas,def,Aaron Riley,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,,Preliminary card (Facebook),https://en.wikipedia.org/wiki/Justin_Salas,https://en.wikipedia.org/wiki/Aaron_Riley,11,Split Decision,Prelim,,,2013-07-27,241,UFC on Fox: Johnson vs. Moraga,3.0,2.9,2.95,2.96,,2.9,2.6,,3.05,3.0,2.95,,2.923333333333334
Aaron Riley,Ross Pearson,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201,Ross Pearson,2.65,,,,2.42,2.6,,2.62,2.6,2.55,2.7,,2.5914285714285716,0.013722126929674117,,0.04557608167233829,0.0620347394540941,,0.0512820512820511,0.04778972520907998,,0.024536532170119862,0.08159785653391793,,,Ross Pearson,Aaron Riley,https://en.wikipedia.org/wiki/UFC_105,Ross Pearson,Aaron Riley,Lightweight,Ross Pearson,def,Aaron Riley,TKO (doctor stoppage),2.0,4:38,,Main card,https://en.wikipedia.org/wiki/Ross_Pearson,https://en.wikipedia.org/wiki/Aaron_Riley,5,KO,Main Event,,,2009-11-14,139,UFC 105: Couture vs. Vera,1.5714285714285714,,1.5813953488372094,1.4761904761904763,,1.5,1.4761904761904763,,1.5555555555555556,1.4504504504504505,,,1.5158872683789628
Aaron Riley,Shane Nelson,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125,Shane Nelson,3.0,,,,2.95,2.75,,3.05,2.8,,2.65,,2.8666666666666667,0.039215686274509665,,0.04912797838368954,0.06302521008403361,,0.04617604617604609,0.04948963810702134,,0.020176544766708826,,,,Shane Nelson,Aaron Riley,https://en.wikipedia.org/wiki/UFC_96,Shane Nelson,Aaron Riley,Lightweight,Shane Nelson,def,Aaron Riley,TKO (punches),1.0,0:44,,Preliminary card,https://en.wikipedia.org/wiki/Shane_Nelson_(fighter),https://en.wikipedia.org/wiki/Aaron_Riley,10,KO,Prelim,,,2009-03-07,127,UFC 96: Jackson vs. Jardine,1.4166666666666667,,1.4081632653061225,1.4166666666666667,,1.4651162790697674,1.4878048780487805,,1.4444444444444444,,,,1.439810366700408
Aaron Riley,Shane Nelson,https://www.bestfightodds.com/search?query=UFC%20101%3A%20Declaration,Aaron Riley,1.6451612903225805,,,,1.606060606060606,,,1.641025641025641,1.6451612903225805,,1.625,,1.6324817655462815,0.03337505214851899,,0.04817342432757932,0.05228758169934644,,,0.05016722408026775,,0.024312759336099443,,,,Aaron Riley,Shane Nelson,https://en.wikipedia.org/wiki/UFC_101,Aaron Riley,Shane Nelson,Lightweight,Aaron Riley,def,Shane Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,"This bout, originally scheduled for the preliminary card, was moved to the main card due to time constraints.",Main card,https://en.wikipedia.org/wiki/Aaron_Riley,https://en.wikipedia.org/wiki/Shane_Nelson_(fighter),3,Unanimous Decision,Main Event,,,2009-08-08,134,UFC 101: Declaration,2.35,,2.35,2.25,,,2.3,,2.41,,,,2.332
Aaron Riley,Tony Ferguson,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417,Tony Ferguson,1.3076923076923077,,,,1.289855072463768,1.2857142857142856,,1.3076923076923077,1.3021148036253776,1.25,1.2857142857142856,,1.2898261518431902,0.017870439314966458,,0.04194756554307122,0.025050847255441155,,0.04444444444444451,0.04444444444444451,,0.02444614209320095,0.08571428571428585,,,Tony Ferguson,Aaron Riley,https://en.wikipedia.org/wiki/UFC_135,Tony Ferguson,Aaron Riley,Lightweight,Tony Ferguson,def,Aaron Riley,TKO (corner stoppage),1.0,5:00,,Preliminary card (Spike TV),https://en.wikipedia.org/wiki/Tony_Ferguson_(fighter),https://en.wikipedia.org/wiki/Aaron_Riley,6,KO,Prelim,,,2011-09-24,184,UFC 135: Jones vs. Rampage,3.95,,3.75,3.89,,3.75,3.75,,3.85,3.5,,,3.777142857142857
