event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,event_name,source_url
2012-07-07,Constantinos Philippou,Riki Fukuda,2012-07-07,0,0.5,0.5,1.06,1.06,1,UFC 148: Silva vs Sonnen 2,https://www.bestfightodds.com/events/ufc-148-silva-vs-sonnen-2-506
2012-10-13,Antonio Rodrigo Nogueira,Dave Herman,2012-10-13,0,0.5,0.5,1.19,1.19,1,UFC 153: Silva vs Bonnar,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
2012-12-29,Tim Boetsch,Constantinos Philippou,2012-12-29,0,0.5,0.5,1.19,1.19,1,UFC 155: Dos Santos vs Velasquez II,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
2013-01-26,Quinton Jackson,Glover Teixeira,2013-01-26,0,0.5,0.5,1.19,1.19,1,UFC on FOX: Johnson vs Dodson,https://www.bestfightodds.com/events/ufc-on-fox-6-johnson-vs-dodson-613
2013-06-08,Antonio Rodrigo Nogueira,Fabricio Werdum,2013-06-08,0,0.5,0.5,1.3,1.3,1,UFC on FUEL TV: Nogueira vs. Werdum,https://www.bestfightodds.com/events/ufc-on-fuel-tv-10-nogueira-vs-werdum-2-668
2013-09-21,Constantinos Philippou,Francis Carmont,2013-09-21,0,0.5,0.5,1.25,1.25,1,UFC 165: Jones vs Gustafsson,https://www.bestfightodds.com/events/ufc-165-jones-vs-gustafsson-697
2013-12-14,King Green,Pat Healy,2013-12-14,0,0.5,0.5,1.25,1.25,1,UFC on FOX: Johnson vs. Benavidez 2,https://www.bestfightodds.com/events/ufc-on-fox-9-johnson-vs-benavidez-729
2014-04-11,Antonio Rodrigo Nogueira,Roy Nelson,2014-04-11,0,0.5,0.5,1.31,1.31,1,UFC Fight Night: Minotauro vs Nelson,https://www.bestfightodds.com/events/ufc-fight-night-39-minotauro-vs-nelson-790
2014-05-10,Constantinos Philippou,Lorenz Larkin,2014-05-10,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Brown vs Silva,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
2014-06-14,Ryan Bader,Rafael Cavalcante,2014-06-14,0,0.5,0.5,1.25,1.25,1,UFC 174: Johnson vs Bagautinov,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
2014-06-28,Kelvin Gastelum,Nicholas Musoke,2014-06-28,0,0.5,0.5,1.08,1.08,1,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-07-26,Josh Thomson,King Green,2014-07-26,0,0.5,0.5,1.25,1.25,1,UFC on FOX: Lawler vs Brown,https://www.bestfightodds.com/events/ufc-on-fox-12-lawler-vs-brown-829
2014-10-25,William Macario,Neil Magny,2014-10-25,0,0.5,0.5,1.25,1.25,1,UFC 179: Aldo vs Mendes 2,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
2014-11-22,King Green,Edson Barboza,2014-11-22,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Edgar vs Swanson,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
2015-01-24,Nicholas Musoke,Albert Tumenov,2015-01-24,0,0.5,0.5,1.25,1.25,1,UFC on FOX: Gustafsson vs Johnson,https://www.bestfightodds.com/events/ufc-on-fox-14-gustafsson-vs-johnson-906
2015-03-21,Edimilson Souza,Katsunori Kikuno,2015-03-21,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Maia vs LaFlare,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
