event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2021-09-18,Rong Zhu,Brandon Jenkins,2021-09-18,0,0.683582,0.316418,1.388679,3.0,6,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,https://www.bestfightodds.com/fighters/Zhu-Rong-10936,Brandon Jenkins | +170 | +170 | ... | +225 | Sep 18th 2021
2021-09-18,Rongzhu,Brandon Jenkins,2021-09-18,0,0.683582,0.316418,1.388679,3.0,6,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,https://www.bestfightodds.com/fighters/Zhu-Rong-10936,Brandon Jenkins | +170 | +170 | ... | +225 | Sep 18th 2021
2022-02-05,Jailton Almeida,Danilo Marques,2022-02-05,0,0.773497,0.226503,1.229885,4.2,7,https://www.bestfightodds.com/events/ufc-fight-night-202-2339,https://www.bestfightodds.com/fighters/Jailton-Almeida-12427,Danilo Marques | +180 | +290 | ... | +350 | Feb 5th 2022
2022-02-12,Jeremiah Wells,Blood Diamond,2022-02-12,0,0.665499,0.334501,1.425532,2.855,6,https://www.bestfightodds.com/events/ufc-271-2338,https://www.bestfightodds.com/fighters/Jeremiah-Wells-8059,Mike Mathetha | +170 | +175 | ... | +210 | Feb 12th 2022
2022-02-26,Rongzhu,Ignacio Bahamondes,2022-02-26,0,0.344371,0.655629,2.75,1.444444,7,https://www.bestfightodds.com/events/ufc-fight-night-203-2343,https://www.bestfightodds.com/fighters/Zhu-Rong-10936,Ignacio Bahamondes | -260 | -275 | ... | -200 | Feb 26th 2022
2022-03-19,Paddy Pimblett,Kazula Vargas,2022-03-19,0,0.827932,0.172068,1.149254,5.5,7,https://www.bestfightodds.com/events/ufc-fight-night-205-2376,https://www.bestfightodds.com/fighters/Paddy-Pimblett-4242,Kazula Vargas |  | n/a |  |  |  |  | Mar 19th 2022
2022-04-16,Alatengheili,Kevin Croom,2022-04-16,0,0.615491,0.384509,1.561798,2.5,7,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412,https://www.bestfightodds.com/fighters/Heili-Alateng-9469,Kevin Croom | +120 | +140 | ... | +155 | Apr 16th 2022
2022-06-11,Liang Na,Silvana Gomez Juarez,2022-06-11,0,0.521739,0.478261,1.826446,2.0,7,https://www.bestfightodds.com/events/ufc-275-2457,https://www.bestfightodds.com/fighters/Liang-Na-13631,Silvana Gomez Juarez | -150 | -111 | ... | +110 | Jun 11th 2022
2022-07-30,Don'Tale Mayes,Hamdy Abdelwahab,2022-07-30,0,0.650704,0.349296,1.47619,2.75,7,https://www.bestfightodds.com/events/ufc-277-pena-vs-nunes-2-2517,https://www.bestfightodds.com/fighters/Don-tale-Mayes-6830,Hamdy Abdelwahab | -120 | -105 | ... | +195 | Jul 30th 2022
2022-08-13,Youssef Zalal,Da'Mon Blackshear,2022-08-13,0,0.547546,0.452454,1.740741,2.1,7,https://www.bestfightodds.com/events/ufc-fight-night-vera-vs-cruz-2552,https://www.bestfightodds.com/fighters/Youssef-Zalal-8823,Da'mon Blackshear | +145 | +110 | ... | +115 | Aug 13th 2022
2023-02-04,Dooho Choi,Kyle Nelson,2023-02-04,0,0.620915,0.379085,1.526316,2.5,7,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-spivak-2747,https://www.bestfightodds.com/fighters/Choi-Doo-Ho-14774,Kyle Nelson | +210 | +150 | ... | +170 | Feb 4th 2023
2023-02-11,Jimmy Crute,Alonzo Menifield,2023-02-11,0,0.604317,0.395683,1.571429,2.42,7,https://www.bestfightodds.com/events/ufc-284-makhachev-vs-volkanovski-2710,https://www.bestfightodds.com/fighters/Jimmy-Crute-9838,Alonzo Menifield | +195 | +135 | ... | +155 | Feb 12th 2023
2023-02-11,Zubaira Tukhugov,Elves Brener,2023-02-11,0,0.829721,0.170279,1.16,5.6,7,https://www.bestfightodds.com/events/ufc-284-2688,https://www.bestfightodds.com/fighters/Zubaira-Tukhugov-5054,Elves Brenner | +375 | +400 | ... | +500 | Feb 11th 2023
2023-03-04,Ian Machado Garry,Song Kenan,2023-03-04,0,0.849679,0.150321,1.125,6.375,6,https://www.bestfightodds.com/events/ufc-285-2738,https://www.bestfightodds.com/fighters/Ian-Garry-8934,Kenan Song | +310 | +500 | ... | +650 | Mar 4th 2023
