event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2023-07-29,Tony Ferguson,King Green,2023-07-29,0,0.25,0.75,3.8,1.277778,7,https://www.bestfightodds.com/events/ufc-2922,https://www.bestfightodds.com/fighters/Tony-Ferguson-2568,Bobby Green | -350 | -400 | ... | -350 | Jul 30th 2023
2025-03-22,Jai Herbert,Chris Padilla,2025-03-22,0,0.537967,0.462033,1.769231,2.06,5,https://www.bestfightodds.com/events/ufc-3578,https://www.bestfightodds.com/fighters/Jai-Herbert-6873,Chris Padilla | +105 | -110 | ... | +114 | Mar 22nd 2025
2025-04-05,Vanessa Demopoulos,Talita Alencar,2025-04-05,0,0.5,0.5,1.909091,1.892857,5,https://www.bestfightodds.com/events/ufc-3671,https://www.bestfightodds.com/fighters/Vanessa-Demopoulos-8998,Talita Alencar | +110 | -115 | ... | -104 | Apr 5th 2025
2025-05-10,Modestas Bukauskas,Ion Cutelaba,2025-05-10,0,0.5,0.5,1.909091,1.909091,5,https://www.bestfightodds.com/events/ufc-3644,https://www.bestfightodds.com/fighters/Modestas-Bukauskas-7865,Ion Cutelaba | -120 | -114 | ... | -110 | May 11th 2025
2025-07-12,Jake Matthews,Chidi Njokuani,2025-07-12,0,0.486721,0.513279,1.952381,1.840395,4,https://www.bestfightodds.com/events/ufc-fight-night-3748,https://www.bestfightodds.com/fighters/Jake-Matthews-4978,Chidi Njokuani | -138 | -122 | ... | -115 | Jul 12th 2025
2026-03-14,Amanda Lemos,Gillian Robertson,2026-03-14,0,0.321839,0.678161,2.95,1.4,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Amanda-Lemos-7335,Gillian Robertson | -250 | -250 | ... | -235 | Mar 14th 2026
2026-03-14,Andre Fili,Jose Delgado,2026-03-14,0,0.204513,0.795487,4.7,1.208333,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Andre-Fili-4466,Jose Delgado | -260 | -500 | ... | -401 | Mar 14th 2026
2026-03-14,Brad Tavares,Eryk Anders,2026-03-14,0,0.44934,0.55066,2.12,1.729927,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Brad-Tavares-1959,Eryk Anders | +160 | -140 | ... | -125 | Mar 14th 2026
2026-03-14,Charles Johnson,Bruno Silva,2026-03-14,0,0.617279,0.382721,1.537634,2.48,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Charles-Johnson-7494,Bruno Silva | +130 | +140 | ... | +165 | Mar 14th 2026
2026-03-14,Chris Curtis,Myktybek Orolbai,2026-03-14,0,0.211679,0.788321,4.5,1.208333,5,https://www.bestfightodds.com/events/ufc-vegas-114-4080,https://www.bestfightodds.com/fighters/Chris-Curtis-6020,Myktybek Orolbai | -250 | -500 | ... | -450 | Mar 14th 2026
