event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2026-07-11,Alessandro Costa,Cody Durden,2026-07-11,0,0.724479,0.275521,1.374162,3.613333,6,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/alessandro-costa-14121,Cody Durden | +250 | +175 | ... | +200 | Jul 11th 2026
2026-07-11,Benoit Saint Denis,Paddy Pimblett,2026-07-11,0,0.523309,0.476691,1.831059,2.010125,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/benoit-saint-denis-10992,Paddy Pimblett | -110 | +100 | ... | +105 | Jul 11th 2026
2026-07-11,Cody Garbrandt,Adrian Yanez,2026-07-11,0,0.246125,0.753875,3.945714,1.288195,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/cody-garbrandt-5368,Adrian Yanez | -250 | -450 | ... | -370 | Jul 11th 2026
2026-07-11,Conor McGregor,Max Holloway,2026-07-11,0,0.281364,0.718636,3.457143,1.353556,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/conor-mcgregor-3147,Max Holloway | -270 | -295 | ... | -250 | Jul 11th 2026
2026-07-11,Cory Sandhagen,Mario Bautista,2026-07-11,0,0.44062,0.55938,2.653881,2.090442,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/cory-sandhagen-6127,Mario Bautista | +170 | +120 | ... | +133 | Jul 11th 2026
2026-07-11,Damian Pinas,Cesar Almeida,2026-07-11,0,0.673063,0.326937,1.436476,2.957268,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/damian-pinas-19989,Cesar Almeida | +225 | +200 | ... | +250 | Jul 11th 2026
2026-07-11,Farid Basharat,John Garza,2026-07-11,0,0.853817,0.146183,1.134845,6.628333,6,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/farid-basharat-11791,John Garza | +410 | +450 | ... | +525 | Jul 11th 2026
2026-07-11,Gable Steveson,Elisha Ellison,2026-07-11,0,0.885703,0.114297,1.092102,8.462857,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/gable-steveson-19830,Elisha Ellison | +900 | +725 | ... | +900 | Jul 11th 2026
2026-07-11,King Green,Terrance McKinney,2026-07-11,0,0.390556,0.609444,2.846393,1.824085,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/king-green-19196,Terrance McKinney | -205 | -120 | ... | +100 | Jul 11th 2026
2026-07-11,Luke Riley,Kai Kamaka III,2026-07-11,0,0.688042,0.311958,1.395826,3.078571,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/luke-riley-12585,Kai Kamaka III | +330 | +200 | ... | +225 | Jul 11th 2026
2026-07-11,Nikita Krylov,Robert Whittaker,2026-07-11,0,0.363542,0.636458,2.984286,1.704609,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/nikita-krylov-4188,Robert Whittaker | -104 | -130 | ... | -125 | Jul 11th 2026
2026-07-11,Ryan Gandra,Zach Reese,2026-07-11,0,0.56871,0.43129,1.700903,2.242857,7,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/ryan-gandra-18813,Zachary Reese | +140 | +110 | ... | +115 | Jul 11th 2026
2026-07-11,Tracy Cortez,Wang Cong,2026-07-11,0,0.473785,0.526215,2.02373,1.822096,6,https://www.bestfightodds.com/events/ufc-329-4252,https://www.bestfightodds.com/fighters/tracy-cortez-7427,Wang Cong | -133 | -124 | ... | -120 | Jul 11th 2026
2026-07-18,Alden Coria,Stewart Nicoll,2026-07-18,0,0.913094,0.086906,1.08448,11.394286,7,https://www.bestfightodds.com/events/ufc-oklahoma-4195,https://www.bestfightodds.com/fighters/alden-coria-10859,Stewart Nicoll | +550 | +600 | ... | +850 | Jul 18th 2026
