event_name,event_date
UFC Live: Vera vs Jones,2010-03-21
UFC 111: St-Pierre vs Hardy,2010-03-27
UFC Fight Night: Florian vs Gomi,2010-03-31
UFC 112: Invincible,2010-04-10
UFC 113: Machida vs Shogun 2,2010-05-08
UFC 114: Rampage vs Evans,2010-05-29
,2010-05-29
UFC 115: Liddell vs Franklin,2010-06-12
,2010-06-12
The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,2010-06-19
UFC 116: Lesnar vs Carwin,2010-07-03
UFC Live: Jones vs Matyushenko,2010-08-01
UFC 117: Silva vs Sonnen,2010-08-07
UFC 118: Edgar vs Penn 2,2010-08-28
UFC Fight Night: Marquardt vs Palhares,2010-09-15
UFC 119: Mir vs Cro Cop,2010-09-25
,2010-09-25
UFC 120: Bisping vs Akiyama,2010-10-16
UFC 121: Lesnar vs Velasquez,2010-10-23
UFC 122: Marquardt vs Okami,2010-11-13
,2010-11-20
UFC 123: Rampage vs Machida,2010-11-20
The Ultimate Fighter: Team GSP vs Team Koscheck Finale,2010-12-04
UFC 124: St-Pierre vs Koscheck 2,2010-12-11
UFC 125: Resolution,2011-01-01
UFC Fight Night: Fight for the Troops 2,2011-01-22
UFC 126: Silva vs Belfort,2011-02-05
UFC 127: Penn vs Fitch,2011-02-26
,2011-02-26
UFC Live: Sanchez vs Kampmann,2011-03-03
,2011-03-19
UFC 128: Shogun vs Jones,2011-03-19
UFC Fight Night: Nogueira vs Davis,2011-03-26
UFC 129: St-Pierre vs Shields,2011-04-30
UFC 130: Rampage vs Hamill,2011-05-28
,2011-05-28
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,2011-06-04
UFC 131: Dos Santos vs Carwin,2011-06-11
UFC Live: Kongo vs Barry,2011-06-26
UFC 132: Cruz vs Faber,2011-07-02
,2011-08-06
UFC 133: Evans vs Ortiz 2,2011-08-06
UFC Live: Hardy vs Lytle,2011-08-14
UFC 134: Silva vs Okami,2011-08-27
,2011-08-27
UFC Fight Night: Shields vs Ellenberger,2011-09-17
UFC 135: Jones vs Rampage,2011-09-24
,2011-09-24
