event_date,fighter_a,fighter_b
2010-03-21,Alessio Sakara,James Irvin
2010-03-21,Brandon Vera,Jon Jones
2010-03-21,Brendan Schaub,Chase Gormley
2010-03-21,Cheick Kongo,Paul Buentello
2010-03-21,Clay Guida,Shannon Gugerty
2010-03-21,Duane Ludwig,Darren Elkins
2010-03-21,Eliot Marshall,Vladimir Matyushenko
2010-03-21,Eric Schafer,Jason Brilz
2010-03-21,John Howard,Daniel Roberts
2010-03-21,Junior Dos Santos,Gabriel Gonzaga
2010-03-21,Mike Pierce,Julio Paulino
2010-03-27,Rousimar Palhares,Tomasz Drwal
2010-03-27,Rodney Wallace,Jared Hamman
2010-03-27,Ricardo Almeida,Matt Brown
2010-03-27,Matthew Riddle,Greg Soto
2010-03-27,Nate Diaz,Rory Markham
2010-03-27,Jim Miller,Mark Bocek
2010-03-27,Georges St-Pierre,Dan Hardy
2010-03-27,Frank Mir,Shane Carwin
2010-03-27,Ben Saunders,Jon Fitch
2010-03-27,Kurt Pellegrino,Fabricio Camoes
2010-03-31,Yushin Okami,Lucio Linhares
2010-03-31,Roy Nelson,Stefan Struve
2010-03-31,Ross Pearson,Dennis Siver
2010-03-31,Rob Emerson,Nik Lentz
2010-03-31,Nate Quarry,Jorge Rivera
2010-03-31,Jacob Volkmann,Ronys Torres
2010-03-31,Gerald Harris,Mario Miranda
2010-03-31,Charlie Brenneman,Jason High
2010-03-31,Caol Uno,Gleison Tibau
2010-03-31,Andre Winner,Rafaello Oliveira
2010-03-31,Kenny Florian,Takanori Gomi
2010-04-10,Matt Hughes,Renzo Gracie
2010-04-10,Terry Etim,Rafael Dos Anjos
2010-04-10,Nick Osipczak,Rick Story
2010-04-10,Kendall Grove,Mark Munoz
2010-04-10,Paul Kelly,Matt Veach
2010-04-10,DaMarques Johnson,Brad Blackburn
2010-04-10,Alexander Gustafsson,Phil Davis
2010-04-10,Jon Madsen,Mostapha Al-Turk
2010-04-10,BJ Penn,Frankie Edgar
2010-04-10,Anderson Silva,Demian Maia
2010-05-08,Sam Stout,Jeremy Stephens
2010-05-08,Yoshiyuki Yoshida,Mike Guymon
2010-05-08,Tom Lawlor,Joe Doerksen
2010-05-08,TJ Grant,Johny Hendricks
2010-05-08,Patrick Cote,Alan Belcher
2010-05-08,Marcus Davis,Jonathan Goulet
2010-05-08,Lyoto Machida,Mauricio Rua
2010-05-08,Kevin Ferguson,Matt Mitrione
2010-05-08,Josh Koscheck,Paul Daley
2010-05-08,Joey Beltran,Tim Hague
2010-05-08,Jason MacDonald,John Salter
2010-05-29,Rampage Jackson,Rashad Evans
2010-05-29,Quinton Jackson,Rashad Evans
2010-05-29,Michael Bisping,Dan Miller
2010-05-29,Melvin Guillard,Waylon Lowe
2010-05-29,Luiz Cane,Cyrille Diabate
2010-05-29,Todd Duffee,Mike Russow
2010-05-29,Jesse Forbes,Ryan Jensen
2010-05-29,Efrain Escudero,Dan Lauzon
2010-05-29,Diego Sanchez,John Hathaway
2010-05-29,Amir Sadollah,Dong Hyun Kim
2010-05-29,Aaron Riley,Joe Brammer
2010-05-29,Jason Brilz,Rogerio Nogueira
2010-06-12,Tyson Griffin,Evan Dunham
2010-06-12,Ricardo Funch,Claude Patrick
2010-06-12,Paulo Thiago,Martin Kampmann
2010-06-12,Mirko Filipovic,Pat Barry
2010-06-12,Mirko Cro Cop,Pat Barry
2010-06-12,Mike Pyle,Jesse Lennox
2010-06-12,Mac Danzig,Matt Wiman
2010-06-12,David Loiseau,Mario Miranda
2010-06-12,Chuck Liddell,Rich Franklin
2010-06-12,Carlos Condit,Rory MacDonald
2010-06-12,Ben Rothwell,Gilbert Yvel
2010-06-12,James Wilks,Peter Sobotta
2010-06-19,Josh Bryant,Kyle Noke
2010-06-19,Spencer Fisher,Dennis Siver
2010-06-19,Keith Jardine,Matt Hamill
2010-06-19,John Gunderson,Mark Holst
2010-06-19,Jamie Yager,Rich Attonito
2010-06-19,James McSweeney,Travis Browne
2010-06-19,Court McGee,Kris McCray
2010-06-19,Chris Leben,Aaron Simpson
2010-06-19,Chris Camozzi,James Hammortree
2010-06-19,Brad Tavares,Seth Baczynski
