event_date,fighter_a,fighter_b
2011-02-26,BJ Penn,Jon Fitch
2014-12-12,Tecia Pennington,Angela Magana
2015-06-13,Tecia Pennington,Angela Hill
2015-09-05,Clay Collard,Tiago dos Santos e Silva
2015-12-12,Tecia Pennington,Jocelyn Jones-Lybarger
2016-04-16,Rose Namajunas,Tecia Pennington
2016-12-09,Tiago dos Santos e Silva,Shane Burgos
2017-02-04,Tecia Pennington,Bec Rawlings
2017-07-07,Tecia Pennington,Juliana Lima
2017-12-02,Tecia Pennington,Michelle Waterson-Gomez
2018-07-28,Joanna Jedrzejczyk,Tecia Pennington
2019-01-19,Joanne Wood,Ariane da Silva
2019-03-02,Tecia Pennington,Zhang Weili
2019-06-08,Katlyn Cerminara,Joanne Wood
2019-06-22,Ariane da Silva,Molly McCann
2019-08-10,Tecia Pennington,Marina Rodriguez
2019-08-31,Wu Yanan,Mizuki
2019-11-16,Ariane da Silva,Isabela de Padua
2020-06-20,Tecia Pennington,Brianna Fortino
2020-07-18,Ariane da Silva,Luana Carolina
2020-08-22,Amanda Lemos,Mizuki
2020-11-21,Antonina Shevchenko,Ariane da Silva
2020-12-12,Tecia Pennington,Sam Hughes
2021-01-23,Arman Tsarukyan,Matt Frevola
2021-01-23,Jessica Eye,Joanne Wood
2021-03-20,Cheyanne Vlismas,Montserrat Conejo Ruiz
2021-07-31,Cheyanne Vlismas,Gloria de Paula
2021-07-31,Danny Chavez,Kai Kamaka
2021-08-07,Tecia Pennington,Angela Hill
2021-09-18,Ariane da Silva,Mandy Bohm
2021-09-18,Gustavo Lopez,Alatengheili
2021-09-18,Rong Zhu,Brandon Jenkins
2021-09-18,Rongzhu,Brandon Jenkins
