event_date,event_name
1994-03-11,UFC 2: No Way Out
1994-12-16,UFC 4: Revenge of the Warriors
1995-04-07,UFC 5: The Return of the Beast
1995-07-14,UFC 6: Clash of the Titans
1995-09-08,UFC 7: The Brawl in Buffalo
1995-12-16,UFC - Ultimate Ultimate '95
1996-02-16,UFC 8: David vs Goliath
1996-05-17,UFC 9: Motor City Madness
1996-07-12,UFC 10: The Tournament
1996-09-20,UFC 11: The Proving Ground
1996-12-07,UFC - Ultimate Ultimate '96
1997-02-07,UFC 12: Judgement Day
1997-05-30,UFC 13: The Ultimate Force
1997-10-17,UFC 15: Collision Course
1997-12-21,UFC - Ultimate Japan
1998-03-13,UFC 16: Battle in the Bayou
1999-01-08,UFC 18: The Road to the Heavyweight Title
1999-03-05,UFC 19: Ultimate Young Guns
1999-05-07,UFC 20: Battle for the Gold
1999-07-16,UFC 21: Return of the Champions
1999-09-24,UFC 22: Only One Can be Champion
1999-11-19,UFC 23: Ultimate Japan 2
2000-04-14,UFC 25: Ultimate Japan 3
2000-06-09,UFC 26: Ultimate Field Of Dreams
2000-09-22,UFC 27: Ultimate Bad Boyz
2000-11-17,UFC 28: High Stakes
2000-12-16,UFC 29: Defense of the Belts
2001-02-23,UFC 30: Battle on the Boardwalk
2001-05-04,UFC 31: Locked and Loaded
2001-06-29,UFC 32: Showdown in the Meadowlands
2001-11-02,UFC 34: High Voltage
2002-01-11,UFC 35: Throwdown
2002-03-22,UFC 36: Worlds Collide
2002-05-10,UFC 37: High Impact
2002-06-22,UFC 37.5: As Real As It Gets
2002-07-13,UFC 38: Brawl at the Hall
2002-09-27,UFC 39: The Warriors Return
2002-11-22,UFC 40: Vendetta
2003-02-28,UFC 41: Onslaught
2003-04-25,UFC 42: Sudden Impact
2003-06-06,UFC 43: Meltdown
2003-09-26,UFC 44: Undisputed
2003-11-21,UFC 45: Revolution
2004-01-31,UFC 46: Supernatural
2004-04-02,UFC 47: It's On!
2004-06-19,UFC 48: Payback
2004-08-21,UFC 49: Unfinished Business
2004-10-22,UFC 50: The War Of '04
2005-02-05,UFC 51: Super Saturday
2005-04-09,The Ultimate Fighter: Team Couture vs. Team Liddell Finale
2005-04-16,UFC 52: Couture vs Liddell 2
2005-06-04,UFC 53: Heavy Hitters
2005-08-20,UFC 54: Boiling Point
2005-10-03,UFC Fight Night 2
2005-10-07,UFC 55: Fury
2005-11-05,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale
2005-11-19,UFC 56: Full Force
2006-01-16,UFC Fight Night 3
2006-02-04,UFC 57: Liddell vs Couture 3
2006-03-04,UFC 58: USA vs Canada
2006-04-06,UFC Fight Night 4
2006-04-15,UFC 59: Reality Check
2006-05-27,UFC 60: Hughes vs Gracie
2006-06-28,UFC Fight Night 5
2006-07-08,UFC 61: Bitter Rivals
2006-08-17,UFC Fight Night 6
2006-08-26,UFC 62: Liddell vs Sobral
2006-09-23,UFC 63: Hughes vs Penn
2006-10-10,Ortiz vs Shamrock 3: The Final Chapter
2006-10-14,UFC 64: Unstoppable
2006-11-11,The Ultimate Fighter: The Comeback Finale
2006-11-18,UFC 65: Bad Intentions
2006-12-13,UFC Fight Night: Sanchez vs Riggs
2006-12-30,UFC 66: Liddell vs Ortiz 2
2007-01-25,UFC Fight Night: Evans vs Salmon
2007-02-03,UFC 67: All or Nothing
2007-03-03,UFC 68: The Uprising
2007-04-05,UFC Fight Night: Stevenson vs Guillard
2007-04-07,UFC 69: Shootout
2007-04-21,UFC 70: Nations Collide
2007-05-26,UFC 71: Liddell vs Jackson
2007-06-12,UFC Fight Night: Stout vs Fisher
2007-06-16,UFC 72: Victory
2007-06-23,The Ultimate Fighter: Team Pulver vs. Team Penn Finale
2007-07-07,UFC 73: Stacked
2007-08-25,UFC 74: Respect
2007-09-08,UFC 75: Champion vs Champion
2007-09-19,UFC Fight Night: Thomas vs Florian
2007-09-22,UFC 76: Knockout
2007-10-20,UFC 77: Hostile Territory
2007-11-17,UFC 78: Validation
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
2007-12-29,UFC 79: Nemesis
2008-01-19,UFC 80: Rapid Fire
2008-01-23,UFC Fight Night: Swick vs Burkman
2008-02-02,UFC 81: Breaking Point
2008-03-01,UFC 82: Pride of a Champion
2008-04-02,UFC Fight Night: Florian vs Lauzon
2008-04-19,UFC 83: Serra vs St-Pierre 2
2008-05-24,UFC 84: Ill Will
2008-06-07,UFC 85: Bedlam
2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale
2008-07-05,UFC 86: Jackson vs Griffin
2008-07-19,UFC: Silva vs Irvin
2008-08-09,UFC 87: Seek And Destroy
2008-09-06,UFC 88: Breakthrough
2008-09-17,UFC Fight Night: Diaz vs Neer
2008-10-18,UFC 89: Bisping vs Leben
2008-10-25,UFC 90: Silva vs Cote
2008-11-15,UFC 91: Couture vs Lesnar
2008-12-10,UFC Fight Night - Fight for the Troops
2008-12-13,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
2008-12-27,UFC 92: The Ultimate 2008
2009-01-17,UFC 93: Franklin vs Henderson
2009-01-31,UFC 94: St-Pierre vs Penn 2
2009-02-07,UFC Fight Night: Lauzon vs Stephens
2009-02-21,UFC 95: Sanchez vs Stevenson
2009-03-07,UFC 96: Jackson vs Jardine
2009-04-01,UFC Fight Night: Condit vs Kampmann
2009-04-18,UFC 97: Redemption
2009-05-23,UFC 98: Evans vs Machida
2009-06-13,UFC 99: The Comeback
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale
2009-07-11,UFC 100
2009-08-08,UFC 101: Declaration
2009-08-29,UFC 102: Couture vs Nogueira
2009-09-16,UFC Fight Night: Diaz vs Guillard
2009-09-19,UFC 103: Franklin vs Belfort
2009-10-24,UFC 104: Machida vs Shogun
2009-11-14,UFC 105: Couture vs Vera
2009-11-21,UFC 106: Ortiz vs Griffin 2
2009-12-05,The Ultimate Fighter: Heavyweights Finale
2009-12-12,UFC 107: Penn vs Sanchez
2010-01-02,UFC 108: Evans vs Silva
2010-01-11,UFC Fight Night: Maynard vs Diaz
2010-02-06,UFC 109: Relentless
2010-02-20,UFC 110: Nogueira vs Velasquez
2010-05-29,UFC 114: Rampage vs Evans
2010-06-12,UFC 115: Liddell vs Franklin
2010-09-25,UFC 119: Mir vs Cro Cop
2010-11-20,UFC 123: Rampage vs Machida
2011-03-19,UFC 128: Shogun vs Jones
2011-05-28,UFC 130: Rampage vs Hamill
2011-08-27,UFC 134: Silva vs Okami
2011-09-24,UFC 135: Jones vs Rampage
2011-10-29,UFC 137: Penn vs Diaz
2011-12-10,UFC 140: Jones vs Machida
2012-02-25,UFC 144: Edgar vs Henderson
2012-03-02,UFC on FX: Alves vs Kampmann
2012-07-07,UFC 148: Silva vs Sonnen 2
2012-10-13,UFC 153: Silva vs Bonnar
2012-12-29,UFC 155: Dos Santos vs Velasquez II
2013-01-26,UFC on FOX: Johnson vs Dodson
2013-06-08,UFC on FUEL TV: Nogueira vs. Werdum
2013-09-21,UFC 165: Jones vs Gustafsson
2013-12-14,UFC on FOX: Johnson vs. Benavidez 2
2014-04-11,UFC Fight Night: Minotauro vs Nelson
2014-05-10,UFC Fight Night: Brown vs Silva
2014-06-14,UFC 174: Johnson vs Bagautinov
2014-06-28,UFC Fight Night: Swanson vs Stephens
2014-07-26,UFC on FOX: Lawler vs Brown
2014-10-25,UFC 179: Aldo vs Mendes 2
2014-11-22,UFC Fight Night: Edgar vs Swanson
2015-01-24,UFC on FOX: Gustafsson vs Johnson
2015-03-21,UFC Fight Night: Maia vs LaFlare
2015-04-11,UFC Fight Night: Gonzaga vs Cro Cop 2
2015-04-25,UFC 186: Johnson vs Horiguchi
2015-05-09,UFC Fight Night: Miocic vs Hunt
2015-05-16,UFC Fight Night: Edgar vs Faber
2015-05-23,UFC 187: Johnson vs Cormier
2015-08-01,UFC 190: Rousey vs Correia
2015-09-05,UFC 191: Johnson vs Dodson 2
2015-10-24,UFC Fight Night: Holohan vs Smolka
2015-11-07,UFC Fight Night: Belfort vs Henderson 3
2016-02-06,UFC Fight Night: Hendricks vs Thompson
2016-02-27,UFC Fight Night: Silva vs Bisping
2016-03-19,UFC Fight Night: Hunt vs Mir
2016-04-10,UFC Fight Night: Rothwell vs Dos Santos
2016-04-16,UFC on FOX: Teixeira vs Evans
2016-05-08,UFC Fight Night: Overeem vs Arlovski
2016-06-04,UFC 199: Rockhold vs. Bisping 2
2016-06-18,UFC Fight Night: MacDonald vs Thompson
2016-09-10,UFC 203: Miocic vs. Overeem
2016-11-26,UFC Fight Night: Whittaker vs. Brunson
2017-01-15,UFC Fight Night: Rodriguez vs. Penn
2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie
2017-02-11,UFC 208: Holm vs. De Randamie
2017-03-18,UFC Fight Night: Manuwa vs. Anderson
2017-04-15,UFC on FOX: Johnson vs. Reis
2017-05-13,UFC 211: Miocic vs. Dos Santos
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira
2017-06-03,UFC 212: Aldo vs. Holloway
2017-06-17,UFC Fight Night: Holm vs. Correia
2017-06-25,UFC Fight Night: Chiesa vs. Lee
2017-07-07,The Ultimate Fighter: Redemption Finale
2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio
2017-08-05,UFC Fight Night: Pettis vs. Moreno
2017-09-22,UFC Fight Night: Saint Preux vs. Okami
2017-11-11,UFC Fight Night: Poirier vs. Pettis
2017-12-02,UFC 218: Holloway vs. Aldo 2
2017-12-30,UFC 219: Cyborg vs. Holm
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2
2018-02-24,UFC Fight Night: Emmett vs. Stephens
2018-04-14,UFC Fight Night: Poirier vs. Gaethje
2018-06-23,UFC Fight Night: Cowboy vs. Edwards
2018-07-14,UFC Fight Night: Dos Santos vs. Ivanov
2018-07-28,UFC Fight Night: Alvarez vs. Poirier 2
2018-08-25,UFC Fight Night: Gaethje vs. Vick
2018-09-08,UFC 228: Woodley vs. Till
2018-10-06,UFC 229: Khabib vs. McGregor
2018-11-17,UFC Fight Night: Magny vs. Ponzinibbio
2018-12-08,UFC 231: Holloway vs. Ortega
2018-12-15,UFC Fight Night: Lee vs. Iaquinta
2018-12-29,UFC 232: Jones vs. Gustafsson 2
2019-02-17,UFC Fight Night: Ngannou vs. Velasquez
2019-02-23,UFC Fight Night: Blachowicz vs. Santos
2019-03-02,UFC 235: Jones vs. Smith
2019-03-09,UFC Fight Night: Lewis vs. Dos Santos
2019-03-30,UFC Fight Night: Barboza vs. Gaethje
2019-06-08,UFC 238: Cejudo vs. Moraes
2019-06-29,UFC Fight Night: Ngannou vs. Dos Santos
2019-07-06,UFC 239: Jones vs. Santos
2019-07-13,UFC Fight Night: De Randamie vs. Ladd
2019-08-10,UFC Fight Night: Shevchenko vs. Carmouche 2
2019-08-31,UFC Fight Night: Andrade vs. Zhang
2019-09-07,UFC 242: Khabib vs. Poirier
2019-10-12,UFC Fight Night: Joanna vs. Waterson
2019-11-02,UFC 244: Masvidal vs. Diaz
2019-11-09,UFC Fight Night: Zabit vs. Kattar
2019-11-16,UFC Fight Night: Blachowicz vs. Jacare
2019-12-07,UFC Fight Night: Overeem vs. Rozenstruik
2019-12-14,UFC 245: Usman vs. Covington
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos
2020-02-08,UFC 247: Jones vs. Reyes
2020-02-22,UFC Fight Night: Felder vs. Hooker
2020-03-07,UFC 248: Adesanya vs. Romero
2020-03-14,UFC Fight Night: Lee vs. Oliveira
2020-05-09,UFC 249: Ferguson vs. Gaethje
2020-05-30,UFC Fight Night: Woodley vs. Burns
2020-06-20,UFC Fight Night: Blaydes vs. Volkov
2020-08-01,UFC Fight Night: Brunson vs. Shahbazyan
2020-09-12,UFC Fight Night: Waterson vs. Hill
2020-10-03,UFC Fight Night: Holm vs. Aldana
2020-10-17,UFC Fight Night: Ortega vs. The Korean Zombie
2020-10-31,UFC Fight Night: Hall vs. Silva
2020-11-21,UFC 255: Figueiredo vs. Perez
2021-01-23,UFC 257: Poirier vs. McGregor
2021-02-20,UFC Fight Night: Blaydes vs. Lewis
2021-05-08,UFC Fight Night: Rodriguez vs. Waterson
2021-05-15,UFC 262: Oliveira vs. Chandler
2021-06-05,UFC Fight Night: Rozenstruik vs. Sakai
2021-06-12,UFC 263: Adesanya vs. Vettori 2
2021-07-10,UFC 264: Poirier vs. McGregor 3
2021-08-07,UFC 265: Lewis vs. Gane
2021-11-06,UFC 268: Usman vs. Covington 2
