event_date,fighter_a,fighter_b
1994-03-11,Patrick Smith,Johnny Rhodes
1994-03-11,Royce Gracie,Patrick Smith
1994-03-11,Royce Gracie,Remco Pardoel
1994-12-16,Royce Gracie,Dan Severn
1994-12-16,Royce Gracie,Keith Hackney
1995-04-07,Dan Severn,Dave Beneteau
1995-07-14,Ken Shamrock,Dan Severn
1995-07-14,Oleg Taktarov,Anthony Macias
1995-07-14,Oleg Taktarov,Dave Beneteau
1995-07-14,Oleg Taktarov,David Abbott
1995-09-08,Marco Ruas,Paul Varelans
1995-09-08,Marco Ruas,Remco Pardoel
1995-12-16,Dan Severn,David Abbott
1995-12-16,Dan Severn,Oleg Taktarov
1995-12-16,Dan Severn,Paul Varelans
1995-12-16,David Abbott,Steve Jennum
1995-12-16,Marco Ruas,Keith Hackney
1995-12-16,Oleg Taktarov,Dave Beneteau
1995-12-16,Oleg Taktarov,Marco Ruas
1996-02-16,Don Frye,Gary Goodridge
1996-05-17,Dan Severn,Ken Shamrock
1996-07-12,Don Frye,Mark Hall
1996-07-12,Mark Coleman,Don Frye
1996-07-12,Mark Coleman,Gary Goodridge
1996-09-20,David Abbott,Sam Adkins
1996-09-20,Mark Coleman,Brian Johnston
1996-09-20,Scott Ferrozzo,David Abbott
1996-12-07,David Abbott,Cal Worsham
1996-12-07,David Abbott,Steve Nelmark
1996-12-07,Don Frye,David Abbott
1996-12-07,Don Frye,Gary Goodridge
1996-12-07,Don Frye,Mark Hall
1996-12-07,Ken Shamrock,Brian Johnston
1996-12-07,Kimo Leopoldo,Paul Varelans
1996-12-07,Mark Hall,Felix Lee Mitchell
1996-12-07,Steve Nelmark,Marcus Bossett
1997-02-07,Mark Coleman,Dan Severn
1997-05-30,Vitor Belfort,David Abbott
1997-10-17,Randy Couture,Vitor Belfort
1997-12-21,Randy Couture,Maurice Smith
1997-12-21,Vitor Belfort,Joe Charles
1998-03-13,Jerry Bohlander,Kevin Jackson
1999-01-08,Tito Ortiz,Jerry Bohlander
1999-03-05,Tito Ortiz,Guy Mezger
1999-05-07,Pedro Rizzo,Tra Telligman
1999-07-16,Maurice Smith,Marco Ruas
1999-09-24,Frank Shamrock,Tito Ortiz
1999-11-19,Kevin Randleman,Pete Williams
1999-11-19,Pedro Rizzo,Tsuyoshi Kohsaka
2000-04-14,Tito Ortiz,Wanderlei Silva
2000-06-09,Kevin Randleman,Pedro Rizzo
2000-09-22,Fabiano Iha,Laverne Clark
2000-09-22,Jeremy Horn,Eugene Jackson
2000-09-22,Pedro Rizzo,Dan Severn
2000-11-17,Randy Couture,Kevin Randleman
2000-12-16,Fabiano Iha,Daiju Takase
2000-12-16,Pat Miletich,Kenichi Yamamoto
2001-02-23,Tito Ortiz,Evan Tanner
2001-05-04,Carlos Newton,Pat Miletich
2001-05-04,Chuck Liddell,Kevin Randleman
2001-05-04,Randy Couture,Pedro Rizzo
2001-06-29,Pat Miletich,Shonie Carter
2001-11-02,BJ Penn,Caol Uno
2001-11-02,Josh Barnett,Bobby Hoffman
2001-11-02,Matt Hughes,Carlos Newton
2001-11-02,Randy Couture,Pedro Rizzo
2002-01-11,Jens Pulver,BJ Penn
2002-01-11,Murilo Bustamante,Dave Menne
2002-01-11,Ricco Rodriguez,Jeff Monson
2002-03-22,Evan Tanner,Elvis Sinosic
2002-03-22,Josh Barnett,Randy Couture
2002-03-22,Matt Lindland,Pat Miletich
2002-03-22,Pedro Rizzo,Andrei Arlovski
2002-05-10,Murilo Bustamante,Matt Lindland
2002-05-10,Ricco Rodriguez,Tsuyoshi Kohsaka
2002-06-22,Chuck Liddell,Vitor Belfort
2002-07-13,Ian Freeman,Frank Mir
2002-07-13,Matt Hughes,Carlos Newton
2002-07-13,Renato Sobral,Elvis Sinosic
2002-09-27,BJ Penn,Matt Serra
2002-09-27,Caol Uno,Din Thomas
2002-09-27,Phil Baroni,Dave Menne
2002-09-27,Ricco Rodriguez,Randy Couture
2002-09-27,Sean Sherk,Benji Radach
2002-11-22,Andrei Arlovski,Ian Freeman
2002-11-22,Chuck Liddell,Renato Sobral
