name,fighter_url
Pedro Rizzo,https://www.martialbot.com/mma/fighters/pedro-rizzo-6c9a1d86e5c1a3fa38fa58226729f34b
Dan Severn,https://www.martialbot.com/mma/fighters/dan-severn-533f5176b80fa2743048de930bcc9f3e
Oleg Taktarov,https://www.martialbot.com/mma/fighters/oleg-taktarov-fec5a57c0d690cb6f5d38832b7d91ab8
Marco Ruas,https://www.martialbot.com/mma/fighters/marco-ruas-d7e6c2353c6b9adc1562322b2fd4f5c2
Dave Menne,https://www.martialbot.com/mma/fighters/dave-menne-a943b61edf956363b84c30c3815ff54b
Kevin Randleman,https://www.martialbot.com/mma/fighters/kevin-randleman-ba7c4b80e770b559318adad64e8e508d
Pat Miletich,https://www.martialbot.com/mma/fighters/pat-miletich-0c05307922b24cae6790eed160f69804
Carlos Newton,https://www.martialbot.com/mma/fighters/carlos-newton-ab998051a7a8794350da4e3e5e8381c2
Kimo Leopoldo,https://www.martialbot.com/mma/fighters/kimo-leopoldo-2777095d266e1b8f23f628ba5d22dd35
Maurice Smith,https://www.martialbot.com/mma/fighters/maurice-smith-57d787aff543fd7ba3882a48d601b033
David Abbott,https://www.martialbot.com/mma/fighters/tank-abbott-4d406c34178562d9fa41a620bf2a07f3
Mark Hall,https://www.martialbot.com/mma/fighters/mark-hall-f052c2645e481b9b9df8bd93e219c1f2
Paul Varelans,https://www.martialbot.com/mma/fighters/paul-varelans-b31f6aa2c8d00e2f1a301a6f8e85b297
Shonie Carter,https://www.martialbot.com/mma/fighters/shonie-carter-5688f15384fd9a3e826f71fe4b10897c
Murilo Bustamante,https://www.martialbot.com/mma/fighters/murilo-bustamante-dd20e13010ab3decb15540f8f617b2c5
Dave Beneteau,https://www.martialbot.com/mma/fighters/dave-beneteau-349e8315ac63c3546dfae2063c8a6a46
Gary Goodridge,https://www.martialbot.com/mma/fighters/gary-goodridge-73e7f7646fbcf924d39d35d7f1942e9d
Keith Hackney,https://www.martialbot.com/mma/fighters/keith-hackney-af668517ee6c10d6bcbda74a87fb5093
Jerry Bohlander,https://www.martialbot.com/mma/fighters/jerry-bohlander-e6ca882d451f09d72c29c60d6ef33cb5
Ian Freeman,https://www.martialbot.com/mma/fighters/ian-freeman-cb716480b546b8d5eeda11e7066a69bf
Daiju Takase,https://www.martialbot.com/mma/fighters/daiju-takase-b9e6b4604801a90932aab0f23817200f
Fabiano Iha,https://www.martialbot.com/mma/fighters/fabiano-iha-1d4be6500ca3fab4e1506e8011cffeb7
