event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2018-11-03,Matt Frevola,Lando Vannata,UFC 230: Cormier vs. Lewis,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562,2026-03-18T00:00:00Z,,,0.2,,,0.2
2019-01-19,Joanne Wood,Ariane Lipski,UFC Fight Night: Cejudo vs. Dillashaw,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623,2026-03-18T00:00:00Z,,,,,,0.384615
2019-03-02,Zhang Weili,Tecia Torres,UFC 235: Jones vs. Smith,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-235-jones-vs-smith-1625,2026-03-18T00:00:00Z,,,,,,0.384615
2019-06-08,Katlyn Chookagian,Joanne Wood,UFC 238: Cejudo vs. Moraes,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677,2026-03-18T00:00:00Z,,,0.444444,,,
2019-07-13,Mike Rodriguez,John Allan,UFC Fight Night: De Randamie vs. Ladd,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714,2026-03-18T00:00:00Z,,,,,,0.117647
2019-09-07,Joanne Wood,Andrea Lee,UFC 242: Khabib vs. Poirier,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715,2026-03-18T00:00:00Z,,,,,,0.512195
2019-09-07,Zubaira Tukhugov,Lerone Murphy,UFC 242: Khabib vs. Poirier,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715,2026-03-18T00:00:00Z,,,0.47619,,,0.153846
2019-09-14,Todd Duffee,Jeff Hughes,UFC Fight Night: Cowboy vs. Gaethje,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-16-cowboy-vs-gaethje-1735,2026-03-18T00:00:00Z,,,0.125,,,0.230947
2019-09-21,Yair Rodriguez,Jeremy Stephens,UFC Fight Night: Rodriguez vs. Stephens,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753,2026-03-18T00:00:00Z,,,0.25,,,0.190476
2019-09-21,Brandon Moreno,Askar Askarov,UFC Fight Night: Rodriguez vs. Stephens,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753,2026-03-18T00:00:00Z,,,0.222222,,,0.285714
2019-10-18,Greg Hardy,Ben Sosoli,UFC Fight Night: Reyes vs. Weidman,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764,2026-03-18T00:00:00Z,,,0.090909,,,0.117647
2019-11-16,Ariane Lipski,Isabela de Padua,UFC Fight Night: Blachowicz vs. Jacare,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755,2026-03-18T00:00:00Z,,,0.526066,,,0.210526
2019-12-07,Cody Stamann,Song Yadong,UFC Fight Night: Overeem vs. Rozenstruik,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785,2026-03-18T00:00:00Z,,,0.266667,,,0.3125
2020-01-18,Brian Kelleher,Ode Osbourne,UFC 246: McGregor vs. Cowboy,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839,2026-03-18T00:00:00Z,,,0.2,,,0.210526
2020-06-20,Tecia Torres,Brianna Fortino,UFC Fight Night: Blaydes vs. Volkov,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-11-blaydes-vs-volkov-1897,2026-03-18T00:00:00Z,,,0.266667,,,
2020-08-15,Kai Kamaka,Tony Kelley,UFC 252: Miocic vs. Cormier 3,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-252-miocic-vs-cormier-3-1919,2026-03-18T00:00:00Z,,,0.47619,,,0.181818
2020-09-19,Donald Cerrone,Niko Price,UFC Fight Night: Covington vs. Woodley,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944,2026-03-18T00:00:00Z,,,0.153846,,,0.153846
2020-10-03,Charles Jourdain,Josh Culibao,UFC Fight Night: Holm vs. Aldana,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970,2026-03-18T00:00:00Z,,,0.307692,,,0.125
2020-10-24,Da Woon Jung,Sam Alvey,UFC 254: Khabib vs. Gaethje,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-254-khabib-vs-gaethje-1958,2026-03-18T00:00:00Z,,,0.230947,,,0.1
2021-02-06,Timur Valiev,Martin Day,UFC Fight Night: Overeem vs. Volkov,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029,2026-03-18T00:00:00Z,0.416667,0.111111,0.363636,0.111111,0.066667,0.148148
2021-02-06,Ode Osbourne,Jerome Rivera,UFC Fight Night: Overeem vs. Volkov,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029,2026-03-18T00:00:00Z,0.222222,0.266667,0.294118,0.111111,0.153846,0.222222
2021-02-27,Montana De La Rosa,Mayra Bueno Silva,UFC Fight Night: Rozenstruik vs. Gane,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039,2026-03-18T00:00:00Z,0.076923,0.090909,0.425532,0.133333,0.25,0.291971
2021-03-13,Leon Edwards,Belal Muhammad,UFC Fight Night: Edwards vs. Muhammad,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048,2026-03-18T00:00:00Z,0.266667,0.090909,0.97561,0.1,0.076923,0.2
2021-03-13,Eryk Anders,Darren Stewart,UFC Fight Night: Edwards vs. Muhammad,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048,2026-03-18T00:00:00Z,0.181818,0.058824,0.258065,0.222222,0.1,0.428266
2021-05-01,Ion Cutelaba,Dustin Jacoby,UFC Fight Night: Reyes vs. Prochazka,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074,2026-03-18T00:00:00Z,0.454545,0.090909,0.129032,0.294118,0.066667,0.190476
2021-06-05,Alan Patrick,Mason Jones,UFC Fight Night: Rozenstruik vs. Sakai,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108,2026-03-18T00:00:00Z,0.090909,0.090909,0.190476,0.5,0.066667,0.3125
2021-06-26,Andre Fili,Daniel Pineda,UFC Fight Night: Gane vs. Volkov,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109,2026-03-18T00:00:00Z,0.330579,0.102564,0.364078,0.148148,0.095238,0.190476
2021-07-31,Danny Chavez,Kai Kamaka,UFC Fight Night: Hall vs. Strickland,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165,2026-03-18T00:00:00Z,0.218739,0.073171,0.285714,,,
2021-09-18,Gustavo Lopez, Alatengheili,UFC Fight Night: Smith vs. Spann,bfo_comprehensive_v2,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171,2026-03-18T00:00:00Z,0.131868,0.144578,0.284553,,,
