event_date,fighter1,fighter2,event_name,bfo_url
2014-01-25,Chico Camus,Yaotzin Meza,UFC on FOX: Henderson vs Thomson,https://www.bestfightodds.com/events/ufc-on-fox-10-henderson-vs-thomson-777
2014-03-08,Phil Harris,Louis Gaudinot,UFC Fight Night: Gustafsson vs Manuwa,https://www.bestfightodds.com/events/ufc-fight-night-37-gustafsson-vs-manuwa-751
2014-03-23,Leonardo Santos,Norman Parke,UFC Fight Night: Shogun vs Henderson 2,https://www.bestfightodds.com/events/ufc-fight-night-38-shogun-vs-henderson-784
2014-04-11,Rani Yahya,Johnny Bedford,UFC Fight Night: Minotauro vs Nelson,https://www.bestfightodds.com/events/ufc-fight-night-39-minotauro-vs-nelson-790
2014-05-31,Gegard Mousasi,Mark Munoz,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,CB Dollaway,Francis Carmont,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Sean Strickland,Luke Barnatt,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Niklas Backstrom,Tom Niinimaki,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Nick Hein,Drew Dober,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Magnus Cedenblad,Krzysztof Jotko,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Iuri Alcantara,Vaughan Lee,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Peter Sobotta,Pawel Pawlak,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-05-31,Maximo Blanco,Andy Ogle,UFC Fight Night: Munoz vs Mousasi,https://www.bestfightodds.com/events/ufc-fight-night-41-munoz-vs-mousasi-799
2014-06-14,Ryan Bader,Rafael Cavalcante,UFC 174: Johnson vs Bagautinov,https://www.bestfightodds.com/events/ufc-174-johnson-vs-bagautinov-807
2014-06-28,Cub Swanson,Jeremy Stephens,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Kelvin Gastelum,Nicholas Musoke,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Cezar Ferreira,Andrew Craig,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Ricardo Lamas,Hacran Dias,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Clint Hester,Antonio Braga Neto,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Joe Ellenberger,James Moontasri,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Diego Ferreira,Colton Smith,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Cody Gibson,Johnny Bedford,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Marcelo Guimaraes,Andy Enz,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Ray Borg,Shane Howell,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-06-28,Aleksei Oleinik,Anthony Hamilton,UFC Fight Night: Swanson vs Stephens,https://www.bestfightodds.com/events/ufc-fight-night-44-swanson-vs-stephens-800
2014-07-05,Kevin Casey,Bubba Bush,UFC 175: Weidman vs Machida,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
2014-07-06,Robert Drysdale,Keith Berish,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
2014-07-26,Mike de la Torre,Brian Ortega,UFC on FOX: Lawler vs Brown,https://www.bestfightodds.com/events/ufc-on-fox-12-lawler-vs-brown-829
