event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2018-12-08,Nina Nunes,Claudia Gadelha,UFC 231: Holloway vs. Ortega,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-231-holloway-vs-ortega-1584,2026-03-18T00:00:00Z,,,0.222222,,,0.58159
2018-12-29,Amanda Nunes,Cristiane Justino,UFC 232: Jones vs. Gustafsson 2,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583,2026-03-18T00:00:00Z,,,0.181818,,,0.222222
2018-12-29,Andrei Arlovski,Walt Harris,UFC 232: Jones vs. Gustafsson 2,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583,2026-03-18T00:00:00Z,,,0.222222,,,0.2
2019-06-08,Tatiana Suarez,Nina Nunes,UFC 238: Cejudo vs. Moraes,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677,2026-03-18T00:00:00Z,,,0.381679,,,0.153846
2019-07-27,Cristiane Justino,Felicia Spencer,UFC 240: Holloway vs. Edgar,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713,2026-03-18T00:00:00Z,,,0.166667,,,0.052632
2019-08-31,Song Kenan,Derrick Krantz,UFC Fight Night: Andrade vs. Zhang,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733,2026-03-18T00:00:00Z,,,0.210526,,,0.210526
2019-08-31,Mizuki, Wu Yanan,UFC Fight Night: Andrade vs. Zhang,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733,2026-03-18T00:00:00Z,,,,,,0.333333
2019-11-16,Mauricio Rua,Paul Craig,UFC Fight Night: Blachowicz vs. Jacare,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755,2026-03-18T00:00:00Z,,,0.181818,,,0.133333
2019-12-07,Marina Rodriguez,Cynthia Calvillo,UFC Fight Night: Overeem vs. Rozenstruik,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785,2026-03-18T00:00:00Z,,,0.434783,,,0.25
2020-03-14,Rani Yahya,Enrique Barzola,UFC Fight Night: Lee vs. Oliveira,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2026-03-18T00:00:00Z,,,0.181818,,,0.47619
2020-08-01,Jennifer Maia,Joanne Wood,UFC Fight Night: Brunson vs. Shahbazyan,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918,2026-03-18T00:00:00Z,,,0.294118,,,0.526066
2020-08-01,Chris Gutierrez,Cody Durden,UFC Fight Night: Brunson vs. Shahbazyan,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918,2026-03-18T00:00:00Z,,,0.512195,,,0.153846
2020-08-22,Amanda Lemos,Mizuki,UFC Fight Night: Munhoz vs. Edgar,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-15-munhoz-vs-edgar-1931,2026-03-18T00:00:00Z,,,0.25,,,
2021-01-23,Joanne Wood,Jessica Eye,UFC 257: Poirier vs. McGregor,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-257-poirier-vs-mcgregor-2-2016,2026-03-18T00:00:00Z,0.125,0.090909,0.428266,0.125,0.111111,0.380952
2021-01-23,Arman Tsarukyan,Matt Frevola,UFC 257: Poirier vs. McGregor,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-257-poirier-vs-mcgregor-2-2016,2026-03-18T00:00:00Z,0.277778,0.181818,0.568966,0.066667,0.058824,0.1
2021-02-06,Devonte Smith,Justin Jaynes,UFC Fight Night: Overeem vs. Volkov,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029,2026-03-18T00:00:00Z,0.636364,0.058824,0.173913,0.166667,0.083333,0.102564
2021-02-06,Karol Rosa,Joselyne Edwards,UFC Fight Night: Overeem vs. Volkov,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029,2026-03-18T00:00:00Z,0.125,0.153846,0.481928,0.133333,0.111111,0.216216
2021-03-20,Montserrat Conejo Ruiz,Cheyanne Vlismas,UFC Fight Night: Brunson vs. Holland,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-21-brunson-vs-holland-2053,2026-03-18T00:00:00Z,0.125,0.090909,0.173913,,,
2021-06-12,Lauren Murphy,Joanne Wood,UFC 263: Adesanya vs. Vettori 2,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-263-adesanya-vs-vettori-2-2115,2026-03-18T00:00:00Z,0.1,0.1,0.340716,0.125,0.058824,0.25
2021-07-31,Cheyanne Vlismas,Gloria de Paula,UFC Fight Night: Hall vs. Strickland,bfo_v3_targeted,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165,2026-03-18T00:00:00Z,,,,0.103448,0.072289,0.314607
