event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2024-12-14,Colby Covington,Joaquin Buckley,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.083333,0.052632,0.25,0.4,0.047619,0.363636
2024-12-14,Cub Swanson,Billy Quarantillo,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.181818,0.052632,0.285714,,,
2024-12-14,Manel Kape,Bruno Silva,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.307692,0.1,0.512195,0.083333,0.052632,0.153846
2024-12-14,Vitor Petrino,Dustin Jacoby,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.47619,0.153846,0.294118,0.111111,0.032258,0.166667
2024-12-14,Adrian Yanez,Daniel Marcos,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.181818,0.043478,0.181818,0.333333,0.043478,0.4
2024-12-14,Navajo Stirling,Tuco Tokkos,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.649123,0.076923,0.266667,0.076923,0.038462,0.090909
2024-12-14,Michael Johnson,Ottman Azaitar,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.454545,0.090909,0.25,0.222222,0.038462,0.133333
2024-12-14,Joel Alvarez,Drakkar Klose,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.266667,0.377358,0.294118,0.1,0.032258,0.133333
2024-12-14,Sean Woodson,Fernando Padilla,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.153846,0.047619,0.5,0.166667,0.133333,0.222222
2024-12-14,Miles Johns,Felipe Lima,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.125,0.047619,0.222222,0.166667,0.133333,0.52381
2024-12-14,Miranda Maverick,Jamey-Lyn Horth,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.066667,0.166667,0.746835,0.043478,0.038462,0.133333
2024-12-14,Davey Grant,Ramon Taveras,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.222222,0.117647,0.307692,0.25,0.111111,0.222222
2024-12-14,Josefine Knutsson,Piera Rodriguez,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.111111,0.052632,0.636364,0.076923,0.066667,0.25
2024-12-07,Alexandre Pantoja,Kai Asakura,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.2,0.4,0.25,0.222222,0.038462,0.111111
2024-12-07,Shavkat Rakhmonov,Ian Machado Garry,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.294118,0.357143,0.285714,0.125,0.032258,0.133333
2024-12-07,Ciryl Gane,Alexander Volkov,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.222222,0.083333,0.615385,0.083333,0.032258,0.181818
2024-12-07,Bryce Mitchell,Kron Gracie,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.166667,0.208333,0.666667,0.02439,0.066667,0.083333
2024-12-07,Nate Landwehr,Dooho Choi,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.25,0.166667,0.266667,0.285714,0.125,0.153846
2024-12-07,Dominick Reyes,Anthony Smith,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.555556,0.076923,0.285714,0.111111,0.076923,0.117647
2024-12-07,Vicente Luque,Themba Gorimbo,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.142857,0.181818,0.181818,0.181818,0.1,0.434783
2024-12-07,Movsar Evloev,Aljamain Sterling,,kaggle_mdabbert_bestfightodds,,2024-12-14T00:00:00Z,0.153846,0.058824,0.574468,0.058824,0.083333,0.266667
