event_date,fighter_a,fighter_b,event_title,source,source_url,captured_at,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2014-07-06,Robert Drysdale,Keith Berish,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,bfo_manual_recovery,https://web.archive.org/web/20140712153836/https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832,2026-03-19T14:59:47Z,,,0.14218,,,0.105337
2014-12-12,KJ Noons,Daron Cruickshank,The Ultimate Fighter: A Champion Will Be Crowned Finale,bfo_manual_recovery,https://web.archive.org/web/20150425090510/https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912,2026-03-19T14:59:47Z,0.196721,0.063911,0.213333,0.251256,0.07874,0.458015
2014-12-12,Joanne Wood,Seo Hee Ham,The Ultimate Fighter: A Champion Will Be Crowned Finale,bfo_manual_recovery,https://web.archive.org/web/20150425090510/https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-20-finale-912,2026-03-19T14:59:47Z,0.47619,0.090909,0.402145,0.058824,0.090909,0.13741
2015-02-28,Roman Salazar,Norifumi Yamamoto,UFC 184: Rousey vs Zingano,bfo_manual_recovery,https://web.archive.org/web/20150425081312/https://www.bestfightodds.com/events/ufc-184-rousey-vs-zingano-896,2026-03-19T14:59:47Z,0.144509,0.15456,0.204604,0.383632,0.07335,0.255428
2016-01-30,Damon Jackson,Levan Makashvili,UFC on FOX: Johnson vs. Bader,bfo_manual_recovery,https://web.archive.org/web/20170711152208/https://www.bestfightodds.com/events/ufc-on-fox-18-johnson-vs-bader-1038,2026-03-19T14:59:47Z,0.076923,0.166667,0.166667,0.357143,0.076923,0.444444
2017-07-07,Drakkar Klose,Marc Diakiese,The Ultimate Fighter: Redemption Finale,bfo_manual_recovery,https://web.archive.org/web/20190724083126/https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289,2026-03-19T15:05:12Z,0.125,0.090909,0.2,0.4,0.090909,0.333333
2022-11-12,Zhang Weili,Carla Esparza,UFC 281: Adesanya vs. Pereira,fanduel_sportsbook,https://boardroom.tv/carla-esparza-zhang-weili-odds-props-prediction-ufc-281/,2022-11-12T00:00:00Z,0.444444,0.083333,0.338983,0.0625,0.0625,0.166667
2022-11-12,Dustin Poirier,Michael Chandler,UFC 281: Adesanya vs. Pereira,fanduel_sportsbook,https://boardroom.tv/dustin-poirier-michael-chandler-odds-props-prediction-ufc-281/,2022-11-12T00:00:00Z,0.444444,0.125,0.208333,0.208333,0.090909,0.095238
2022-12-10,Ilia Topuria,Bryce Mitchell,UFC 282: Blachowicz vs. Ankalaev,betonline_sportsbook,https://flurrysports.org/bryce-mitchell-vs-ilia-topuria-prediction-ufc-282-betting-odds-picks/,2022-12-10T00:00:00Z,0.285714,0.142857,0.277778,0.076923,0.166667,0.285714
2023-04-08,Israel Adesanya,Alex Pereira,UFC 287: Pereira vs. Adesanya 2,fanduel_sportsbook,https://boardroom.tv/adesanya-vs-pereira-prediction-odds-ufc-287/,2023-04-08T00:00:00Z,0.185185,0.043478,0.384615,0.30303,0.043478,0.166667
2023-07-08,Alexander Volkanovski,Yair Rodriguez,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://boardroom.tv/volkanovski-vs-rodriguez-prediction-odds-ufc-290/,2023-07-08T00:00:00Z,0.277778,0.066667,0.487805,0.153846,0.090909,0.090909
2023-07-08,Alexandre Pantoja,Brandon Moreno,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/brandon-moreno-vs-alexandre-pantoja-prediction-odds-best-bet-ufc-290-01h4kmzksgsa/,2023-07-08T00:00:00Z,0.083333,0.178571,0.178571,0.25,0.090909,0.384615
2023-07-08,Dricus Du Plessis,Robert Whittaker,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/robert-whittaker-vs-dricus-du-plessis-prediction-odds-best-bet-ufc-290-01h4nr886ws3/,2023-07-08T00:00:00Z,0.166667,0.0625,0.090909,0.425532,0.071429,0.344828
2023-07-08,Dan Hooker,Jalin Turner,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/jalin-turner-vs-dan-hooker-prediction-odds-best-bet-ufc-290-01h4p84kwh1h,2023-07-08T00:00:00Z,0.142857,0.058824,0.166667,0.338983,0.166667,0.285714
2023-07-08,Bo Nickal,Val Woodburn,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/bo-nickal-val-woodburn-prediction-odds-best-bet-ufc-290-01h4rgng4j0f/,2023-07-08T00:00:00Z,0.25641,0.736842,0.055556,0.047619,0.016393,0.037037
2023-07-08,Robbie Lawler,Niko Price,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/robbie-lawler-vs-niko-price-prediction-odds-best-bet-ufc-290-01h4p9sqt0wr/,2023-07-08T00:00:00Z,0.166667,0.04,0.172414,0.444444,0.095238,0.243902
2023-07-08,Tatsuro Taira,Edgar Chairez,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/tatsuro-taira-edgar-chairez-prediction-odds-best-bet-ufc-290-01h4rf333gcc/,2023-07-08T00:00:00Z,0.117647,0.655172,0.188679,0.0625,0.038462,0.083333
2023-07-08,Denise Gomes,Yazmin Jauregui,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/yazmin-jauregui-denise-gomes-prediction-odds-best-bet-ufc-290-01h4rbxze9fm/,2023-07-08T00:00:00Z,0.090909,0.05,0.142857,0.338983,0.0625,0.47619
2023-07-08,Alonzo Menifield,Jimmy Crute,UFC 290: Volkanovski vs. Rodriguez,fanduel_sportsbook,https://www.fanduel.com/research/theduel/jimmy-crute-alonzo-menifield-prediction-odds-best-bet-ufc-290-01h4rdp082kt/,2023-07-08T00:00:00Z,0.344828,0.052632,0.142857,0.243902,0.222222,0.166667
2023-09-16,Alexa Grasso,Valentina Shevchenko,UFC Fight Night: Grasso vs. Shevchenko 2,fanduel_sportsbook,https://www.legalsportsreport.com/136402/noche-ufc-odds-alexa-grasso-vs-valentina-shevchenko-2-2023/,2023-09-13T00:00:00Z,0.125,0.222222,0.333333,0.111111,0.090909,0.363636
2016-09-17,Alejandro Perez,Albert Morales,UFC Fight Night 94: Poirier vs. Johnson,fightodds_io_api,https://fightodds.io/fights/albert-morales-vs-alejandro-perez-15871/odds,2026-03-19T16:08:48Z,0.2,0.181818,0.25,0.2,0.190476,0.2
2016-11-19,Cezar Ferreira,Jack Hermansson,UFC Fight Night 100: Bader vs. Nogueira 2,fightodds_io_api,https://fightodds.io/fights/jack-hermansson-vs-cezar-ferreira-16054/odds,2026-03-19T16:08:48Z,0.111111,0.142857,0.285714,0.454545,0.133333,0.166667
2016-11-19,Johnny Eduardo,Manvel Gamburyan,UFC Fight Night 100: Bader vs. Nogueira 2,fightodds_io_api,https://fightodds.io/fights/manny-gamburyan-vs-johnny-eduardo-16057/odds,2026-03-19T16:08:48Z,0.117647,0.166667,0.285714,,,
2017-06-17,Li Jingliang,Frank Camacho,UFC Fight Night 111: Holm vs. Correia,fightodds_io_api,https://fightodds.io/fights/jingliang-li-vs-frank-camacho-19454/odds,2026-03-19T16:08:48Z,0.454545,0.181818,0.28169,0.151515,0.066667,0.076923
