event_date,fighter_a,fighter_b
2015-01-03,Hector Lombard,Joshua Burkman
2015-01-31,Anderson Silva,Nick Diaz
2015-02-22,Tiago dos Santos e Silva,Mike de la Torre
2015-02-22,William Macario,Matt Dwyer
2015-02-28,Roman Salazar,Norifumi Yamamoto
2015-03-21,Leandro Silva,Drew Dober
2015-04-11,Gabriel Gonzaga,Mirko Filipovic
2015-04-11,Joanne Wood,Maryna Moroz
2015-05-30,Rony Jason,Damon Jackson
2015-07-18,Joanne Wood,Cortney Casey
2015-08-01,Rafael Cavalcante,Patrick Cummins
2015-09-05,Clay Collard,Tiago dos Santos e Silva
2015-09-26,Mizuto Hirota,Teruto Ishihara
2015-10-24,Nicolas Dalby,Darren Till
2015-12-10,Antonio Carlos Junior,Kevin Casey
2015-12-19,Cole Miller,Jim Alers
2016-01-02,Justine Kish,Nina Nunes
2016-01-30,Damon Jackson,Levan Makashvili
2016-02-06,Ovince Saint Preux,Rafael Cavalcante
2016-05-14,Cristiane Justino,Leslie Smith
2016-05-14,Sergio Moraes,Luan Chagas
2016-06-04,Kevin Casey,Elvis Mutapcic
2016-06-18,Valerie Letourneau,Joanne Wood
2016-07-09,Brock Lesnar,Mark Hunt
2016-07-30,Michael Graves,Bojan Velickovic
2016-09-03,Jarjis Danho,Christian Colombo
2016-09-10,Jessica Andrade,Joanne Wood
2016-09-17,Alejandro Perez,Albert Morales
2016-09-24,Cristiane Justino,Lina Lansberg
2016-11-12,Tyron Woodley,Stephen Thompson
2016-11-19,Cezar Ferreira,Jack Hermansson
2016-11-19,Claudia Gadelha,Cortney Casey
2016-11-19,Francimar Barroso,Darren Stewart
2016-11-19,Johnny Eduardo,Manvel Gamburyan
2016-11-19,Luis Henrique,Christian Colombo
2016-11-19,Marcos Rogerio de Lima,Gadzhimurad Antigulov
2016-11-19,Pedro Munhoz,Justin Scoggins
2016-11-19,Ryan Bader,Rogerio Nogueira
2016-11-19,Sergio Moraes,Zak Ottow
2016-11-19,Thales Leites,Krzysztof Jotko
2016-11-19,Thomas Almeida,Albert Morales
2016-11-19,Warlley Alves,Kamaru Usman
2016-12-09,Tiago dos Santos e Silva,Shane Burgos
2016-12-30,Alex Oliveira,Tim Means
2017-01-15,Jocelyn Jones-Lybarger,Nina Nunes
2017-02-04,Adam Milstead,Curtis Blaydes
2017-02-04,Alex Morono,Niko Price
2017-03-11,Bethe Correia,Marion Reneau
