event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2013-11-08,Aalon Cruz,Bradford May,Aalon Cruz,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-09-27,Aalon Cruz,Joshua Millwood,Aalon Cruz,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-11-21,Aalon Cruz,Jason Valle,Aalon Cruz,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-07-24,Aalon Cruz,Kamrin Naville,Kamrin Naville,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-12-05,Aalon Cruz,Solon Staley,Aalon Cruz,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-06-24,Aalon Cruz,Da'Mon Blackshear,Da'Mon Blackshear,SUB,4,4.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-11-03,Aalon Cruz,Bruno Justo,Aalon Cruz,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-06-02,Aalon Cruz,Steve Garcia,Aalon Cruz,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-02-08,Aalon Cruz,Gui Cury,Aalon Cruz,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-07-30,Aalon Cruz,Steven Nguyen,Aalon Cruz,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-11-12,Abdul Rakhman Yakhyaev,Elbek Ravshanov,Abdul Rakhman Yakhyaev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-06-25,Abdul Rakhman Yakhyaev,Nazhmudin Yusupov,Abdul Rakhman Yakhyaev,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-10-15,Abdul Rakhman Yakhyaev,Mouhamadou Lamine,Abdul Rakhman Yakhyaev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-01-07,Abdul Rakhman Yakhyaev,Nikolay Kovalenko,Abdul Rakhman Yakhyaev,U-DEC,5,5.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-07-11,Abdul Rakhman Yakhyaev,Paulin Begai,Abdul Rakhman Yakhyaev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2024-09-26,Abdul Rakhman Yakhyaev,Jacky Jeanne,Abdul Rakhman Yakhyaev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2025-08-26,Abdul Rakhman Yakhyaev,Alik Lorenz,Abdul Rakhman Yakhyaev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-09-07,Abdul-Kareem Al-Selwady,Nour el Din Essam,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-03-07,Abdul-Kareem Al-Selwady,Ahmed Ansari,Abdul-Kareem Al-Selwady,KO/TKO,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-06-15,Abdul-Kareem Al-Selwady,Yousef Al-Hamad,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-03-07,Abdul-Kareem Al-Selwady,Hussein Salem,Abdul-Kareem Al-Selwady,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-12-15,Abdul-Kareem Al-Selwady,Aziz Julaidan,Draw,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-25,Abdul-Kareem Al-Selwady,Lois Cadet,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2016-09-23,Abdul-Kareem Al-Selwady,Rami Aziz,Abdul-Kareem Al-Selwady,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-03-31,Abdul-Kareem Al-Selwady,Michael Deiga Scheck,Abdul-Kareem Al-Selwady,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2017-11-17,Abdul-Kareem Al-Selwady,Erick da Silva,Abdul-Kareem Al-Selwady,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-03-02,Abdul-Kareem Al-Selwady,Charlie Leary,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2018-11-16,Abdul-Kareem Al-Selwady,Lucas Martins,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-04-19,Abdul-Kareem Al-Selwady,Luan Santiago,Luan Santiago,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2019-11-15,Abdul-Kareem Al-Selwady,Dumar Roa,Dumar Roa,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2021-03-26,Abdul-Kareem Al-Selwady,Jake Sebastian,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-02-27,Abdul-Kareem Al-Selwady,Nick Compton,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2022-09-23,Abdul-Kareem Al-Selwady,Chris Pecero,Abdul-Kareem Al-Selwady,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-02-17,Abdul-Kareem Al-Selwady,Micheal Murphy,Abdul-Kareem Al-Selwady,U-DEC,5,5.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2023-08-15,Abdul-Kareem Al-Selwady,George Hardwick,Abdul-Kareem Al-Selwady,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-12-20,Adam Yandiev,Valeri Shpak,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-12-30,Adam Yandiev,Evgeniy Terekhov,Adam Yandiev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-02-22,Adam Yandiev,Artiom Sidorenko,Adam Yandiev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-02-28,Adam Yandiev,Vladimir Brik,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-03-29,Adam Yandiev,Konstantin Skrelya,Adam Yandiev,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-02,Adam Yandiev,Dmitriy Adeev,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-05-16,Adam Yandiev,Donald Njatah Nya,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-06-06,Adam Yandiev,Valdas Pocevicius,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2015-10-10,Adam Yandiev,Dmitry Voitov,Adam Yandiev,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-10-14,Alan Omer,Raoul Gohrum,Alan Omer,U-DEC,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2006-12-02,Alan Omer,Kevin Narr,Alan Omer,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-05-19,Alan Omer,Henry Blume,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-07-28,Alan Omer,Stefan Bartsch,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-07-28,Alan Omer,Maxime Desse,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-12-01,Alan Omer,Jens Petersen,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2007-12-22,Alan Omer,Alex Wiebe,Alex Wiebe,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-05-25,Alan Omer,Miroslav Neralic,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-07-12,Alan Omer,Jens Petersen,Alan Omer,SUB,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-07-12,Alan Omer,Oliver Koster,Alan Omer,SUB,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-09-20,Alan Omer,Anthony Durnell,Anthony Durnell,S-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2008-10-26,Alan Omer,Przemyslaw Zbiciak,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-04-04,Alan Omer,Kostadin Tabakov,Alan Omer,SUB,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-05-03,Alan Omer,Jose Adan Gonzales,Alan Omer,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2009-10-18,Alan Omer,Miroslav Kuban,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-02-13,Alan Omer,Paul Reed,Alan Omer,SUB,4,4.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-05-15,Alan Omer,Mark Adams,Mark Adams,U-DEC,5,5.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-09-04,Alan Omer,Rouven Kurath,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-11-05,Alan Omer,Mariusz Abramiuk,Alan Omer,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-12-03,Alan Omer,Joziro Boye,Alan Omer,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-02-08,Alan Omer,Dennis Tomzek,Alan Omer,KO/TKO,1,1.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2010-04-16,Albert Cheng,Wesley Ranger,Albert Cheng,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-01-15,Albert Cheng,Taylor Solomon,Albert Cheng,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-09-10,Albert Cheng,Mike Sledzion,Mike Sledzion,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-12-01,Albert Cheng,Kleber Koike Erbst,Kleber Koike Erbst,SUB,2,2.0,,1,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-02-27,Alberto Uda,Isaac Dionissa,Alberto Uda,KO/TKO,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2011-12-03,Alberto Uda,Marcelo Silva,Alberto Uda,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2012-08-18,Alberto Uda,Junior Albini,Alberto Uda,SUB,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2013-01-05,Alberto Uda,Richardson Moreira,Alberto Uda,SUB,1,1.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-03-29,Alberto Uda,Wendres Carlos da Silva,Alberto Uda,U-DEC,3,3.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
2014-04-26,Alberto Uda,Christiano Frohlich,Alberto Uda,KO/TKO,2,2.0,,0,sherdog_pre_ufc,,,,,,,,,,,,,,,,
