event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2023-07-21,Sulangrangbo,Jifuafa,Sulangrangbo,KO/TKO,2.0,,,0,tapology,Liangshan Torch Festival International MMA Challenge,,,,,,,,,,,,,,,,
2014-03-08,Aleksei Kunchenko,Gennadiy Kovalev,Aleksei Kunchenko,KO/TKO,2.0,,,0,tapology,Far Eastern Federation Of Modern Pankration Fefomp,,,,,,,,,,,,,,,,
2010-01-30,Bharat Kandare,Nariman Musaev,Nariman Musaev,SUB,1.0,,,0,tapology,Far Eastern Federation Of Modern Pankration Fefomp,,,,,,,,,,,,,,,,
2022-04-10,Nursulton Ruziboev,Paval Masalski,Nursulton Ruziboev,SUB,1.0,,,0,sherdog,WEF Global 17 and Kingdom Professional Fight NWPA,,,,,,,,,,,,,,,,
2008-04-25,Jon Jones,Anthony Pina,Jon Jones,SUB,1.0,,,0,tapology,International Combat Entertainment Massachusetts,,,,,,,,,,,,,,,,
2019-06-15,Benoit Saint Denis,Antoine Bensimon,Benoit Saint Denis,SUB,1.0,,,0,tapology,Commission National De Pancrace Et Submission,,,,,,,,,,,,,,,,
2022-02-20,Mark Vologdin,Bakhram Shakirbaev,Mark Vologdin,U-DEC,3.0,3.0,,1,sherdog,Fight Club Sech / Open Fighting Championship,,,,,,,,,,,,,,,,
2015-07-05,Yizha,Bulat Kiyalov,Yizha,SUB,2.0,,,0,tapology,China-Thailand International Fight Challenge,,,,,,,,,,,,,,,,
2010-01-16,Waylon Lowe,Chris Barnes,Waylon Lowe,KO/TKO,1.0,,,0,sherdog,5150 Combat League / Xtreme Fighting League,,,,,,,,,,,,,,,,
2016-07-23,Azamat Murzakanov,Bogdan Bulakh,Azamat Murzakanov,SUB,1.0,,,0,sherdog,Gladiator MMA Nalchik / Edinstvo Sport Club,,,,,,,,,,,,,,,,
2010-01-16,Shane Howell,Lewis McKenzie,Shane Howell,KO/TKO,1.0,,,0,sherdog,5150 Combat League / Xtreme Fighting League,,,,,,,,,,,,,,,,
2010-01-16,Daniel Roberts,Anthony Macias,Daniel Roberts,KO/TKO,1.0,,,0,sherdog,5150 Combat League / Xtreme Fighting League,,,,,,,,,,,,,,,,
2010-01-16,Joey Beltran,Houston Alexander,Joey Beltran,KO/TKO,2.0,,,0,sherdog,5150 Combat League / Xtreme Fighting League,,,,,,,,,,,,,,,,
2017-04-08,Alexandr Romanov,Shota Betlemidze,Alexandr Romanov,SUB,1.0,,,0,tapology,Professional Fighting Championship Ukraine,,,,,,,,,,,,,,,,
2014-12-17,Daniel Swain,Zalimbek Omarov,,Draw,3.0,3.0,,1,sherdog,M-1 Global / Absolute Championship Berkut,,,,,,,,,,,,,,,,
2012-11-24,Brett Johns,Barrie Monty,Brett Johns,KO/TKO,1.0,,,0,sherdog,Tattoo Monkey Promotions / LHC Promotions,,,,,,,,,,,,,,,,
2009-11-27,Aleksei Oleinik,Thiago Santos,Aleksei Oleinik,SUB,1.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2018-11-04,Liliya Shakirova,Mariya Artyukhina,Liliya Shakirova,S-DEC,3.0,3.0,,0,sherdog,Red City Fights / Samara MMA Federation,,,,,,,,,,,,,,,,
1997-04-30,Aleksei Oleinik,Sergey Akinin,Aleksei Oleinik,SUB,1.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2009-11-27,Aleksei Oleinik,Michał Kita,Michał Kita,KO/TKO,1.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2006-04-14,Aleksei Oleinik,Magomed Sultanakhmedov,Aleksei Oleinik,SUB,1.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2009-11-27,Aleksei Oleinik,Eddy Bengtsson,Aleksei Oleinik,KO/TKO,2.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2006-04-14,Aleksei Oleinik,Andrey Rudakov,Aleksei Oleinik,SUB,1.0,,,1,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2006-04-14,Aleksei Oleinik,Shavkat Urakov,Aleksei Oleinik,SUB,1.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2017-09-23,Nursulton Ruziboev,Artem Kazbanov,Nursulton Ruziboev,KO/TKO,1.0,,,0,sherdog,City Innovative Technologies / Sech Pro,,,,,,,,,,,,,,,,
2018-11-04,Rinat Fakhretdinov,Viktor Shabalov,Rinat Fakhretdinov,SUB,2.0,,,0,sherdog,Red City Fights / Samara MMA Federation,,,,,,,,,,,,,,,,
1997-04-30,Aleksei Oleinik,Leonid Efremov,Leonid Efremov,SUB,1.0,,,0,tapology,International Absolute Fighting Council,,,,,,,,,,,,,,,,
2018-01-21,Leonardo Damiani,John Maguire,John Maguire,SUB,1.0,,,0,sherdog,Fighting Venkon / Legio's Team Bergamo,,,,,,,,,,,,,,,,
2002-05-18,Mike Brown,Edward Odquina,Mike Brown,SUB,1.0,,,0,tapology,United States Mixed Martial Arts Usmma,,,,,,,,,,,,,,,,
2019-03-16,Ketlen Souza,Jessica Luanna,Ketlen Souza,KO/TKO,2.0,,,1,sherdog,Mr. Cage Championship vs. Rei da Selva,,,,,,,,,,,,,,,,
2018-03-03,Jordan Espinosa,C.J. Hamilton,Jordan Espinosa,S-DEC,3.0,3.0,,0,sherdog,Iron Tiger Fight Series / Alliance MMA,,,,,,,,,,,,,,,,
2017-12-15,Vanessa Demopoulos,Emme Weber,Vanessa Demopoulos,SUB,1.0,,,0,sherdog,Iron Tiger Fight Series / Alliance MMA,,,,,,,,,,,,,,,,
2018-03-03,Devonte Smith,Justin Edwards,Devonte Smith,KO/TKO,1.0,,,0,sherdog,Iron Tiger Fight Series / Alliance MMA,,,,,,,,,,,,,,,,
2018-03-03,Jesse Murray,Travis Davis,Travis Davis,KO/TKO,2.0,,,0,sherdog,Iron Tiger Fight Series / Alliance MMA,,,,,,,,,,,,,,,,
2018-01-21,Leon Aliu,Chase Gamble,Leon Aliu,SUB,1.0,,,0,sherdog,Fighting Venkon / Legio's Team Bergamo,,,,,,,,,,,,,,,,
2015-11-20,Fernando Padilla,Kaleb Gonzales,Fernando Padilla,SUB,1.0,,,0,sherdog,MMA Revolution: Iron Kick vs. Red Cage,,,,,,,,,,,,,,,,
2005-09-09,Cole Miller,Tim Honeycutt,Cole Miller,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-11-04,Cole Miller,Josh Odom,Josh Odom,M-DEC,,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2006-06-10,Tommy Speer,Jim Abrille,Tommy Speer,KO/TKO,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2012-09-15,Aleksei Oleinik,Mike Stewart,Aleksei Oleinik,SUB,2.0,,,1,tapology,World Cup Of Mixed Martial Arts Wcmma,,,,,,,,,,,,,,,,
1998-05-29,David Roberts,Devin Reynolds,David Roberts,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2015-02-21,Peter Petties,Brandon Pennington,Peter Petties,KO/TKO,2.0,,,0,sherdog,Global Proving Ground / The Victorium,,,,,,,,,,,,,,,,
2005-06-03,Cole Miller,Harris Norwood,Cole Miller,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
1995-06-23,Tsuyoshi Kohsaka,Scott Sullivan,Tsuyoshi Kohsaka,SUB,1.0,,,0,tapology,ACE: The World Martial Arts Challenge,,,,,,,,,,,,,,,,
2015-01-30,Kamuela Kirk,Evan DeLong,Kamuela Kirk,SUB,1.0,,,0,sherdog,Mosley Showdown / Swarm Entertainment,,,,,,,,,,,,,,,,
2006-06-10,Cole Miller,Joe Germain,Cole Miller,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2006-02-11,Cole Miller,Jarrett Becks,Cole Miller,SUB,1.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2005-07-15,Cole Miller,Chris Mickle,Cole Miller,SUB,3.0,,,0,tapology,International Sport Combat Federation,,,,,,,,,,,,,,,,
2018-04-14,Aoriqileng,Jiaerken Ailimubai,Jiaerken Ailimubai,U-DEC,,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2016-08-20,Michael Oliveira,Clécio Oliveira,Clécio Oliveira,SUB,1.0,,,0,tapology,International Vale Tudo Championship,,,,,,,,,,,,,,,,
2017-09-16,Wulijiburen,Ye Yuan,Wulijiburen,SUB,1.0,,,1,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-02-18,Wulijiburen,Hubulan Tuerxunbieke,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-04-07,Yizha,Wugetumuji,Yizha,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-04-07,Sumudaerji,Pengshuai Liu,Sumudaerji,KO/TKO,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-12-09,Aoriqileng,Ailiyaer Didaer,Aoriqileng,U-DEC,,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-04-07,Rongzhu,Wulijiburen,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-02-19,Rongzhu,Shamaiti Shanati,Rongzhu,U-DEC,,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2018-05-12,Aoriqileng,Sen Yang,Aoriqileng,U-DEC,,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2018-06-10,Aoriqileng,Shuo Wang,Shuo Wang,U-DEC,,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-07-23,Wulijiburen,Hubulan Tuerxunbieke,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-04-07,Wulijiburen,Rongzhu,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-01-08,Yizha,Junzhou Bai,Yizha,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-05-13,Wulijiburen,Ye Yuan,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-01-07,Wulijiburen,Rui Cao,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2018-03-11,Aoriqileng,Xiaolong Wu,Xiaolong Wu,S-DEC,,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-06-10,Wulijiburen,Changzhao Yu,Wulijiburen,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2017-01-08,Rongzhu,Fengkai Niu,Rongzhu,SUB,1.0,,,0,tapology,Chin Woo Men Mma Professional League,,,,,,,,,,,,,,,,
2020-09-25,Ian Machado Garry,George McManus,Ian Machado Garry,KO/TKO,2.0,,,0,tapology,Cage Warriors Fighting Championship,,,,,,,,,,,,,,,,
2019-11-09,Ian Machado Garry,Mateusz Figlak,Ian Machado Garry,SUB,1.0,,,0,tapology,Cage Warriors Fighting Championship,,,,,,,,,,,,,,,,
2008-10-04,Aleksei Oleinik,Telman Sherifov,Aleksei Oleinik,SUB,1.0,,,1,tapology,Professional Fighting Championships,,,,,,,,,,,,,,,,
2013-10-16,Aleksei Oleinik,Dion Staring,Aleksei Oleinik,SUB,1.0,,,0,tapology,Professional Fighting Championships,,,,,,,,,,,,,,,,
2008-10-04,Aleksei Oleinik,Oleg Kutepov,Aleksei Oleinik,SUB,1.0,,,0,tapology,Professional Fighting Championships,,,,,,,,,,,,,,,,
