history_type,event_date,fighter_a,fighter_b,winner,subject_result,method,finish_round,num_rounds,weight_class,title_bout,source,organization,ufcstats_id,ufcstats_url,subject_dob,source_profile_id,source_profile_url,source_profile_dob,dob_match
professional,2014-09-20,Gabriel Santos,Lucas de Sousa Silva,Gabriel Santos,win,TKO (punches),3,,,,sherdog,Action Fight 1,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2016-05-28,Gabriel Santos,Thiago Carvalho,Gabriel Santos,win,Decision (unanimous),,,,,sherdog,Sao Francisco Fight 6,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2017-06-10,Gabriel Santos,Jeovanny de Oliveira,Gabriel Santos,win,Submission (rear-naked choke),1,,,,sherdog,Aspera FC 53,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2017-09-02,Gabriel Santos,Thiago Barbosa do Nascimento,Gabriel Santos,win,Submission (rear-naked choke),1,,,,sherdog,Coronel Combate 9,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2018-09-22,Gabriel Santos,Jorge Nunez,Gabriel Santos,win,Submission (rear-naked choke),1,,,,sherdog,Victorious FC 1,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2019-09-07,Gabriel Santos,Lucas Daniel Padilha Nunes,Gabriel Santos,win,Submission (rear-naked choke),1,,,,sherdog,Maktub Fight Pro,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2020-10-16,Gabriel Santos,Elves Brener,Gabriel Santos,win,Decision (unanimous),,,,,sherdog,Future MMA 12,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2021-09-24,Gabriel Santos,Elvis Silva,Gabriel Santos,win,Decision (unanimous),,,,,sherdog,Future MMA 13,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2022-11-04,Gabriel Santos,Marcio Barbosa,Gabriel Santos,win,TKO (head kick and punches),2,,,,sherdog,LFA 146,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2023-01-28,Gabriel Santos,Jose Mauro Delano,Gabriel Santos,win,KO (body punch),3,,,,sherdog,LFA 151,f2f140ce7532e327,http://ufcstats.com/fighter-details/f2f140ce7532e327,1996-11-28,179211,https://www.sherdog.com/fighter/Gabriel-Santos-179211,1996-11-28,true
professional,2012-10-20,Kai Kamaka III,Anthony Reyes,Kai Kamaka III,win,Decision (unanimous),2,,,,sherdog,KOTC Mana,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
professional,2014-08-02,Kai Kamaka III,Nui Wheeler,Kai Kamaka III,win,Submission (rear-naked choke),1,,,,sherdog,Destiny MMA Na Koa 6,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
professional,2015-06-14,Kai Kamaka III,Andrew Natividad,Andrew Natividad,loss,TKO (doctor stoppage),1,,,,sherdog,KOTC Sanctioned,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
professional,2017-03-25,Kai Kamaka III,Jeff Mesa,Jeff Mesa,loss,Decision (unanimous),,,,,sherdog,PXC 56,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
professional,2018-02-24,Kai Kamaka III,Rick James,Kai Kamaka III,win,Decision (unanimous),,,,,sherdog,KOTC Energetic Pursuit,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
professional,2018-06-10,Kai Kamaka III,Mauricio Diaz,Kai Kamaka III,win,Decision (unanimous),,,,,sherdog,KOTC Highlight Reel,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
professional,2018-12-15,Kai Kamaka III,Shojin Miki,Kai Kamaka III,win,Decision (unanimous),,,,,sherdog,Bellator 213,eee0ef3e2b14816b,http://ufcstats.com/fighter-details/eee0ef3e2b14816b,1995-01-05,117585,https://www.sherdog.com/fighter/Kai-Kamaka-III-117585,1995-01-05,true
