tour,tourney_id,tourney_name,tourney_level,surface,draw_size,tourney_date,match_num,round,best_of,minutes,score,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_age,loser_age,winner_hand,loser_hand,winner_ht,loser_ht,winner_seed,loser_seed,winner_entry,loser_entry
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,1,R32,3,,4-6 2-6,R. Collignon,D. Shapovalov,c0jp,su55,,,,,,,,,,,,5,Q,
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,2,R32,3,,6-3 6-2,G. Dimitrov,P. Carreno Busta,d875,cd85,,,,,,,,,,,,,,Q
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,3,R32,3,,6-3 6-2,R. Hijikata,A. Walton,h0bh,w09e,,,,,,,,,,,,,Q,WC
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,4,R32,3,,7-5 3-6 4-6,Q. Halys,A. Popyrin,hb64,p09z,,,,,,,,,,,,,Q,
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,5,R32,3,,6-7 3-6,S. Korda,V. Vacherot,k0ah,va25,,,,,,,,,,,,,,
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,6,R32,3,,3-6 4-6,A. Kovacevic,N. Kyrgios,k0az,ke17,,,,,,,,,,,,,,WC
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,7,R32,3,,6-4 6-7 6-2,J. Lehecka,T. Machac,l0bv,m0fh,,,,,,,,,,,3,,,
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,8,R32,3,,7-6 3-6 7-6,G. Mpetshi Perricard,T. Paul,m0gz,pl56,,,,,,,,,,,,4,,
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,9,R32,3,,7-6 6-7 3-6,A. Michelsen,J. Duckworth,m0qi,d994,,,,,,,,,,,,,,Q
atp,2026-339,Brisbane International presented by ANZ,250,Hard,32,20260104,10,R32,3,,6-2 6-3,D. Medvedev,M. Fucsovics,mm58,f724,,,,,,,,,,,1,,,
