Date,Winner,Loser,score,round,odds_w,odds_l,tournament,tour,event_type,source
2023-12-03,Bassols M.,Andreeva E.,0:2,FINAL,,,andorra,wta,125,betexplorer
2023-12-02,Andreeva E.,Watson H.,2:1,SEMI-FINALS,,,andorra,wta,125,betexplorer
2023-12-02,Bassols M.,Cornet A.,2:0,SEMI-FINALS,,,andorra,wta,125,betexplorer
2023-12-01,Andreeva E.,Seidel E.,2:0,QUARTER-FINALS,,,andorra,wta,125,betexplorer
2023-12-01,Bassols M.,Sevastova A.,2:1,QUARTER-FINALS,,,andorra,wta,125,betexplorer
2023-12-01,Cornet A.,Tauson C.,2:0,QUARTER-FINALS,,,andorra,wta,125,betexplorer
2023-11-30,Tauson C.,Kawa K.,0:2,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-30,Ponchet J.,Jacquemot E.,2:1,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-30,Seidel E.,Friedsam A-L.,2:0,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-30,Sevastova A.,Yastremska D.,2:1,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-29,Bassols M.,Reyngold E.,2:0,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-29,Watson H.,Charaeva A.,0:2,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-29,Cornet A.,Parrizas-Diaz N.,2:1,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-29,Andreeva E.,Naef C.,1:2,1/8-FINALS,,,andorra,wta,125,betexplorer
2023-11-29,Kawa K.,Iliev S.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-29,Tauson C.,Jimenez Kasintseva V.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Watson H.,Babos T.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Friedsam A-L.,Cengiz B.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Jacquemot E.,Peterson R.,2:1,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Reyngold E.,Kalieva E.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Yastremska D.,Makarova E.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Ponchet J.,Martincova T.,1:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Sevastova A.,Burillo Escorihuela I.,2:1,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-28,Seidel E.,Sonmez Z.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
2023-11-27,Andreeva E.,Bandecchi S.,0:2,1/16-FINALS,,,andorra,wta,125,betexplorer
