Date,Winner,Loser,score,round,odds_w,odds_l,tournament,tour,event_type,source
2025-06-14,Prado Angelo J. C.,Hotze L.,2:0,,,,davis-cup-g3-2022,atp,davis_cup,betexplorer
2025-06-14,Andre F.,Antchandie H.,2:0,,,,davis-cup-g4-2022,atp,davis_cup,betexplorer
2025-06-14,Domingos D.,Koumba C.,2:0,,,,davis-cup-g4-2022,atp,davis_cup,betexplorer
2025-06-14,Bazu D.,Njogu A.,1:2,,,,davis-cup-g4-2022,atp,davis_cup,betexplorer
2025-06-14,Shah K. S.,Seewoosurrun R.,2:0,,,,davis-cup-g4-2022,atp,davis_cup,betexplorer
2024-11-23,Alansi G.,Abdullah A.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Camacho C.,Abrar Z.,2:1,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Fazeel A. F.,Enkhjargal S.,1:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Dorji T.,Ho S. L. S.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Alnusairi N.,Lim G.,1:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Llarenas D.,Md Hanif M.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Simmalavong S.,Orazmuhammedov M.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Oyunbold T.,Izzath Rasheed M.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Rogusskiy Y.,Bounthala D.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-11-23,Tang K. L. Y.,Singye Dorji T.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Mokobo A.,Ah-Kon K.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Pandzou Ekoume C.,Gomme M.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Said M.,Issa A. I.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Leshoele M.,Derar K.,1:0 RET.,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Mathibela L.,Ali H.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Blal M. L.,Omar Ali O.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Rakotondramanga A.,Zziwa T. A.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Rakotondrasoa V.,Kiriwo M.,2:0,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Mohammed A. N.,Rashidi R.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2024-07-20,Musa D.,Shomvi H.,0:2,,,,davis-cup-g5-2022,atp,davis_cup,betexplorer
2025-09-21,Cocciaretto E.,Navarro E.,2:0,,3.3,1.32,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-21,Paolini J.,Pegula J.,2:0,,2.2,1.62,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-20,Navarro E.,Kartal S.,2:1,,1.35,3.1,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-20,Pegula J.,Boulter K.,2:1,,1.19,4.38,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-19,Kostyuk M.,Cocciaretto E.,0:2,,1.36,3.03,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-19,Paolini J.,Svitolina E.,2:1,,1.87,1.84,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-18,Rybakina E.,Pegula J.,2:0,,1.81,1.91,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-18,Kartal S.,Shibahara E.,0:2,,1.3,3.4,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-18,Boulter K.,Uchijima M.,0:2,,1.44,2.75,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-17,Svitolina E.,Badosa P.,1:2,,1.44,2.75,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-17,Kostyuk M.,Bouzas Maneiro J.,0:2,,1.56,2.35,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-17,Navarro E.,Putintseva Y.,1:2,,1.35,3.03,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-16,Cocciaretto E.,Yuan Y.,2:1,,1.9,1.9,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-09-16,Paolini J.,Wang Xin.,2:1,,1.35,3.1,bjk-cup-wg-2022,wta,bjk_cup,betexplorer
2025-04-12,Jorge M.,Juvan K.,1:2,,,,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-12,Jorge F.,Lovric P.,1:2,,1.28,3.4,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-12,Marcinko P.,Kostovic T.,2:0,,1.83,1.83,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-12,Ristic M.,Ruzic A.,1:2,,3.9,1.22,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-11,Aksu A.,Toth A. K.,2:1,,2.48,1.49,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-11,Minnen G.,Gracheva V.,2:1,,1.49,2.47,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-11,Sonmez Z.,Bondar A.,2:0,,1.55,2.33,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
2025-04-11,Vandromme J.,Cornet A.,2:0,,2.2,1.61,bjk-cup-g1-2022,wta,bjk_cup,betexplorer
