Date,Winner,Loser,odds_w,odds_l,tournament,tour,event_type,source
2022-01-03,Delbonis F.,Pervolarakis M.,1.14,5.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-06,Shapovalov D.,Struff J-L.,1.66,2.1,atp-cup-2022,atp,atp_cup,flashscore
2021-12-31,Carreno-Busta P.,Tabilo A.,1.14,5.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-06,De Minaur A.,Humbert U.,1.72,2.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-05,FINISHED / RETIRED -,Tsitsipas S.,4.0,1.22,atp-cup-2022,atp,atp_cup,flashscore
2026-03-21,Damm M.,Alexander Zverev,7.0,1.09,atp-cup-2022,atp,atp_cup,flashscore
2022-01-04,Ruud C.,Garin C.,1.16,4.5,atp-cup-2022,atp,atp_cup,flashscore
2022-01-03,Zverev A.,Fritz T.,1.25,3.75,atp-cup-2022,atp,atp_cup,flashscore
2022-01-08,Medvedev D.,Auger-Aliassime F.,1.2,4.33,atp-cup-2022,atp,atp_cup,flashscore
2022-01-04,Hurkacz H.,Schwartzman D.,2.0,1.72,atp-cup-2022,atp,atp_cup,flashscore
2022-01-04,Safiullin R.,Duckworth J.,2.25,1.57,atp-cup-2022,atp,atp_cup,flashscore
2022-01-01,Isner J.,Schnur B.,1.25,3.75,atp-cup-2022,atp,atp_cup,flashscore
2022-01-07,Shapovalov D.,Safiullin R.,1.33,3.25,atp-cup-2022,atp,atp_cup,flashscore
2022-01-06,Auger-Aliassime F.,Zverev A.,4.33,1.2,atp-cup-2022,atp,atp_cup,flashscore
2022-01-02,Bautista-Agut R.,Ruud C.,2.2,1.61,atp-cup-2022,atp,atp_cup,flashscore
2022-01-04,Medvedev D.,De Minaur A.,1.16,4.5,atp-cup-2022,atp,atp_cup,flashscore
2022-01-03,Berrettini M.,Humbert U.,1.61,2.2,atp-cup-2022,atp,atp_cup,flashscore
2022-01-09,Shapovalov D.,Carreno-Busta P.,2.3,1.61,atp-cup-2022,atp,atp_cup,flashscore
2022-01-04,Tabilo A.,Durasovic V.,1.16,4.5,atp-cup-2022,atp,atp_cup,flashscore
2021-12-31,Delbonis F.,Metreveli A.,1.11,6.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-05,Fritz T.,Norrie C.,1.72,2.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-01,Safiullin R.,Rinderknech A.,2.75,1.4,atp-cup-2022,atp,atp_cup,flashscore
2022-01-05,Sinner J.,Safiullin R.,1.1,6.5,atp-cup-2022,atp,atp_cup,flashscore
2022-01-01,Krajinovic F.,Durasovic V.,1.11,6.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-03,Sinner J.,Rinderknech A.,1.11,6.0,atp-cup-2022,atp,atp_cup,flashscore
2022-01-05,Evans D.,Isner J.,1.53,2.37,atp-cup-2022,atp,atp_cup,flashscore
