Date,Winner,Loser,odds_w,odds_l,tournament,tour,event_type,source,source_url,source_note,round,bucket
2024-10-28,Antonia Ruzic,Laura Samson,1.526316,2.45,Merida Open Akron,wta,manual_search_article,bleacher_nation_dataskrive,https://www.bleachernation.com/picks/2024/10/27/ruzic-vs-samson-prediction-at-the-merida-open-akron-monday-october-28/,Page states Ruzic is favored (-190) against Samson (+145) in Merida Open Akron Round of 32 on Monday October 28.,R32,Merida 2024
2024-11-08,Coco Gauff,Aryna Sabalenka,3.0,1.47619,WTA Finals,wta,manual_search_article,khelnow,https://khelnow.com/tennis/aryna-sabalenka-vs-coco-gauff-prediction-202411,Page lists moneyline Sabalenka -210 and Gauff +200 for the WTA Finals semifinal in Riyadh on November 8 2024.,SF,Riyadh Finals 2024
2022-09-12,Eugenie Bouchard,Joanne Zuger,1.93,1.87,Chennai,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/467354/h2h-prediction-joanne-zuger-vs-eugenie-bouchard-chennai-odds-preview-pick/,Page lists Joanne Zuger -> 1.87 and Eugenie Bouchard -> 1.93 for the Chennai Open first round on Monday September 12 2022.,R32,Chennai 2022
2023-01-30,Xin Yu Wang,Joanne Zuger,1.23,4.2,Hua Hin,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/507437/h2h-prediction-xinyu-wang-vs-joanne-zuger-hua-hin-odds-preview-pick/,Page lists Xinyu Wang -> 1.23 and Joanne Zuger -> 4.2 for the Hua Hin first round on Monday January 30 2023.,R32,Hua Hin 2023
2023-06-12,Liudmila Samsonova,Lena Rueffer,1.047,10.25,s Hertogenbosch,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/565558/h2h-prediction-of-liudmila-samsonova-vs-lena-papadakis-in-hertogenbosch-with-odds-preview-pick-12th-june-2023/,Page lists Liudmila Samsonova -> 1.047 and Lena Papadakis -> 10.25 for the Libema Open first round on Monday June 12 2023.,R32,s Hertogenbosch 2023
2023-07-04,Kaja Juvan,Margarita Gasparyan,1.076,8.1,Wimbledon,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/577597/h2h-prediction-of-kaja-juvan-vs-margarita-betova-in-wimbledon-with-odds-preview-pick-4th-july-2023/,Page lists Kaja Juvan -> 1.076 and Margarita Betova -> 8.1 for the Wimbledon first round on Tuesday July 4 2023.,R128,Wimbledon 2023
2023-07-18,Yulia Putintseva,Kateryna Bondarenko,1.133,5.85,Budapest,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/585678/h2h-prediction-of-yulia-putintseva-vs-kateryna-volodko-in-budapest-with-odds-preview-pick-18th-july-2023/,Page lists Yulia Putintseva -> 1.133 and Kateryna Volodko -> 5.85 for the Budapest first round on Tuesday July 18 2023.,R32,Budapest 2023
2023-08-28,Yuriko Miyazaki,Margarita Gasparyan,1.33,3.32,Us Open,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/607965/h2h-prediction-of-yuriko-miyazaki-vs-margarita-betova-at-the-u-s-open-with-odds-preview-pick-28th-august-2023/,Page lists Yuriko Miyazaki -> 1.33 and Margarita Betova -> 3.32 for the US Open first round on Monday August 28 2023.,R128,Us Open 2023
2023-10-09,Qinwen Zheng,Kateryna Bondarenko,1.08,7.9,Zhengzhou,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/629012/h2h-prediction-of-qinwen-zheng-vs-kateryna-volodko-in-zhengzhou-with-odds-preview-pick-9th-october-2023/,Page lists Qinwen Zheng -> 1.08 and Kateryna Volodko -> 7.9 for the Zhengzhou Open first round on Monday October 9 2023.,R32,Zhengzhou 2023
2023-11-05,Iga Swiatek,Aryna Sabalenka,1.57,2.41,Cancun Finals,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/638994/h2h-prediction-of-aryna-sabalenka-vs-iga-swiatek-in-cancun-with-odds-preview-pick-5th-november-2023/,Page lists Iga Swiatek -> 1.57 and Aryna Sabalenka -> 2.41 for the Cancun semifinal on Sunday November 5 2023.,SF,Cancun Finals 2023
