Date,Winner,Loser,odds_w,odds_l,source,tournament,tour,event_type
2022-09-16,Berrettini M.,Baez S.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-17,Goffin D.,Bonzi B.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-11-24,Fritz T.,Musetti L.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-14,Norrie C.,Fritz T.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-14,Mannarino A.,Otte O.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-14,Paul T.,Evans D.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-11-27,Shapovalov D.,Kokkinakis T.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-11-26,Sonego L.,Shapovalov D.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-16,Evans D.,Griekspoor T.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-18,Ymer M.,Sinner J.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-16,Goffin D.,Otte O.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-16,Sinner J.,Cerundolo F.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-15,Paul T.,Kukushkin M.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-14,Berrettini M.,Coric B.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-13,Ymer M.,Schwartzman D.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-15,Gasquet R.,Kubler J.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-15,Coric B.,Ymer M.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-18,Murray A.,Popko D.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-14,Musetti L.,Gojo B.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-15,Fritz T.,Bublik A.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-18,Kokkinakis T.,Otte O.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-17,Coric B.,Cerundolo F.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-18,Bublik A.,Norrie C.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-17,Djere L.,Diallo G.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-15,Ymer E.,Gojo B.,1.02,1.01,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-09-18,Berrettini M.,Ymer E.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-11-22,Thompson J.,Griekspoor T.,1.01,1.02,oddsportal,Davis Cup world-group 2022,atp,davis_cup
2022-03-04,Lock B.,Miralles L.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-05,Safwat M.,Chrysochos P.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Lajal M.,Sinclair C.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Zopp J.,Mainguy C.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Vacherot V.,Benchetrit E.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Phillips R.,Pervolarakis M.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Catarina L.,Moundir A.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Safwat M.,Efstathiou M.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-05,Tsitsipas Pe.,Phillips R.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-05,Gulbis E.,Samrej K.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Lazarov A.,Vallejo D.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-03,Strombachs R.,Samrej K.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Bicknell B.,Tsitsipas Pe.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-04,Gulbis E.,Charoenphon Y.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2022-03-05,Arevalo M.,Lock B.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2022,atp,davis_cup
2023-11-25,Kecmanovic M.,Musetti L.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Galarneau A.,Tabilo A.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-13,Galarneau A.,Sonego L.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-17,Sonego L.,Ymer E.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-17,Humbert U.,Norrie C.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Virtanen O.,McDonald M.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Ruusuvuori E.,Paul T.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-15,Virtanen O.,Prizmic D.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-25,Sinner J.,Djokovic N.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-17,Arnaldi M.,Borg L.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Jarry N.,Diallo G.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-26,Arnaldi M.,Popyrin A.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-21,Raonic M.,Kaukovalta P.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Mensik J.,Lajovic D.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-15,Murray A.,Riedi L.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-15,Arnaldi M.,Garin C.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-14,Pospisil V.,Borg L.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-13,Diallo G.,Musetti L.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-14,Mannarino A.,Purcell M.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-13,McDonald M.,Prizmic D.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-23,Djokovic N.,Norrie C.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-15,Sonego L.,Jarry N.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-23,Kecmanovic M.,Draper J.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-14,Diallo G.,Ymer E.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-17,Gojo B.,Griekspoor T.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-13,Gojo B.,Tiafoe F.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-21,Virtanen O.,Diallo G.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-23,Sinner J.,Griekspoor T.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Lehecka J.,Djere L.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-15,Wawrinka S.,Norrie C.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-17,Evans D.,Fils A.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-15,Ruusuvuori E.,Gojo B.,1.02,1.01,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-11-22,Machac T.,Thompson J.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-16,Kokkinakis T.,Stricker D.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-09-14,Griekspoor T.,Tiafoe F.,1.01,1.02,oddsportal,Davis Cup world-group 2023,atp,davis_cup
2023-02-03,Vallejo D.,Safwat M.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Moundir A.,Coulibaly E.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,King D.,Sinclair C.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,Alkotop M.,Duran D.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,King D.,Mainguy C.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Knaff A.,Beckley A.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Phillips R.,Tamm K.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,Chrysochos P.,Mansouri S.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Arevalo M.,Alkotop M.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Marshall K.,Mainguy C.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,Sinclair C.,Marshall K.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-02,Tkemaladze Z.,Garcia R.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,Echargui M.,Efstathiou M.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,Lock B.,Carou I.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-03,Arevalo M.,Hatamleh K.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Vallejo D.,Elsayed A.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2023-02-04,Catarina L.,Hardt N.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2023,atp,davis_cup
2024-09-14,Cerundolo F.,Virtanen O.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-14,Monteiro T.,Bergs Z.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-13,McDonald M.,Klein L.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-15,Cobolli F.,Griekspoor T.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-11,Arnaldi M.,Monteiro T.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-11,Berrettini M.,Fonseca J.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-13,Cerundolo F.,Draper J.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-14,Mensik J.,Rinderknech A.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-15,Popyrin A.,Martinez P.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-11-21,Kokkinakis T.,Shelton B.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-11-24,Sinner J.,Griekspoor T.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-13,Nakashima B.,Kovalik J.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-11-20,Altmaier D.,Diallo G.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-14,Fonseca J.,Collignon R.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-13,Berrettini M.,Blockx A.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-13,Bergs Z.,Cobolli F.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-15,Shapovalov D.,Evans D.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-14,Fils A.,Lehecka J.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-12,Kokkinakis T.,Mensik J.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-12,Hanfmann Y.,Tabilo A.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-15,Kovalik J.,Tabilo A.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-11,Evans D.,Vasa E.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-12,Griekspoor T.,Monteiro T.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-14,Garin C.,Gombos N.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-14,Nakashima B.,Marterer M.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-11-23,Berrettini M.,Kokkinakis T.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-12,Shapovalov D.,Vasa E.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-11-21,Cerundolo F.,Musetti L.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-09-11,Harris B.,Virtanen O.,1.02,1.01,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-11-21,Sinner J.,Baez S.,1.01,1.02,oddsportal,Davis Cup world-group 2024,atp,davis_cup
2024-02-03,Setodji T.,Susanto A.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-04,Vacherot V.,Vallejo D.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,Dlimi Y.,Chrysochos P.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-02,Echargui M.,Flores J.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,Zhou Y.,Kriznik M.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,Dominko S.,Zhang Z.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-01,Zhou Y.,Dominko S.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-04,Marshall K.,Phillips R.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-04,Bicknell B.,King D.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,Benchetrit E.,Efstathiou M.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-01,Zhang Z.,Kriznik M.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-03-15,Moghimi S.,Tamm K.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-02,Duran D.,Osmont G.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,Bicknell B.,Marshall K.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-04,Albot R.,Roncadelli F.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,King D.,Phillips R.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-03-16,Ojakaar O.,Moghimi S.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2024-02-03,Roncadelli F.,Snitari I.,1.01,1.02,oddsportal,Davis Cup world-group-ii 2024,atp,davis_cup
2025-11-23,Cobolli F.,Munar J.,1.01,1.02,oddsportal,Davis Cup world-group 2025,atp,davis_cup
2025-11-21,Cobolli F.,Bergs Z.,1.01,1.02,oddsportal,Davis Cup world-group 2025,atp,davis_cup
2025-11-22,Zverev A.,Munar J.,1.02,1.01,oddsportal,Davis Cup world-group 2025,atp,davis_cup
2025-09-14,Ghetu G.,Cruz C.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2025,atp,davis_cup
2025-09-14,Vacherot V.,Efstathiou M.,1.02,1.01,oddsportal,Davis Cup world-group-ii 2025,atp,davis_cup
2022-04-14,Vekic D.,Bolkvadze M.,1.01,1.02,oddsportal,BJK Cup wg group i 2022,wta,bjk_cup
2022-04-14,Bhosale R.,Gumulya B.,1.01,1.02,oddsportal,BJK Cup wg group i 2022,wta,bjk_cup
2022-04-14,Krunic A.,Galfi D.,1.01,1.02,oddsportal,BJK Cup wg group i 2022,wta,bjk_cup
2022-04-13,Zarazua R.,Seguel D.,1.01,1.02,oddsportal,BJK Cup wg group i 2022,wta,bjk_cup
2022-04-14,Sierra S.,Pigossi L.,1.02,1.01,oddsportal,BJK Cup wg group i 2022,wta,bjk_cup
