Date,Winner,Loser,odds_w,odds_l,tournament,tour,event_type,source
2026-01-09,Garland J.,Kudermetova P.,3.4,1.36,Canberra 125,wta,125,oddsportal
2026-01-08,Kudermetova P.,Sakatsume H.,1.571,2.45,Canberra 125,wta,125,oddsportal
2026-01-08,Garland J.,Snigur D.,2.5,1.571,Canberra 125,wta,125,oddsportal
2026-01-07,Sakatsume H.,Gorgodze E.,1.441,2.79,Canberra 125,wta,125,oddsportal
2026-01-07,Kudermetova P.,Yuan Y.,2.4,1.571,Canberra 125,wta,125,oddsportal
2026-01-07,Garland J.,Zidansek T.,1.529,2.5,Canberra 125,wta,125,oddsportal
2026-01-07,Snigur D.,Waltert S.,1.8,2.1,Canberra 125,wta,125,oddsportal
2026-01-07,Yuan Y.,Prozorova T.,1.671,2.2,Canberra 125,wta,125,oddsportal
2026-01-07,Sakatsume H.,Sherif M.,1.4,3.0,Canberra 125,wta,125,oddsportal
2026-01-06,Zidansek T.,Tararudee L.,2.45,1.529,Canberra 125,wta,125,oddsportal
2026-01-06,Kudermetova P.,Radivojevic L.,1.73,2.1,Canberra 125,wta,125,oddsportal
2026-01-06,Gorgodze E.,Uchijima M.,2.9,1.441,Canberra 125,wta,125,oddsportal
2026-01-06,Waltert S.,Vidmanova D.,2.04,1.8,Canberra 125,wta,125,oddsportal
2026-01-06,Snigur D.,Liang E. S.,1.3,3.5,Canberra 125,wta,125,oddsportal
2026-01-06,Prozorova T.,Bartunkova N.,1.8,2.04,Canberra 125,wta,125,oddsportal
2026-01-06,Sakatsume H.,Kokkinis T.,1.17,6.0,Canberra 125,wta,125,oddsportal
2026-01-05,Gorgodze E.,Kalieva E.,2.0,1.833,Canberra 125,wta,125,oddsportal
2026-01-05,Sherif M.,Micic E.,1.28,4.0,Canberra 125,wta,125,oddsportal
2026-01-05,Vidmanova D.,Stakusic M.,2.0,1.8,Canberra 125,wta,125,oddsportal
2026-01-05,Radivojevic L.,Kostovic T.,1.8,2.0,Canberra 125,wta,125,oddsportal
2026-01-05,Kudermetova P.,Korneeva A.,2.4,1.571,Canberra 125,wta,125,oddsportal
2026-01-05,Zidansek T.,Bronzetti L.,1.73,2.18,Canberra 125,wta,125,oddsportal
2026-01-05,Garland J.,Parry D.,2.1,1.73,Canberra 125,wta,125,oddsportal
2026-01-05,Iatcenko P.,Aiava D.,1.621,2.4,Canberra 125,wta,125,oddsportal
2026-01-05,Liang E. S.,Stefanini L.,2.1,1.752,Canberra 125,wta,125,oddsportal
2026-01-05,Snigur D.,Korpatsch T.,1.671,2.2,Canberra 125,wta,125,oddsportal
2026-01-05,Tararudee L.,Smith T. N.,1.29,4.09,Canberra 125,wta,125,oddsportal
2026-01-05,Uchijima M.,Brengle M.,1.5,2.63,Canberra 125,wta,125,oddsportal
2026-01-05,Gorgodze E.,Koevermans A.,1.952,1.8,Canberra 125,wta,125,oddsportal
2026-01-03,Hontama M.,Leonard M.,1.599,2.25,Canberra 125,wta,125,oddsportal
2026-01-03,Liang E. S.,Shymanovich I.,2.1,1.671,Canberra 125,wta,125,oddsportal
2026-01-03,Stoiana M.,Rame A.,1.15,5.0,Canberra 125,wta,125,oddsportal
2025-01-03,Ito A.,Wei S.,1.781,2.1,Canberra 125,wta,125,oddsportal
2025-01-02,Wei S.,Eala A.,1.73,2.1,Canberra 125,wta,125,oddsportal
2025-01-02,Ito A.,Parrizas-Diaz N.,1.8,2.0,Canberra 125,wta,125,oddsportal
2025-01-02,Wei S.,Waltert S.,1.8,2.04,Canberra 125,wta,125,oddsportal
2025-01-01,Ito A.,Stojanovic N.,2.2,1.699,Canberra 125,wta,125,oddsportal
2025-01-01,Eala A.,Preston T.,1.621,2.29,Canberra 125,wta,125,oddsportal
2025-01-01,Parrizas-Diaz N.,Selekhmeteva O.,1.621,2.38,Canberra 125,wta,125,oddsportal
2024-12-31,Eala A.,Hartono A.,1.45,2.75,Canberra 125,wta,125,oddsportal
2024-12-31,Stojanovic N.,Hule P.,1.3,3.5,Canberra 125,wta,125,oddsportal
2024-12-31,Selekhmeteva O.,Galfi D.,1.909,1.952,Canberra 125,wta,125,oddsportal
2024-12-31,Waltert S.,Jacquemot E.,1.909,1.909,Canberra 125,wta,125,oddsportal
2024-12-31,Preston T.,Stakusic M.,2.38,1.571,Canberra 125,wta,125,oddsportal
2024-12-31,Parrizas-Diaz N.,Saito S.,1.671,2.2,Canberra 125,wta,125,oddsportal
2024-12-31,Ito A.,Sasnovich A.,2.1,1.73,Canberra 125,wta,125,oddsportal
2024-12-31,Wei S.,Sawangkaew M.,1.909,1.909,Canberra 125,wta,125,oddsportal
2024-12-31,Hartono A.,Bondar A.,2.29,1.671,Canberra 125,wta,125,oddsportal
2024-12-31,Galfi D.,Snigur D.,2.0,1.8,Canberra 125,wta,125,oddsportal
2024-12-30,Stojanovic N.,Sierra S.,2.14,1.73,Canberra 125,wta,125,oddsportal
2024-12-30,Saito S.,Kovinic D.,1.09,8.0,Canberra 125,wta,125,oddsportal
2024-12-30,Preston T.,Oz I.,1.752,2.1,Canberra 125,wta,125,oddsportal
2024-12-30,Waltert S.,Semenistaja D.,1.621,2.5,Canberra 125,wta,125,oddsportal
2024-12-30,Jacquemot E.,Jones E.,1.73,2.1,Canberra 125,wta,125,oddsportal
2024-12-30,Parrizas-Diaz N.,Fett J.,1.4,3.2,Canberra 125,wta,125,oddsportal
2024-12-30,Eala A.,Kraus S.,1.37,3.4,Canberra 125,wta,125,oddsportal
2024-12-30,Sawangkaew M.,Seidel E.,1.571,2.38,Canberra 125,wta,125,oddsportal
2024-12-30,Selekhmeteva O.,Martic P.,1.8,2.1,Canberra 125,wta,125,oddsportal
2024-12-30,Ito A.,Timofeeva M.,1.909,1.909,Canberra 125,wta,125,oddsportal
2024-12-30,Hule P.,Zakharova A.,3.5,1.33,Canberra 125,wta,125,oddsportal
2024-12-29,Stakusic M.,Ruzic A.,1.8,2.04,Canberra 125,wta,125,oddsportal
2024-12-29,Eala A.,Subasic A.,1.06,7.75,Canberra 125,wta,125,oddsportal
2024-12-28,Waltert S.,da Silva Fick G.,1.26,3.6,Canberra 125,wta,125,oddsportal
2024-12-28,Koevermans A.,Falei A.,2.35,1.549,Canberra 125,wta,125,oddsportal
2024-12-28,Palicova B.,Micic E.,1.3,3.29,Canberra 125,wta,125,oddsportal
2024-12-28,Oz I.,Salkova D.,4.0,1.22,Canberra 125,wta,125,oddsportal
2024-12-28,Sierra S.,Bandecchi S.,1.752,2.0,Canberra 125,wta,125,oddsportal
2024-01-05,Parrizas-Diaz N.,Dart H.,2.0,1.8,Canberra 125,wta,125,oddsportal
2024-01-04,Dart H.,Volynets K.,2.0,1.8,Canberra 125,wta,125,oddsportal
2024-01-04,Parrizas-Diaz N.,Tauson C.,3.75,1.29,Canberra 125,wta,125,oddsportal
2024-01-03,Dart H.,Hibino N.,1.671,2.2,Canberra 125,wta,125,oddsportal
2024-01-03,Tauson C.,Joint M.,1.14,5.5,Canberra 125,wta,125,oddsportal
2024-01-03,Volynets K.,Bondar A.,1.671,2.2,Canberra 125,wta,125,oddsportal
2024-01-02,Volynets K.,McPhee K.,1.33,3.4,Canberra 125,wta,125,oddsportal
2024-01-02,Tauson C.,Ferro F.,1.33,3.4,Canberra 125,wta,125,oddsportal
2024-01-02,Parrizas-Diaz N.,Rakhimova K.,2.29,1.621,Canberra 125,wta,125,oddsportal
2024-01-02,Dart H.,Wang Y.,2.29,1.621,Canberra 125,wta,125,oddsportal
2024-01-02,Bondar A.,Burrage J.,2.38,1.571,Canberra 125,wta,125,oddsportal
2024-01-02,Dodin O.,Andreeva E.,3.5,1.3,Canberra 125,wta,125,oddsportal
2024-01-02,Hibino N.,Preston T.,1.571,2.38,Canberra 125,wta,125,oddsportal
2024-01-02,Joint M.,Seidel E.,4.0,1.25,Canberra 125,wta,125,oddsportal
2024-01-02,Ferro F.,Pigossi L.,1.4,3.0,Canberra 125,wta,125,oddsportal
2024-01-01,Seidel E.,Stefanini L.,1.621,2.29,Canberra 125,wta,125,oddsportal
2024-01-01,Joint M.,Errani S.,3.2,1.36,Canberra 125,wta,125,oddsportal
2024-01-01,Dodin O.,Snigur D.,2.29,1.621,Canberra 125,wta,125,oddsportal
2024-01-01,Andreeva E.,Marino R.,1.5,2.63,Canberra 125,wta,125,oddsportal
2024-01-01,Parrizas-Diaz N.,Naef C.,2.75,1.441,Canberra 125,wta,125,oddsportal
2024-01-01,Tauson C.,Golubic V.,1.671,2.2,Canberra 125,wta,125,oddsportal
2024-01-01,Rakhimova K.,Peterson R.,2.1,1.73,Canberra 125,wta,125,oddsportal
2024-01-01,Dart H.,Friedsam A-L.,1.529,2.5,Canberra 125,wta,125,oddsportal
2024-01-01,Burrage J.,Sharma A.,1.73,2.1,Canberra 125,wta,125,oddsportal
2024-01-01,McPhee K.,Zarazua R.,2.75,1.441,Canberra 125,wta,125,oddsportal
2024-01-01,Hibino N.,Sebov K.,2.0,1.8,Canberra 125,wta,125,oddsportal
2024-01-01,Wang Y.,Jones E.,1.07,9.0,Canberra 125,wta,125,oddsportal
2024-01-01,Volynets K.,Mandlik E.,2.0,1.8,Canberra 125,wta,125,oddsportal
2026-02-22,Charaeva A.,Guo H.,1.833,2.0,Midland 125,wta,125,oddsportal
2026-02-21,Charaeva A.,Vidmanova D.,3.4,1.33,Midland 125,wta,125,oddsportal
2026-02-21,Guo H.,Stoiana M.,2.79,1.42,Midland 125,wta,125,oddsportal
2026-02-20,Guo H.,Kalieva E.,2.29,1.73,Midland 125,wta,125,oddsportal
2026-02-20,Stoiana M.,Sebov K.,1.529,2.63,Midland 125,wta,125,oddsportal
2026-02-20,Charaeva A.,Hibino N.,2.0,1.833,Midland 125,wta,125,oddsportal
2026-02-20,Vidmanova D.,Frey A.,1.15,5.5,Midland 125,wta,125,oddsportal
2026-02-19,Kalieva E.,Hosogi S.,1.3,3.4,Midland 125,wta,125,oddsportal
2026-02-19,Hibino N.,Osuigwe W.,1.671,2.2,Midland 125,wta,125,oddsportal
2026-02-19,Vidmanova D.,Lee G.,1.07,9.0,Midland 125,wta,125,oddsportal
2026-02-18,Frey A.,Day K.,8.5,1.06,Midland 125,wta,125,oddsportal
2026-02-18,Charaeva A.,You X.,1.621,2.45,Midland 125,wta,125,oddsportal
2026-02-18,Stoiana M.,Brengle M.,1.599,2.25,Midland 125,wta,125,oddsportal
2026-02-18,Sebov K.,Cross K.,1.909,1.909,Midland 125,wta,125,oddsportal
2026-02-18,Hibino N.,Ansari C.,1.36,3.1,Midland 125,wta,125,oddsportal
2026-02-18,Vidmanova D.,Sawashiro K.,1.07,8.5,Midland 125,wta,125,oddsportal
2026-02-17,Hosogi S.,Liu C.,4.33,1.24,Midland 125,wta,125,oddsportal
2026-02-17,Day K.,Coleman E.,1.06,9.75,Midland 125,wta,125,oddsportal
