tour,player_id,full_name,first_name,last_name,country_code,country_name,birth_date,birth_place,hand_code,hand_description,backhand_code,backhand_description,height_cm,weight_kg,pro_year,coach,active_status,active_status_description,current_singles_rank,current_singles_rank_source,current_doubles_rank,profile_url,source_api_url,source_page_url,source_kind,fetch_status,fetched_at_utc,observed_rows,latest_observed_event_date,error,source_notes
atp,103499,Aqeel Khan,,,,,1980-01-30,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/khan-18a49/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/match-detail/?id=3125668,tennisexplorer_profile,ok,2026-03-22T16:26:19Z,,,,query='Aqeel Khan'; match_detail_pages_checked=7; exact_birthdate_pages=1
atp,103499,Aqeel Khan,,,,,1980-01-30,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/khan-18a49/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/khan-18a49/,tennisexplorer_profile,ok,2026-03-21T22:46:01Z,,,,query='Aqeel Khan'
atp,103499,Aqeel Khan,,,,,1980-01-30,,R,Right-Handed,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aqeel_Khan,https://www.wikidata.org/wiki/Special:EntityData/Q4782530.json,https://en.wikipedia.org/wiki/Aqeel_Khan,wikipedia_page_plus_wikidata,ok,2026-03-22T16:41:08Z,,,,lang=en; qid=Q4782530
atp,105812,David Agung Susanto,,,,,1991-07-21,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/susanto/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/susanto/,tennisexplorer_profile,ok,2026-03-22T16:26:31Z,,,,query='David Agung Susanto'
atp,105812,David Agung Susanto,,,,,1991-07-21,,R,Right-Handed,,,,,,,,,,,,https://en.wikipedia.org/wiki/David_Agung_Susanto,https://www.wikidata.org/wiki/Special:EntityData/Q47581103.json,https://en.wikipedia.org/wiki/David_Agung_Susanto,wikipedia_page_plus_wikidata,ok,2026-03-22T16:41:23Z,,,,lang=en; qid=Q47581103
atp,108782,Mahammad Abid,,,,,,,,,,,,,,,,,,,,,https://www.tennisexplorer.com/res/ajax/search.php,,tennisexplorer_profile,not_found,2026-03-22T16:27:04Z,,,Tennis Explorer search did not return a safely matchable profile.,query='Mahammad Abid'
atp,108782,Mahammad Abid,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:46:20Z,,,Known birth date unavailable for safe Wikipedia identity matching.,
atp,110751,Sebastian Fanselow,,,,,1991-12-30,,R,Right-Handed,,,193.0,,,,,,,,,https://www.tennisexplorer.com/player/fanselow-fef29/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/fanselow-fef29/,tennisexplorer_profile,ok,2026-03-21T20:39:53Z,,,,query='Sebastian Fanselow'
atp,110751,Sebastian Fanselow,,,,,1991-12-30,,R,Right-Handed,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sebastian_Fanselow,https://www.wikidata.org/wiki/Special:EntityData/Q106363154.json,https://en.wikipedia.org/wiki/Sebastian_Fanselow,wikipedia_page_plus_wikidata,ok,2026-03-21T20:56:22Z,,,,lang=en; qid=Q106363154
atp,118808,Daniel Vallejo,,,,,1984-05-21,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/vallejo/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/vallejo/,tennisexplorer_profile,ok,2026-03-21T20:39:24Z,,,,query='Daniel Vallejo'
atp,118808,Daniel Vallejo,,,,,1984-05-21,,,,,,193.0,,,,,,,,,https://de.wikipedia.org/wiki/Alex_Michelsen,https://www.wikidata.org/wiki/Special:EntityData/Q112995784.json,https://de.wikipedia.org/wiki/Alex_Michelsen,wikipedia_page_plus_wikidata,ok,2026-03-21T20:46:20Z,,,,lang=de; qid=Q112995784
atp,123969,Minhtuan Pham,,,,,1993-10-19,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/pham-69062/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/pham-69062/,tennisexplorer_profile,ok,2026-03-22T16:27:13Z,,,,query='Minhtuan Pham'
atp,123969,Minhtuan Pham,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:47:28Z,,,Wikipedia pages did not expose safe hand or height values for this player.,
atp,127195,Hamza Karmoussi,,,,,,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/karmoussi-afbea/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/karmoussi-afbea/,tennisexplorer_profile,ok,2026-03-22T16:26:41Z,,,,query='Hamza Karmoussi'
atp,127195,Hamza Karmoussi,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:42:13Z,,,Known birth date unavailable for safe Wikipedia identity matching.,
atp,131951,Daniel Cukierman,,,,,1995-07-09,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/cukierman/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/match-detail/?id=3160134,tennisexplorer_profile,ok,2026-03-22T16:26:29Z,,,,query='Daniel Cukierman'; match_detail_pages_checked=6; exact_birthdate_pages=6
atp,131951,Daniel Cukierman,,,,,1995-07-09,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/cukierman/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/cukierman/,tennisexplorer_profile,ok,2026-03-21T22:46:06Z,,,,query='Daniel Cukierman'
atp,131951,Daniel Cukierman,,,,,1995-07-09,,R,Right-Handed,,,,,,,,,,,,https://en.wikipedia.org/wiki/Daniel_Cukierman,https://www.wikidata.org/wiki/Special:EntityData/Q28673452.json,https://en.wikipedia.org/wiki/Daniel_Cukierman,wikipedia_page_plus_wikidata,ok,2026-03-22T16:41:22Z,,,,lang=en; qid=Q28673452
atp,134677,Juan Borba,,,,,1996-04-12,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/borba/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/borba/,tennisexplorer_profile,ok,2026-03-21T20:39:35Z,,,,query='Juan Borba'
atp,134677,Juan Borba,,,,,1996-04-12,,,,,,180.0,,,,,,,,,https://es.wikipedia.org/wiki/Gonzalo_Lama,https://www.wikidata.org/wiki/Special:EntityData/Q6422706.json,https://es.wikipedia.org/wiki/Gonzalo_Lama,wikipedia_page_plus_wikidata,ok,2026-03-21T20:50:45Z,,,,lang=es; qid=Q6422706
atp,138846,Hong Kit Jack Wong,,,,,,,,,,,,,,,,,,,,,https://www.tennisexplorer.com/res/ajax/search.php,,tennisexplorer_profile,not_found,2026-03-22T16:26:43Z,,,Tennis Explorer search did not return a safely matchable profile.,query='Hong Kit Jack Wong'
atp,138846,Hong Kit Jack Wong,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:42:33Z,,,Known birth date unavailable for safe Wikipedia identity matching.,
atp,149283,Freddy Murray,,,,,,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/murray-73eac/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/murray-73eac/,tennisexplorer_profile,ok,2026-03-22T16:26:39Z,,,,query='Freddy Murray'
atp,149283,Freddy Murray,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:42:12Z,,,Known birth date unavailable for safe Wikipedia identity matching.,
atp,149284,Jose  Flores,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:44:24Z,,,Wikipedia pages did not expose safe hand or height values for this player.,
atp,149284,Jose Flores,,,,,1987-08-12,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/flores-7df5b/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/flores-7df5b/,tennisexplorer_profile,ok,2026-03-22T16:26:52Z,,,,query='Jose  Flores'
atp,149285,Mustapha El Natour,,,,,,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/el-natour/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/el-natour/,tennisexplorer_profile,ok,2026-03-22T16:27:17Z,,,,query='Mustapha El Natour'
atp,149285,Mustapha El Natour,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:47:53Z,,,Known birth date unavailable for safe Wikipedia identity matching.,
atp,149843,Conor Gannon,,,,,2002-06-06,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/gannon/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/gannon/,tennisexplorer_profile,ok,2026-03-21T20:39:21Z,,,,query='Conor Gannon'
atp,149843,Conor Gannon,,,,,2002-06-06,,R,Right-Handed,,,188.0,,,,,,,,,https://en.wikipedia.org/wiki/Conor_Gannon,https://www.wikidata.org/wiki/Special:EntityData/Q131754013.json,https://en.wikipedia.org/wiki/Conor_Gannon,wikipedia_page_plus_wikidata,ok,2026-03-21T20:46:06Z,,,,lang=en; qid=Q131754013
atp,200045,Anthony Susanto,,,,,1997-05-23,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/susanto-31f06/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/match-detail/?id=3158608,tennisexplorer_profile,ok,2026-03-22T16:26:17Z,,,,query='Anthony Susanto'; match_detail_pages_checked=6; exact_birthdate_pages=6
atp,200045,Anthony Susanto,,,,,1997-05-23,,R,Right-Handed,,,,,,,,,,,,https://www.tennisexplorer.com/player/susanto-31f06/,https://www.tennisexplorer.com/res/ajax/search.php,https://www.tennisexplorer.com/player/susanto-31f06/,tennisexplorer_profile,ok,2026-03-21T22:46:00Z,,,,query='Anthony Susanto'
atp,200045,Anthony Susanto,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:40:55Z,,,Wikipedia pages did not expose safe hand or height values for this player.,
atp,200583,Delmas Ntcha,,,,,,,,,,,,,,,,,,,,,https://www.tennisexplorer.com/res/ajax/search.php,,tennisexplorer_profile,not_found,2026-03-22T16:26:34Z,,,Tennis Explorer search did not return a safely matchable profile.,query='Delmas Ntcha'
atp,200583,Delmas Ntcha,,,,,,,,,,,,,,,,,,,,,,,wikipedia_page_plus_wikidata,not_found,2026-03-22T16:41:24Z,,,Known birth date unavailable for safe Wikipedia identity matching.,
