Date,Winner,Loser,odds_w,odds_l,tournament,tour,event_type,source,source_url,bucket
2026-03-17,Ajla Tomljanovic,Simona Waltert,1.37,4.25,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/simona-waltert-vs-ajla-tomljanovic-20260317,Miami 2026
2026-03-17,Anna Blinkova,Sofia Kenin,2.6,1.62,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/sofia-kenin-vs-anna-blinkova-20260317,Miami 2026
2026-03-17,Elsa Jacquemot,Darja Vidmanova,3.2,1.47,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/darja-vidmanova-vs-elsa-jacquemot-20260317,Miami 2026
2026-03-17,Katie Boulter,Jessica Bouzas Maneiro,2.2,2.3,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/katie-boulter-vs-jessica-bouzas-maneiro-20260317,Miami 2026
2026-03-17,Magda Linette,Varvara Gracheva,1.96,2.16,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/magda-linette-vs-varvara-gracheva-20260317,Miami 2026
2026-03-17,McCartney Kessler,Magdalena Frech,1.68,2.44,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/mccartney-kessler-vs-magdalena-frech-20260317,Miami 2026
2026-03-17,Sorana Cirstea,Shuai Zhang,1.33,4.0,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/shuai-zhang-vs-sorana-cirstea-20260317,Miami 2026
2026-03-17,Zeynep Sonmez,Beatriz Haddad Maia,1.63,3.0,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/zeynep-sonmez-vs-beatriz-haddad-maia-20260317,Miami 2026
2026-03-17,Alexandra Eala,Laura Siegemund,1.61,3.35,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/alexandra-eala-vs-laura-siegemund-20260319,Miami 2026
2026-03-17,Caty McNally,Rebeka Masarova,1.87,2.28,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/caty-mcnally-vs-rebeka-masarova-20260319,Miami 2026
2026-03-17,Dayana Yastremska,Ashlyn Krueger,2.56,1.79,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/dayana-yastremska-vs-ashlyn-krueger-20260319,Miami 2026
2026-03-17,Elisabetta Cocciaretto,Darja Semenistaja,1.39,3.55,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/darja-semenistaja-vs-elisabetta-cocciaretto-20260319,Miami 2026
2026-03-17,Francesca Jones,Venus Williams,1.56,67.0,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/francesca-jones-vs-venus-williams-20260319,Miami 2026
2026-03-17,Hailey Baptiste,Tatjana Maria,1.28,5.1,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/hailey-baptiste-vs-tatjana-maria-20260319,Miami 2026
2026-03-17,Kamilla Rakhimova,Solana Sierra,1.47,3.05,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/solana-sierra-vs-kamilla-rakhimova-20260319,Miami 2026
2026-03-17,Oksana Selekhmeteva,Emiliana Arango,1.45,3.85,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/emiliana-arango-vs-oksana-selekhmeteva-20260319,Miami 2026
2026-03-17,Peyton Stearns,Viktorija Golubic,1.38,4.4,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/viktorija-golubic-vs-peyton-stearns-20260319,Miami 2026
2026-03-17,Sloane Stephens,Jennifer Brady,3.05,1.49,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/jennifer-brady-vs-sloane-stephens-20260319,Miami 2026
2026-03-17,Talia Gibson,Sara Bejlek,1.85,2.66,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/sara-bejlek-vs-talia-gibson-20260319,Miami 2026
2026-03-17,Yulia Putintseva,Janice Tjen,2.2,1.82,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/janice-tjen-vs-yulia-putintseva-20260319,Miami 2026
2026-03-17,Yuliia Starodubtseva,Eva Lys,2.25,54.95,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/eva-lys-vs-yuliia-starodubtseva-20260319,Miami 2026
2026-03-17,Elena-Gabriela Ruse,Antonia Ruzic,1.67,2.48,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/elena-gabriela-ruse-vs-antonia-ruzic-20260319,Miami 2026
2026-03-17,Camila Osorio,Katerina Siniakova,2.1,1.91,Miami,wta,signalodds,signalodds,https://www.signalodds.com/events/katerina-siniakova-vs-maria-camila-osorio-serrano-20260318,Miami 2026
