Date,Winner,Loser,odds_w,odds_l,tournament,tour,event_type,source,source_url,page_tournament,page_player1,page_player2,bucket
2024-04-13,Ana Bogdan,Elina Svitolina,1.25,1.25,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/elina-svitolina-vs-ana-bogdan-apr-13-2024/,,Elina Svitolina,Ana Bogdan,BJK Cup Qualifiers 2024
2024-04-12,Anna Karolina Schmiedlova,Ela Nala Milic,1.06,1.08,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/anna-karolina-schmiedlova-vs-ela-nala-milic-apr-12-2024/,,Anna Karolina Schmiedlova,Ela Nala Milic,BJK Cup Qualifiers 2024
2024-04-11,Arina Rodionova,Giuliana Olmos,1.09,6.75,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/arina-rodionova-vs-giuliana-olmos-apr-11-2024/,,Arina Rodionova,Giuliana Olmos,BJK Cup Qualifiers 2024
2024-04-11,Daria Saville,Marcela Zacarias,1.05,8.5,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/daria-saville-vs-marcela-zacarias-apr-11-2024/,,Daria Saville,Marcela Zacarias,BJK Cup Qualifiers 2024
2024-04-12,Diane Parry,Katie Boulter,1.65,2.2,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/diane-parry-vs-katie-boulter-apr-12-2024/,,Diane Parry,Katie Boulter,BJK Cup Qualifiers 2024
2024-04-12,Emma Raducanu,Caroline Garcia,2.5,1.5,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/caroline-garcia-vs-emma-raducanu-apr-12-2024/,,Caroline Garcia,Emma Raducanu,BJK Cup Qualifiers 2024
2024-04-13,Emma Raducanu,Diane Parry,1.55,2.45,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/diane-parry-vs-emma-raducanu-apr-13-2024/,,Diane Parry,Emma Raducanu,BJK Cup Qualifiers 2024
2024-04-13,Iga Swiatek,Celine Naef,1.03,12.5,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/celine-naef-vs-iga-swiatek-apr-13-2024/,,Celine Naef,Iga Swiatek,BJK Cup Qualifiers 2024
2024-04-12,Iga Swiatek,Simona Waltert,1.01,12.5,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/simona-waltert-vs-iga-swiatek-apr-12-2024/,,Simona Waltert,Iga Swiatek,BJK Cup Qualifiers 2024
2024-04-12,Jessica Pegula,Sofia Costoulas,1.02,1.02,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/jessica-pegula-vs-sofia-costoulas-apr-12-2024/,,Jessica Pegula,Sofia Costoulas,BJK Cup Qualifiers 2024
2024-04-12,Laura Siegemund,Beatriz Haddad Maia,3.1,1.36,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/beatriz-haddad-maia-vs-laura-siegemund-apr-12-2024/,,Beatriz Haddad Maia,Laura Siegemund,BJK Cup Qualifiers 2024
2024-04-12,Lesia Tsurenko,Ana Bogdan,1.87,1.9,BJK Cup Qualifiers,wta,manual_web,welcome_bet,https://welcome.bet/lesia-tsurenko-vs-ana-bogdan-apr-12-2024/,,Lesia Tsurenko,Ana Bogdan,BJK Cup Qualifiers 2024
