tour,snapshot_date,player_id,display_name,full_name,rank,rank_points,source_url,fetched_at_utc
wta,2023-07-03,326408,Iga Swiatek,Iga Swiatek,1,8990,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,320760,Aryna Sabalenka,Aryna Sabalenka,2,8066,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,324166,Elena Rybakina,Elena Rybakina,3,5090,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,316956,Jessica Pegula,Jessica Pegula,4,4995,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,315391,Caroline Garcia,Caroline Garcia,5,4845,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,316847,Ons Jabeur,Ons Jabeur,6,3547,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,328560,Coco Gauff,Coco Gauff,7,3435,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,318312,Maria Sakkari,Maria Sakkari,8,3301,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,314206,Petra Kvitova,Petra Kvitova,9,3101,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,322082,Daria Kasatkina,Daria Kasatkina,10,2935,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,318314,Barbora Krejcikova,Barbora Krejcikova,11,2830,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,319526,Veronika Kudermetova,Veronika Kudermetova,12,2600,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,318176,Beatriz Haddad Maia,Beatriz Haddad Maia,13,2560,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,319001,Belinda Bencic,Belinda Bencic,14,2380,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,322222,Liudmila Samsonova,Liudmila Samsonova,15,2360,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,322191,Karolina Muchova,Karolina Muchova,16,2294,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,319939,Jelena Ostapenko,Jelena Ostapenko,17,2150,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,316959,Madison Keys,Madison Keys,18,2106,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,313974,Karolina Pliskova,Karolina Pliskova,19,2055,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,312001,Victoria Azarenka,Victoria Azarenka,20,1996,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,318516,Donna Vekic,Donna Vekic,21,1975,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,319007,Ekaterina Alexandrova,Ekaterina Alexandrova,22,1915,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,325601,Anastasia Potapova,Anastasia Potapova,23,1845,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,315130,Magda Linette,Magda Linette,24,1765,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,328120,Qinwen Zheng,Qinwen Zheng,25,1669,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,320567,Anhelina Kalinina,Anhelina Kalinina,26,1527,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,317708,Bernarda Pera,Bernarda Pera,27,1519,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,317964,Elise Mertens,Elise Mertens,28,1424,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,313711,Petra Martic,Petra Martic,29,1418,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,313169,Irina-Camelia Begu,Irina-Camelia Begu,30,1342,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,318711,Mayar Sherif,Mayar Sherif,31,1266,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,320301,Katerina Siniakova,Katerina Siniakova,32,1264,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,320983,Marie Bouzkova,Marie Bouzkova,33,1258,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,317306,Lin Zhu,Lin Zhu,34,1247,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,320124,Paula Badosa,Paula Badosa,35,1233,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,326482,Marta Kostyuk,Marta Kostyuk,36,1200,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,312469,Sorana Cirstea,Sorana Cirstea,37,1187,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,311779,Shuai Zhang,Shuai Zhang,38,1173,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,315683,Sloane Stephens,Sloane Stephens,39,1170,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,324267,Anna Blinkova,Anna Blinkova,40,1153,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,325836,Varvara Gracheva,Varvara Gracheva,41,1118,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,323027,Marketa Vondrousova,Marketa Vondrousova,42,1106,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
wta,2023-07-03,327909,Elisabetta Cocciaretto,Elisabetta Cocciaretto,43,1100,https://api.wtatennis.com/tennis/players/ranked?page=0&pageSize=100&type=rankSingles&sort=asc&metric=SINGLES&at=2023-07-03&name=&nationality=,2026-03-22T00:52:35Z
