tour,tourney_id,tourney_name,tourney_level,surface,draw_size,tourney_date,match_num,round,best_of,minutes,score,winner_name,loser_name,winner_id,loser_id,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_age,loser_age,winner_hand,loser_hand,winner_ht,loser_ht,winner_seed,loser_seed,winner_entry,loser_entry
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,1,R32,3,,6-4 6-3,Carolina Alves,Jessica Pieri,319305,321029,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,2,R32,3,,6-4 6-2,Miriam Bulgaru,Ayana Akli,323119,333700,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,3,R32,3,,6-3 6-0,Despina Papamichail,Valeriya Strakhova,316009,319133,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,4,R32,3,,6-2 6-3,Sara Sorribes Tormo,Gabriela Ce,318872,316674,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,5,R32,3,,6-1 6-7(3) 6-3,Fernanda Labrana,Nicole Fossa Huergo,324156,318001,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,6,R32,3,,6-2 6-2,Oleksandra Oliynykova,Elizabeth Mandlik,327182,326379,,,,,,,,,,,5,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,7,R32,3,,6-7(1) 7-6(4) 6-4,Sada Nahimana,Diletta Cherubini,325614,328173,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,8,R32,3,,6-3 7-5,Laura Samson,Varvara Lepchenko,333944,120420,,,,,,,,,,,,9,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,9,R32,3,,6-2 4-6 6-2,Maja Chwalinska,Martina Trevisan,325639,316266,,,,,,,,,,,8,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,10,R32,3,,6-1 7-6(6),Panna Udvardy,Luisina Giovannini,325956,330746,,,,,,,,,,,4,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,11,R32,3,,6-4 3-6 6-2,Leolia Jeanjean,Julia Riera,320313,327287,,,,,,,,,,,3,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,12,R32,3,,3-6 6-4 6-2,Carole Monnet,Veronika Erjavec,325991,327655,,,,,,,,,,,,6,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,13,R32,3,,6-3 6-7(3) 6-2,Maria Lourdes Carle,Alicia Herrero Linana,322638,321880,,,,,,,,,,,7,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,14,R32,3,,6-2 6-2,Polona Hercog,Jazmin Ortenzi,313968,327283,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,15,R32,3,,1-6 6-3 6-4,Mayar Sherif,Eva Vedder,318711,325011,,,,,,,,,,,2,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,16,R32,3,,6-1 6-1,Laura Pigossi,Antonia Vergara Rivera,317155,331405,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,17,R16,3,,6-0 6-2,Oleksandra Oliynykova,Sada Nahimana,327182,325614,,,,,,,,,,,5,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,18,R16,3,,6-2 6-4,Carole Monnet,Carolina Alves,325991,319305,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,19,R16,3,,6-0 6-3,Mayar Sherif,Miriam Bulgaru,318711,323119,,,,,,,,,,,2,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,20,R16,3,,6-3 6-1,Maja Chwalinska,Despina Papamichail,325639,316009,,,,,,,,,,,8,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,21,R16,3,,7-6(1) 6-4,Laura Samson,Sara Sorribes Tormo,333944,318872,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,22,R16,3,,6-3 6-7(3) 6-4,Leolia Jeanjean,Laura Pigossi,320313,317155,,,,,,,,,,,3,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,23,R16,3,,7-5 6-0,Maria Lourdes Carle,Fernanda Labrana,322638,324156,,,,,,,,,,,7,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,24,R16,3,,7-6(11) 6-1,Polona Hercog,Panna Udvardy,313968,325956,,,,,,,,,,,,4,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,25,QF,3,,6-4 6-2,Leolia Jeanjean,Maja Chwalinska,320313,325639,,,,,,,,,,,3,8,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,26,QF,3,,1-6 6-2 7-5,Laura Samson,Carole Monnet,333944,325991,,,,,,,,,,,,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,27,QF,3,,6-4 6-2,Mayar Sherif,Maria Lourdes Carle,318711,322638,,,,,,,,,,,2,7,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,28,QF,3,,6-3 7-6(4),Oleksandra Oliynykova,Polona Hercog,327182,313968,,,,,,,,,,,5,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,29,SF,3,,6-3 2-6 6-4,Leolia Jeanjean,Mayar Sherif,320313,318711,,,,,,,,,,,3,2,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,30,SF,3,,7-6(4) 6-2,Oleksandra Oliynykova,Laura Samson,327182,333944,,,,,,,,,,,5,,,
wta,2025-2076,Colina 125,WTA 125,Clay,32,20251117,31,F,3,,7-5 6-1,Oleksandra Oliynykova,Leolia Jeanjean,327182,320313,,,,,,,,,,,5,3,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,1,R32,3,,6-4 7-6(1),Lucciana Perez Alarcon,Elizabeth Mandlik,331268,326379,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,2,R32,3,,7-5 6-3,Eva Vedder,Martina Trevisan,325011,316266,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,3,R32,3,,6-0 6-0,Veronika Erjavec,Marina Bulbarella,327655,331376,,,,,,,,,,,6,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,4,R32,3,,6-2 6-0,Maja Chwalinska,Jessica Pieri,325639,321029,,,,,,,,,,,8,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,5,R32,3,,6-4 3-6 6-1,Jazmin Ortenzi,Polona Hercog,327283,313968,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,6,R32,3,,4-6 6-4 6-0,Despina Papamichail,Ayana Akli,316009,333700,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,7,R32,3,,6-0 6-0,Panna Udvardy,Carolina Alves,325956,319305,,,,,,,,,,,3,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,8,R32,3,,6-1 6-2,Varvara Lepchenko,Laura Pigossi,120420,317155,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,9,R32,3,,7-5 6-0,Miriam Bulgaru,Irene Burillo,323119,321157,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,10,R32,3,,6-1 6-0,Caroline Dolehide,Candela Vazquez,322052,333123,,,,,,,,,,,5,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,11,R32,3,,2-6 6-2 6-3,Laura Samson,Carole Monnet,333944,325991,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,12,R32,3,,7-5 7-6(7),Mayar Sherif,Julia Riera,318711,327287,,,,,,,,,,,1,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,13,R32,3,,6-4 0-6 7-6(7),Sara Sorribes Tormo,Alicia Herrero Linana,318872,321880,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,14,R32,3,,6-2 6-1,Maria Lourdes Carle,Katarina Jokic,322638,321292,,,,,,,,,,,7,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,15,R32,3,,3-6 7-5 6-2,Luisina Giovannini,Leolia Jeanjean,330746,320313,,,,,,,,,,,,2,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,16,R32,3,,6-4 6-1,Oleksandra Oliynykova,Sada Nahimana,327182,325614,,,,,,,,,,,4,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,17,R16,3,,1-6 7-5 7-6(3),Varvara Lepchenko,Maja Chwalinska,120420,325639,,,,,,,,,,,,8,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,18,R16,3,,6-1 6-1,Mayar Sherif,Eva Vedder,318711,325011,,,,,,,,,,,1,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,19,R16,3,,7-5 6-2,Panna Udvardy,Sara Sorribes Tormo,325956,318872,,,,,,,,,,,3,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,20,R16,3,,6-4 7-5,Veronika Erjavec,Jazmin Ortenzi,327655,327283,,,,,,,,,,,6,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,21,R16,3,,6-2 7-6(4),Caroline Dolehide,Despina Papamichail,322052,316009,,,,,,,,,,,5,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,22,R16,3,,7-6(0) 0-0 Ret'd,Lucciana Perez Alarcon,Oleksandra Oliynykova,331268,327182,,,,,,,,,,,,4,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,23,R16,3,,7-6(4) 6-3,Miriam Bulgaru,Maria Lourdes Carle,323119,322638,,,,,,,,,,,,7,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,24,R16,3,,6-2 7-5,Laura Samson,Luisina Giovannini,333944,330746,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,25,QF,3,,6-1 6-2,Panna Udvardy,Miriam Bulgaru,325956,323119,,,,,,,,,,,3,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,26,QF,3,,6-4 6-0,Veronika Erjavec,Laura Samson,327655,333944,,,,,,,,,,,6,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,27,QF,3,,6-4 7-6(2),Varvara Lepchenko,Lucciana Perez Alarcon,120420,331268,,,,,,,,,,,,,,
wta,2025-2052,Buenos Aires 125,WTA 125,Clay,32,20251124,28,QF,3,,3-6 6-4 6-4,Mayar Sherif,Caroline Dolehide,318711,322052,,,,,,,,,,,1,5,,
