event_name,event_date
ortiz vs shamrock 3: the final chapter,2006-10-10
the ultimate fighter: a champion will be crowned finale,2014-12-12
the ultimate fighter: a new world champion finale,2017-12-01
the ultimate fighter: american top team vs. blackzilians finale,2015-07-12
the ultimate fighter: heavy hitters finale,2018-11-30
the ultimate fighter: heavyweights finale,2009-12-05
the ultimate fighter: live finale,2012-06-01
the ultimate fighter: redemption finale,2017-07-07
the ultimate fighter: team bisping vs team miller finale,2011-12-03
the ultimate fighter: team carwin vs. team nelson finale,2012-12-15
the ultimate fighter: team couture vs. team liddell finale,2005-04-09
the ultimate fighter: team edgar vs. team penn finale,2014-07-06
the ultimate fighter: team gsp vs team koscheck finale,2010-12-04
the ultimate fighter: team hughes vs. team franklin finale,2005-11-05
the ultimate fighter: team hughes vs. team serra finale,2007-12-08
the ultimate fighter: team joanna vs. team cláudia finale,2016-07-08
the ultimate fighter: team jones vs. team sonnen finale,2013-04-13
the ultimate fighter: team lesnar vs team dos santos finale,2011-06-04
the ultimate fighter: team liddell vs team ortiz finale,2010-06-19
the ultimate fighter: team mcgregor vs. team faber finale,2015-12-11
the ultimate fighter: team nogueira vs. team mir finale,2008-12-13
the ultimate fighter: team ortiz vs. team shamrock finale,2006-06-24
the ultimate fighter: team pulver vs. team penn finale,2007-06-23
the ultimate fighter: team rampage vs team forrest finale,2008-06-21
the ultimate fighter: team rousey vs. team tate finale,2013-11-30
the ultimate fighter: the comeback finale,2006-11-11
the ultimate fighter: tournament of champions finale,2016-12-03
the ultimate fighter: undefeated finale,2018-07-06
the ultimate fighter: united states vs. united kingdom finale,2009-06-20
ufc - road to ufc 4.6,2025-08-22
ufc - ultimate brazil,1998-10-16
ufc - ultimate japan,1997-12-21
ufc - ultimate ultimate '95,1995-12-16
ufc - ultimate ultimate '96,1996-12-07
ufc 100,2009-07-11
ufc 101: declaration,2009-08-08
ufc 102: couture vs nogueira,2009-08-29
ufc 103: franklin vs belfort,2009-09-19
ufc 104: machida vs shogun,2009-10-24
ufc 105: couture vs vera,2009-11-14
ufc 106: ortiz vs griffin 2,2009-11-21
ufc 107: penn vs sanchez,2009-12-12
ufc 108: evans vs silva,2010-01-02
ufc 109: relentless,2010-02-06
ufc 10: the tournament,1996-07-12
ufc 110: nogueira vs velasquez,2010-02-20
ufc 111: st-pierre vs hardy,2010-03-27
ufc 112: invincible,2010-04-10
ufc 113: machida vs shogun 2,2010-05-08
ufc 114: rampage vs evans,2010-05-29
ufc 115: liddell vs franklin,2010-06-12
ufc 116: lesnar vs carwin,2010-07-03
ufc 117: silva vs sonnen,2010-08-07
ufc 118: edgar vs penn 2,2010-08-28
ufc 119: mir vs cro cop,2010-09-25
ufc 11: the proving ground,1996-09-20
ufc 120: bisping vs akiyama,2010-10-16
ufc 121: lesnar vs velasquez,2010-10-23
ufc 122: marquardt vs okami,2010-11-13
ufc 123: rampage vs machida,2010-11-20
ufc 124: st-pierre vs koscheck 2,2010-12-11
ufc 125: resolution,2011-01-01
ufc 126: silva vs belfort,2011-02-05
ufc 127: penn vs fitch,2011-02-26
ufc 128: shogun vs jones,2011-03-19
ufc 129: st-pierre vs shields,2011-04-30
ufc 12: judgement day,1997-02-07
ufc 130: rampage vs hamill,2011-05-28
ufc 131: dos santos vs carwin,2011-06-11
