official_name,official_athlete_url,nickname,division,record,slug_name,profile_name,canonical_athlete_url,profile_division,profile_record,profile_status,profile_source_tag,birthplace,age,height,reach,weight,octagon_debut,alternate_slug_names,official_url_identity_valid,official_url_identity_status,official_url_identity_reason,ufcstats_name,ufcstats_url,ufcstats_resolution,combat_sport,combat_sport_reason,combat_sport_profile_url,coverage_eligible
AJ Dobson,https://www.ufc.com/athlete/aj-dobson,,Middleweight,7-3-0 (W-L-D),aj dobson,AJ Dobson,https://www.ufc.com/athlete/aj-dobson,Middleweight Division,7-3-0 (W-L-D),Active,,"Brooklyn, United States",31,73.00 in,76.00 in,185.00,"Feb. 12, 2022",aj dobson,True,valid,,AJ Dobson,http://ufcstats.com/fighter-details/009c4420727149ea,ufc_fighter_details,mma,ufcstats_profile_match,,True
AJ Fletcher,https://www.ufc.com/athlete/aj-fletcher,"""The Ghost""",Welterweight,10-3-0 (W-L-D),aj fletcher,AJ Fletcher,https://www.ufc.com/athlete/aj-fletcher,Welterweight Division,10-3-0 (W-L-D),Active,,"Baton Rouge, United States",26,70.00 in,67.00 in,183.00,"Mar. 12, 2022",aj fletcher,True,valid,,AJ Fletcher,http://ufcstats.com/fighter-details/725b1abc9a39d873,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aaron Pico,https://www.ufc.com/athlete/aaron-pico,,Featherweight,14-5-0 (W-L-D),aaron pico,Aaron Pico,https://www.ufc.com/athlete/aaron-pico,Featherweight Division,14-5-0 (W-L-D),Active,,"Whittier, United States",29,68.00 in,70.50 in,145.00,"Jul. 26, 2025",aaron pico|aaron piko,True,valid,,Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abdul Azeem Badakhshi,https://www.ufc.com/athlete/abdul-azeem-badakhshi,,Featherweight,0-0-0 (W-L-D),abdul azeem badakhshi,Abdul Azeem Badakhshi,https://www.ufc.com/athlete/abdul-azeem-badakhshi,Featherweight Division,0-0-0 (W-L-D),Active,,"Badakhshan, Afghanistan",27,,,,"Jul. 21, 2026",abdul azeem badakhshi,True,valid,,Abdul Azeem Badakhshi,http://ufcstats.com/fighter-details/968764372c49eab6,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abdul Hussein,https://www.ufc.com/athlete/abdul-hussein,"""King""",Bantamweight,15-2-0 (W-L-D),abdul hussein,Abdul Hussein,https://www.ufc.com/athlete/abdul-hussein,Bantamweight Division,15-2-0 (W-L-D),Active,,"Beirut, Lebanon",28,65.00 in,,135.00,"Jul. 25, 2026",abdul hussein|abdul khusseyn,True,valid,,Abdul Hussein,http://ufcstats.com/fighter-details/0e6bc8d1d6c0ad90,live_search,mma,ufcstats_profile_match,,True
Abdul Rakhman Yakhyaev,https://www.ufc.com/athlete/abdulrakhman-yakhyaev,"""The Hunter""",Light Heavyweight,10-0-0 (W-L-D),abdulrakhman yakhyaev,Abdul Rakhman Yakhyaev,https://www.ufc.com/athlete/abdulrakhman-yakhyaev,Light Heavyweight Division,10-0-0 (W-L-D),Active,,Russia,25,74.00 in,78.00 in,205.00,"Nov. 22, 2025",abdulrakhman yakhyaev|abdul rakhman yakhyaev,True,valid,,Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abdul-Kareem Al-Selwady,https://www.ufc.com/athlete/abdul-kareem-al-selwady,"""Pride of Palestine""",Lightweight,16-4-0 (W-L-D),abdul kareem al selwady,Abdul-Kareem Al-Selwady,https://www.ufc.com/athlete/abdul-kareem-al-selwady,Lightweight Division,16-4-0 (W-L-D),Active,,"Baton Rouge, United States",30,68.00 in,69.00 in,156.00,"Mar. 2, 2024",abdul kareem al selwady|abdul karim al selvadi,True,valid,,Abdul-Kareem Al-Selwady,http://ufcstats.com/fighter-details/597499ac7a5aac62,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abubakar Nurmagomedov,https://www.ufc.com/athlete/abubakar-nurmagomedov,,Welterweight,17-4-1 (W-L-D),abubakar nurmagomedov,Abubakar Nurmagomedov,https://www.ufc.com/athlete/abubakar-nurmagomedov,Welterweight Division,17-4-1 (W-L-D),Active,,"Republic of Dagestan, Russia",33,71.00 in,72.00 in,170.00,"Nov. 9, 2019",abubakar nurmagomedov,True,valid,,Abubakar Nurmagomedov,http://ufcstats.com/fighter-details/029e1293e609fd74,ufc_fighter_details,mma,ufcstats_profile_match,,True
Abubakar Vagaev,https://www.ufc.com/athlete/abubakar-vagaev,,Welterweight,24-4-0 (W-L-D),abubakar vagaev,Abubakar Vagaev,https://www.ufc.com/athlete/abubakar-vagaev,Welterweight Division,24-4-0 (W-L-D),Active,,Russia,33,72.00 in,,170.00,"Jul. 25, 2026",abubakar vagaev,True,valid,,Abubakar Vagaev,http://ufcstats.com/fighter-details/f7adc1fd115f8fdd,live_search,mma,ufcstats_profile_match,,True
Abus Magomedov,https://www.ufc.com/athlete/abus-magomedov,,Middleweight,29-7-1 (W-L-D),abus magomedov,Abus Magomedov,https://www.ufc.com/athlete/abus-magomedov,Middleweight Division,29-7-1 (W-L-D),Active,,"Argun, Russia",35,74.00 in,78.00 in,185.50,"Sep. 3, 2022",abus magomedov,True,valid,,Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,ufc_fighter_details,mma,ufcstats_profile_match,,True
Adrian Yanez,https://www.ufc.com/athlete/adrian-yanez,,Bantamweight,18-6-1 (W-L-D),adrian yanez,Adrian Yanez,https://www.ufc.com/athlete/adrian-yanez,Bantamweight Division,18-6-1 (W-L-D),Active,,"Galveston, United States",32,67.00 in,70.00 in,136.00,"Oct. 31, 2020",adrian yanez|edrien yanez,True,valid,,Adrian Yanez,http://ufcstats.com/fighter-details/0232cabbc30a2372,ufc_fighter_details,mma,ufcstats_profile_match,,True
Adrián Luna Martinetti,https://www.ufc.com/athlete/juan-martinetti,,Bantamweight,17-2-0 (W-L-D),,Adrián Luna Martinetti,https://www.ufc.com/athlete/juan-martinetti,Bantamweight Division,17-2-0 (W-L-D),Active,,"Guayaquil, Ecuador",30,68.00 in,71.00 in,136.00,"Apr. 25, 2026",,True,slug_mismatch_profile_valid,slug_name_mismatch:juan martinetti,Adrian Luna Martinetti,http://ufcstats.com/fighter-details/e3b30b573e7f0d19,ufc_fighter_details,mma,ufcstats_profile_match,,True
Aiemann Zahabi,https://www.ufc.com/athlete/aiemann-zahabi,"""Icemann""",Bantamweight,14-3-0 (W-L-D),aiemann zahabi,Aiemann Zahabi,https://www.ufc.com/athlete/aiemann-zahabi,Bantamweight Division,14-3-0 (W-L-D),Active,,"Laval, Canada",38,68.00 in,68.50 in,135.00,"Feb. 20, 2017",aiemann zahabi,True,valid,,Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,ufc_fighter_details,mma,ufcstats_profile_match,,True
Ailin Perez,https://www.ufc.com/athlete/ailin-perez,"""Fiona""",Women's Bantamweight,13-2-0 (W-L-D),ailin perez,Ailin Perez,https://www.ufc.com/athlete/ailin-perez,Women's Bantamweight Division,13-2-0 (W-L-D),Active,,"CABA, Argentina",31,65.00 in,66.00 in,135.00,"Sep. 3, 2022",ailin perez|aylin perez,True,valid,,Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315,ufc_fighter_details,mma,ufcstats_profile_match,,True
Al Iaquinta,https://www.ufc.com/athlete/al-iaquinta,"""Raging""",Lightweight,14-7-1 (W-L-D),al iaquinta,Al Iaquinta,https://www.ufc.com/athlete/al-iaquinta,Lightweight Division,14-7-1 (W-L-D),Active,,"Wantagh, United States",36,70.00 in,70.00 in,155.80,"Jun. 2, 2012",al iaquinta,True,valid,,Al Iaquinta,http://ufcstats.com/fighter-details/59279a7c978f7da0,ufc_fighter_details,mma,ufcstats_profile_match,,True
