fighter_name,official_name,ufcstats_name,ufcstats_url,official_athlete_url
Cody Belisle,Cody Belisle,,,https://www.ufc.com/athlete/cody-belisle
Cory Corbin,Cory Corbin,,,https://www.ufc.com/athlete/cory-corbin
Dakota Weigher,Dakota Weigher,,,https://www.ufc.com/athlete/dakota-weigher
Dallas Marron,Dallas Marron,,,https://www.ufc.com/athlete/dallas-marron
Dinis Paiva Jr.,Dinis Paiva,Dinis Paiva Jr.,http://ufcstats.com/fighter-details/ad3a5e465c76e499,https://www.ufc.com/athlete/dinis-paiva
Dominik Melendez,Dominik Melendez,,,https://www.ufc.com/athlete/dominik-melendez
Donavan Beard,Donavan Beard,,,https://www.ufc.com/athlete/donavan-beard
Evan Sweesy,Evan Sweesy,,,https://www.ufc.com/athlete/evan-sweesy
Frank Holland,Frank Holland,,,https://www.ufc.com/athlete/frank-holland
Garrett Grimes,Garrett Grimes,,,https://www.ufc.com/athlete/garrett-grimes
Harrison Garcia,Harrison Garcia,,,https://www.ufc.com/athlete/harrison-garcia
Jesse Mariotti,Jesse Mariotti,,,https://www.ufc.com/athlete/jesse-mariotti
Keifer Roberts,Keifer Roberts,,,https://www.ufc.com/athlete/keifer-roberts
Logan Greenhalgh,Logan Greenhalgh,,,https://www.ufc.com/athlete/logan-greenhalgh
Luis Dias de Assis,Luis Dias de Assis,,,https://www.ufc.com/athlete/luis-dias-de-assis
Maiara Amajanas Dos Santos,Maiara Amajanas Dos Santos,,,https://www.ufc.com/athlete/maiara-amajanas-dos-santos
Martin Mishtaku,Martin Mishtaku,,,https://www.ufc.com/athlete/martin-mishtaku
Michael Bonnette,Michael Bonnette,,,https://www.ufc.com/athlete/michael-bonnette
Montrel Talbert,Montrel Talbert,,,https://www.ufc.com/athlete/montrel-talbert
Sean Mcinerney,Sean Mcinerney,,,https://www.ufc.com/athlete/sean-mcinerney
Steve Regman,Steve Regman,,,https://www.ufc.com/athlete/steve-regman
Testy Test,Testy Test,,,https://www.ufc.com/athlete/testy-test
Timothy Thomas,Timothy Thomas,,,https://www.ufc.com/athlete/timothy-thomas
Vineesh Subrahmanyan,Vineesh Subrahmanyan,,,https://www.ufc.com/athlete/vineesh-subrahmanyan
