name,source,source_name,search_name,fighter_url,height,reach,weight,stance,dob
Anthony Macias,martialbot,Anthony Macias,Anthony Macias,https://www.martialbot.com/mma/fighters/anthony-macias-eae5bec0d775f93b0582c5b5f2411a5c,,178 cm,,,
Assuerio Silva,fightdx,Assuerio Silva,Assuerio Silva,https://fightdx.com/person/assuerio-silva,,"6'3"" (1.91m)",,,
Benji Radach,tapology,Benji Radach,Benji Radach,https://www.tapology.com/fightcenter/fighters/benji-radach-razor,,"72.0"" (183cm)",,,
Bobby Hoffman,martialbot,Bobby Hoffman,Bobby Hoffman,https://www.martialbot.com/mma/fighters/bobby-hoffman-6a6911fead5a5a6c8242a856b3009952,,188 cm,,,
Branden Lee Hinkle,martialbot,Branden Lee Hinkle,Branden Lee Hinkle,https://www.martialbot.com/mma/fighters/branden-lee-hinkle-a7c961e34c4c0dd1206083e275f3af7e,,193 cm,,,
Brian Johnston,fightdx,Brian Johnston,Brian Johnston,https://fightdx.com/person/brian-johnston,,"6'4"" (1.93m)",,,
Cal Worsham,ufcfans,Cal Worsham,Cal Worsham,https://www.ufc-fr.com/combattant-415.html,,184 cm,,,1963-06-11
Carlos Newton,martialbot,Carlos Newton,Carlos Newton,https://www.martialbot.com/mma/fighters/carlos-newton-ab998051a7a8794350da4e3e5e8381c2,,175 cm,,,
Curt Warburton,martialbot,Curt Warburton,Curt Warburton,https://www.martialbot.com/mma/fighters/curt-warburton-da6ec8c9dcb24ef1da49ce77687c3174,,,,,"May 10, 1981"
Daiju Takase,martialbot,Daiju Takase,Daiju Takase,https://www.martialbot.com/mma/fighters/daiju-takase-b9e6b4604801a90932aab0f23817200f,,183 cm,,,
Dan Severn,martialbot,Dan Severn,Dan Severn,https://www.martialbot.com/mma/fighters/dan-severn-533f5176b80fa2743048de930bcc9f3e,,188 cm,,,
Dave Beneteau,martialbot,Dave Beneteau,Dave Beneteau,https://www.martialbot.com/mma/fighters/dave-beneteau-349e8315ac63c3546dfae2063c8a6a46,,188 cm,,,
Dave Beneteau,sherdog,Dave Beneteau,Dave Beneteau,https://www.sherdog.com/fighter/Dave-Beneteau-56,,,,,"Jul 16, 1968"
