name,record,fighter_url,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Tom Aaron,5-3-0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,--,155 lbs.,--,,"Jul 13, 1978",0.0,0,0.0,0,0.0,0,0,0.0
Danny Abbadi,4-6-0,http://ufcstats.com/fighter-details/15df64c02b6b0fde,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38,4.41,57,0.0,0,77,0.0
Nariman Abbasov,28-4-0,http://ufcstats.com/fighter-details/59a9d6dac61c2540,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3.0,20,5.67,46,0.0,0,66,0.0
Darion Abbey,9-5-0,http://ufcstats.com/fighter-details/4961467134abd8be,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",8.44,50,14.06,28,0.0,0,0,0.0
David Abbott,10-15-0,http://ufcstats.com/fighter-details/b361180739bed4b0,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30,3.55,38,1.07,33,66,0.0
Hamdy Abdelwahab,7-1-0 (1 NC),http://ufcstats.com/fighter-details/3329d692aea4dc28,"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993",4.27,55,3.67,51,3.25,65,100,0.0
Mansur Abdul-Malik,9-0-1,http://ufcstats.com/fighter-details/841695e02c99a521,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",4.18,48,3.46,51,0.94,50,83,0.5
Shamil Abdurakhimov,20-8-0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44,3.02,55,1.01,23,45,0.1
Hiroyuki Abe,8-15-3 (1 NC),http://ufcstats.com/fighter-details/c0ed7b208197e8de,"5' 6""",145 lbs.,--,Orthodox,"Feb 09, 1970",1.71,36,3.11,63,0.0,0,33,0.0
Daichi Abe,6-2-0,http://ufcstats.com/fighter-details/5140122c3eecd307,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,33,4.49,56,0.33,50,0,0.0
Papy Abedi,10-4-0,http://ufcstats.com/fighter-details/c9f6385af6df66d7,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.8,55,3.15,48,3.47,57,50,1.3
Ricardo Abreu,5-1-0,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,31,3.98,68,2.13,42,100,0.7
Klidson Abreu,15-4-0 (1 NC),http://ufcstats.com/fighter-details/7279654c7674cd24,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40,2.9,55,0.64,20,80,0.0
Cyborg Abreu,0-0-0,http://ufcstats.com/fighter-details/f689bd7bbd14b392,--,--,--,,"Dec 20, 1980",0.0,0,0.0,0,0.0,0,0,0.0
Daniel Acacio,30-18-0,http://ufcstats.com/fighter-details/1c5879330d42255f,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36,2.85,62,0.33,20,81,0.0
John Adajar,6-2-0,http://ufcstats.com/fighter-details/989b85f6540c86b1,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",3.9,52,6.28,44,0.0,0,0,0.0
Scott Adams,8-1-0,http://ufcstats.com/fighter-details/2620f3eb21c79614,"6' 0""",225 lbs.,--,Southpaw,--,0.0,0,0.0,0,0.0,0,0,0.0
Juan Adams,5-3-0,http://ufcstats.com/fighter-details/83b00f7597e5ac83,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55,4.06,34,0.91,66,57,0.0
Anthony Adams,8-2-0,http://ufcstats.com/fighter-details/a77633a989013265,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41,5.93,44,0.0,0,0,0.0
Zarrukh Adashev,4-4-0,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40,3.04,64,0.0,0,100,0.5
Israel Adesanya,24-5-0,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.02,48,3.2,55,0.05,11,76,0.1
Sam Adkins,7-20-2,http://ufcstats.com/fighter-details/0e9869d712e81f8f,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.0,0,0.0,0,0.0,0,0,0.0
Mohamed Ado,5-1-0,http://ufcstats.com/fighter-details/7a846fcbf182a7c8,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",1.66,83,0.33,75,4.97,50,50,5.0
Nick Agallar,24-6-0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11,4.56,42,0.0,0,0,0.0
Mariya Agapova,10-5-0,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.43,54,3.62,52,0.55,66,45,0.8
Kantharaj Agasa,12-3-0,http://ufcstats.com/fighter-details/26f4288e83188c61,--,135 lbs.,--,,"Feb 16, 1992",0.0,0,0.0,0,0.0,0,0,0.0
Marcelo Aguiar,2-3-1,http://ufcstats.com/fighter-details/44aa652b181bcf68,"5' 10""",170 lbs.,--,Orthodox,"Jan 20, 1969",0.0,0,0.0,0,0.0,0,0,0.0
Fabio Aguiar,17-1-0,http://ufcstats.com/fighter-details/501821d7fb7b95c1,"6' 0""",185 lbs.,--,,"Feb 10, 1988",0.0,0,0.0,0,0.0,0,0,0.0
