event_date,fighter_a,fighter_b
2014-06-28,Aleksei Oleinik,Anthony Hamilton
2014-06-28,Joe Ellenberger,James Moontasri
2014-06-28,Johnny Bedford,Cody Gibson
2014-06-28,Marcelo Guimaraes,Andy Enz
2014-06-28,Ray Borg,Shane Howell
2014-12-12,Tecia Pennington,Angela Magana
2015-05-30,Rony Jason,Damon Jackson
2015-06-13,Tecia Pennington,Angela Hill
2015-07-18,Joanne Wood,Cortney Casey
2015-09-26,Mizuto Hirota,Teruto Ishihara
2015-12-12,Tecia Pennington,Jocelyn Jones-Lybarger
2016-01-02,Justine Kish,Nina Nunes
2016-04-16,Rose Namajunas,Tecia Pennington
2016-11-19,Francimar Barroso,Darren Stewart
2017-02-04,Tecia Pennington,Bec Rawlings
2017-07-07,Tecia Pennington,Juliana Lima
2017-10-07,Lando Vannata,King Green
2017-12-02,Tecia Pennington,Michelle Waterson-Gomez
2018-02-24,Jessica Andrade,Tecia Pennington
2018-07-28,Joanna Jedrzejczyk,Tecia Pennington
2019-01-19,Joanne Wood,Ariane da Silva
2019-03-02,Tecia Pennington,Zhang Weili
2019-06-08,Katlyn Cerminara,Joanne Wood
2019-11-16,Ariane da Silva,Isabela de Padua
2020-06-20,Tecia Pennington,Brianna Fortino
2024-05-11,Waldo Cortes Acosta,Robelis Despaigne
2025-08-22,Nyamjargal Tumendemberel,Terrance Saeteurn
