target_key,event_date,commence_time,commence_time_source_kind,commence_time_source_locator,commence_time_source_observed_at,commence_time_source_sha256,commence_time_source_event_id,commence_time_source_matchup,commence_time_semantics,event_id,event_title,fighter_a,fighter_b,a_num_fights,b_num_fights,established_fighters,status,terminal_reason,recovery_preconditions_met,target_recovery_complete,attempted_sources,success_source,source_url,original_source_url,observation_captured_at,validation_captured_at,page_sha256,parser_contract,revalidated_schema_v1,schema_v1_snapshot_path,schema_v1_snapshot_sha256,method_odds_complete,a_ko_odds_prob,a_sub_odds_prob,a_dec_odds_prob,b_ko_odds_prob,b_sub_odds_prob,b_dec_odds_prob
2026-03-14|amanda lemos|gillian robertson,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,8bf690ee3554228af916f18025ebd118,Amanda Lemos vs Gillian Robertson,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Amanda Lemos,Gillian Robertson,14,19,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|andre fili|jose delgado,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,d0c59513ac377e457ffe6c7235491255,Andre Fili vs Jose Delgado,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Andre Fili,Jose Delgado,25,4,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|bia mesquita|montse rendon,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,2fa2caec33ff3299cf29af7b67e3de6c,Beatriz Mesquita vs Montserrat Rendon,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Bia Mesquita,Montse Rendon,1,3,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""no_unique_exact_matchup_scope"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""no_unique_exact_matchup_scope"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|bolaji oki|manoel sousa,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,f2be420c7186af5d40654ec5cb760d3a,Bolaji Oki vs Manoel Sousa,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Bolaji Oki,Manoel Sousa,5,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|brad tavares|eryk anders,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,9ba40c329bc6847cfcb561b5d2a47775,Brad Tavares vs Eryk Anders,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Brad Tavares,Eryk Anders,27,19,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|bruno silva|charles johnson,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,83262dbeb02cc9ba5e93ed3675422209,Charles Johnson vs Bruno Silva,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Charles Johnson,Bruno Silva,13,10,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:HTTPError"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|christopher curtis|myktybek orolbai,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,3a8d9a71fd650ed1d3faaa308799bda6,Chris Curtis vs Myktybek Orolbai,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Chris Curtis,Myktybek Orolbai,12,5,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:ReadTimeout"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|elijah smith|suyoung you,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,0a0aea0663679a40e2636794282c151b,Elijah Smith vs Su Young You,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Elijah Smith,SuYoung You,3,5,True,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|harry hardwick|marwan rahiki,2026-03-14,2026-03-14T23:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,b67ca60d798d3ee871f0ed06609548ed,Marwan Rahiki vs Harry Hardwick,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Marwan Rahiki,Harry Hardwick,1,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""cdx:ReadTimeout"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
2026-03-14|hecher sosa|luan lacerda,2026-03-14,2026-03-14T20:00:00+00:00,odds_api_historical_events,https://api.the-odds-api.com/v4/historical/sports/mma_mixed_martial_arts/events?date=2026-03-13T12:00:00Z,2026-03-13T11:55:38Z,e00920fcb4e4b51020d05b12d2960b5649b3023636fdb9a6ee4fa67c51c946c3,20691f11f21e2b46197a9d553664344f,Luan Lacerda vs Enrique Hecher Sosa,scheduled_bout_time,,UFC Fight Night: Emmett vs. Vallejos,Luan Lacerda,Hecher Sosa,3,1,False,failed,no_exact_prefight_or_revalidated_evidence,True,True,"[{""detail"":""no_exact_prefight_schema_v1_candidate"",""pass"":""revalidate"",""source"":""schema_v1"",""status"":""no_evidence""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""direct"",""source"":""direct_bfo"",""status"":""rejected""},{""detail"":""post_fight_page_without_exact_prefight_v1_value_match"",""pass"":""playwright"",""source"":""playwright_bfo"",""status"":""rejected""},{""detail"":""no_evidence_returned"",""pass"":""wayback"",""source"":""wayback_bfo"",""status"":""no_evidence""}]",,,,,,,,False,,,False,,,,,,
