event_date,fighter_a,fighter_b,bet_on,bet_side,bet_size,odds,blended_prob,market_prob,edge,won,profit,bankroll_after,clv,fold,odds_source
2022-01-15,Katlyn Chookagian,Jennifer Maia,Katlyn Chookagian,a,40.0,1.6354556710715473,0.7264507408507874,0.6114503851668459,0.11500035568394151,True,25.4182268428619,1025.418226842862,0.008504122285440952,13,historical_api_opening
2022-01-22,Cody Stamann,Said Nurmagomedov,Cody Stamann,a,26.16,2.7651758016960706,0.42678552177758466,0.3616406592979122,0.06514486247967244,False,-26.16,999.258226842862,0.014395778192795916,13,historical_api_opening
2022-02-12,William Knight,Maxim Grishin,William Knight,a,18.38,2.628557896302051,0.4260311797840082,0.3804367411525672,0.04559443863144097,False,-18.38,980.878226842862,0.029120662424419796,13,historical_api_opening
2022-03-05,Jalin Turner,Jamie Mullarkey,Jalin Turner,a,23.3,1.8746641172629726,0.5777694936052099,0.5334288904297211,0.044340603175488824,True,20.37967393222726,1001.2579007750893,0.09609399373419558,13,historical_api_opening
2022-03-19,Jack Shore,Timur Valiev,Jack Shore,a,17.49,2.494167924587154,0.4427982001720785,0.4009353139947562,0.04186288617732231,True,26.13299700102932,1027.3908977761187,0.20577477471579808,13,historical_api_opening
2022-03-19,Arnold Allen,Dan Hooker,Arnold Allen,a,25.02,2.118222918346595,0.5235168920954627,0.4720938440136236,0.05142304808183912,True,27.977937417031807,1055.3688351931505,0.1058131548387855,13,historical_api_opening
2022-04-09,Aspen Ladd,Raquel Pennington,Aspen Ladd,a,42.21,2.730125399997563,0.4852113092937227,0.3662835414083516,0.11892776788537107,False,-42.21,1013.1588351931505,0.04093376095852319,13,historical_api_opening
2022-04-09,Mackenzie Dern,Tecia Torres,Tecia Torres,b,22.03,2.0791611883969905,0.5261033307114088,0.4809631911083279,0.04514013960308089,False,-22.03,991.1288351931505,-0.002287911663593878,13,historical_api_opening
2022-04-23,Clay Guida,Claudio Puelles,Claudio Puelles,b,39.65,2.218942837094633,0.5523395632820829,0.4506650569283468,0.1016745063537361,True,48.33108349080219,1039.4599186839528,0.09391469974377253,13,historical_api_opening
2022-05-07,Francisco Trinaldo,Danny Roberts,Francisco Trinaldo,a,23.89,1.9575002081953812,0.5558232268563804,0.5108556289359988,0.04496759792038163,True,22.874679973787657,1062.3345986577403,-0.0019950725253128354,13,historical_api_opening
